gen,best_so_far,gen_best,gen_avg,elapsed_s
0,2665,2665,2330.78,26.589
1,2665,2665,2354.66,27.166
2,2866,2866,2408.8,28.069
3,2866,2866,2464.72,29.319
4,2866,2866,2635.5,30.169
5,2866,2866,2621.12,30.607
6,2866,2866,2651.68,30.618
7,2866,2866,2600.8,31.936
8,2866,2866,2652.84,32.52
9,2866,2866,2624.36,33.414
10,2866,2866,2649.0,34.023
11,2866,2866,2688.06,34.88
12,2866,2866,2642.5,36.694
13,2866,2866,2612.54,37.328
14,2866,2866,2596.3,39.025
15,2866,2866,2584.96,39.448
16,2866,2866,2588.72,40.356
17,2866,2866,2598.54,41.627
18,2866,2866,2616.98,43.057
19,2866,2866,2616.96,45.194
20,2866,2866,2645.08,46.701
21,2866,2866,2656.36,49.34
22,2866,2866,2639.02,49.351
23,2866,2866,2643.08,51.116
24,2866,2866,2656.42,51.127
25,2866,2866,2668.68,51.587
26,2866,2866,2613.96,52.042
27,2866,2866,2651.22,52.052
28,2866,2866,2593.34,52.503
29,2866,2866,2600.32,52.654
30,2866,2866,2627.78,53.51
31,2866,2866,2674.82,55.434
32,2866,2866,2636.42,56.334
33,2866,2866,2633.08,56.827
34,2866,2866,2585.24,57.453
35,2866,2866,2639.22,59.575
36,2866,2866,2695.72,59.591
37,2866,2866,2657.16,60.911
38,2866,2866,2653.0,61.527
39,2866,2866,2642.32,62.786
40,2866,2866,2617.26,64.705
41,2866,2866,2612.66,65.36
42,2866,2866,2670.72,67.116
43,2866,2866,2604.84,68.635
44,2866,2866,2601.54,70.737
45,2866,2866,2545.96,72.067
46,2866,2866,2541.56,74.116
47,2866,2866,2611.42,75.381
48,2866,2866,2670.0,77.844
49,2866,2866,2581.48,79.697
50,2866,2866,2596.76,79.943
51,2866,2866,2646.4,83.395
52,2866,2866,2720.16,85.314
53,2866,2866,2687.4,85.93
54,2866,2866,2612.5,86.779
55,2866,2866,2632.82,87.998
56,2866,2866,2619.66,89.861
57,2866,2866,2581.04,90.467
58,2866,2866,2598.1,92.898
59,2866,2866,2549.78,94.104
60,2866,2866,2609.7,96.547
61,2866,2866,2606.84,97.822
62,2866,2866,2638.72,101.81
63,2866,2866,2600.42,103.761
64,2866,2866,2624.92,106.967
65,2866,2866,2597.0,107.459
66,2866,2866,2640.42,109.633
67,2866,2866,2585.72,111.078
68,2866,2866,2624.74,112.068
69,2866,2866,2618.38,113.72
70,2866,2866,2685.58,113.731
71,2866,2866,2647.06,114.814
72,2866,2866,2595.04,115.24
73,2866,2866,2613.42,116.07
74,2866,2866,2614.94,117.003
75,2866,2866,2622.2,117.883
76,2866,2866,2651.64,118.503
77,2866,2866,2668.04,120.02
78,2866,2866,2653.0,121.917
79,2866,2866,2614.12,123.724
80,2866,2866,2649.72,123.949
81,2866,2866,2664.7,123.96
82,2866,2866,2693.2,123.972
83,2866,2866,2653.6,124.654
84,2866,2866,2670.16,126.709
85,2866,2866,2585.46,127.575
86,2866,2866,2591.14,127.59
87,2866,2866,2586.06,128.255
88,2866,2866,2614.7,128.906
89,2866,2866,2635.06,129.516
90,2866,2866,2622.36,132.203
91,2866,2866,2624.72,132.367
92,2866,2866,2547.0,134.294
93,2866,2866,2529.06,136.192
94,2866,2866,2601.82,136.429
95,2866,2866,2602.62,137.738
96,2866,2866,2563.34,139.027
97,2866,2866,2670.98,141.68
98,2866,2866,2670.36,142.991
99,2866,2866,2654.9,144.951
100,2866,2866,2625.54,146.46
101,2866,2866,2713.58,148.439
102,2866,2866,2688.24,150.413
103,2866,2866,2684.86,152.268
104,2866,2866,2716.3,152.895
105,2866,2866,2717.58,157.852
106,2866,2866,2631.82,159.745
107,2866,2866,2632.02,160.991
108,2866,2866,2673.7,162.34
109,2866,2866,2669.82,163.557
110,2866,2866,2630.16,166.308
111,2866,2866,2589.2,167.57
112,2866,2866,2618.96,171.328
113,2866,2866,2612.32,171.996
114,2866,2866,2624.1,173.263
115,2866,2866,2610.74,175.795
116,2866,2866,2647.56,176.453
117,2866,2866,2690.6,177.999
118,2866,2866,2676.68,179.241
119,2866,2866,2642.46,180.484
120,2866,2866,2654.28,183.085
121,2866,2866,2698.96,183.739
122,2866,2866,2668.56,187.369
123,2866,2866,2671.94,189.571
124,2866,2866,2611.0,190.208
125,2866,2866,2577.24,191.552
126,2866,2866,2612.3,191.805
127,2866,2866,2609.04,193.03
128,2866,2866,2648.18,194.28
129,2866,2866,2623.78,195.563
130,2866,2866,2624.6,196.222
131,2866,2866,2665.44,198.106
132,2866,2866,2693.42,199.85
133,2866,2866,2635.98,201.114
134,2866,2866,2659.38,202.429
135,2866,2866,2629.78,202.446
136,2866,2866,2597.28,203.693
137,2866,2866,2622.02,206.772
138,2866,2866,2628.3,208.099
139,2866,2866,2620.9,208.727
140,2866,2866,2659.32,208.892
141,2866,2866,2663.1,210.167
142,2866,2866,2705.08,211.417
143,2866,2866,2676.74,212.092
144,2866,2866,2656.74,213.408
145,2866,2866,2664.04,214.664
146,2866,2866,2665.62,214.681
147,2866,2866,2625.2,215.896
148,2866,2866,2646.66,217.909
149,2866,2866,2545.6,218.565
150,2866,2866,2601.32,219.177
151,2866,2866,2652.94,220.504
152,2866,2866,2643.72,223.87
153,2866,2866,2658.32,226.154
154,2866,2866,2630.38,228.057
155,2866,2866,2651.04,228.074
156,2866,2866,2588.58,230.879
157,2866,2866,2615.82,232.01
158,2866,2866,2624.2,234.697
159,2866,2866,2560.22,237.312
160,2866,2866,2617.34,239.229
161,2866,2866,2681.28,240.54
162,2866,2866,2671.96,244.52
163,2866,2866,2649.88,245.139
164,2866,2866,2594.76,246.38
165,2866,2866,2632.34,248.923
166,2866,2866,2664.84,250.848
167,2866,2866,2717.0,251.486
168,2866,2866,2630.8,251.502
169,2866,2866,2671.08,252.757
170,2866,2866,2669.12,256.557
171,2866,2866,2602.52,257.743
172,2866,2866,2713.86,259.028
173,2866,2866,2692.28,262.671
174,2866,2866,2665.3,263.96
175,2866,2866,2626.62,267.204
176,2866,2866,2646.58,269.277
177,2866,2866,2634.68,274.321
178,2866,2866,2600.86,275.618
179,2866,2866,2608.84,277.521
180,2866,2866,2573.8,280.204
181,2866,2866,2651.66,282.126
182,2866,2866,2667.64,283.009
183,2866,2866,2734.1,285.47
184,2866,2866,2662.78,286.909
185,2866,2866,2613.46,289.453
186,2866,2866,2670.96,290.079
187,2866,2866,2587.22,290.095
188,2866,2866,2664.92,290.107
189,2866,2866,2629.3,290.729
190,2866,2866,2677.72,291.645
191,2866,2866,2636.82,291.655
192,2866,2866,2609.62,295.368
193,2866,2866,2601.22,297.823
194,2866,2866,2647.84,300.004
