gen,best_so_far,gen_best,gen_avg,elapsed_s
0,2802,2802,2356.65,49.525
1,2802,2802,2381.29,52.445
2,2802,2802,2428.34,56.018
3,2849,2849,2494.46,57.107
4,2855,2855,2530.64,63.868
5,2855,2855,2550.63,66.707
6,2855,2855,2595.39,69.801
7,2855,2855,2614.68,75.181
8,2857,2857,2641.12,80.423
9,2857,2857,2650.04,83.629
10,2857,2857,2659.36,85.466
11,2857,2857,2676.99,87.883
12,2857,2857,2646.69,92.707
13,2857,2857,2678.29,99.137
14,2857,2857,2687.58,105.306
15,2857,2857,2660.87,108.383
16,2857,2857,2654.85,109.744
17,2857,2857,2668.01,113.115
18,2857,2857,2659.18,115.317
19,2857,2857,2649.25,117.587
20,2857,2857,2639.54,121.098
21,2857,2857,2658.53,124.052
22,2857,2857,2706.31,131.443
23,2857,2857,2700.16,136.764
24,2857,2857,2717.53,141.22
25,2857,2857,2697.18,145.321
26,2857,2857,2650.26,147.921
27,2857,2857,2660.76,153.711
28,2857,2857,2652.41,157.569
29,2857,2857,2635.31,163.084
30,2857,2857,2689.3,170.892
31,2857,2857,2659.2,175.379
32,2857,2857,2645.12,179.544
33,2857,2857,2622.06,184.242
34,2857,2857,2595.22,188.745
35,2857,2857,2616.17,191.236
36,2857,2857,2618.8,196.399
37,2857,2857,2665.32,199.811
38,2857,2857,2655.83,203.799
39,2857,2857,2599.28,207.41
40,2857,2857,2611.01,208.653
41,2857,2857,2624.45,209.948
42,2857,2857,2633.24,214.993
43,2857,2857,2575.81,220.209
44,2857,2857,2600.81,225.301
45,2857,2857,2621.3,231.545
46,2857,2857,2634.89,234.818
47,2857,2857,2678.65,239.713
48,2857,2857,2641.33,244.327
49,2857,2857,2679.2,250.863
50,2857,2857,2627.44,255.82
51,2857,2857,2639.7,259.01
52,2857,2857,2651.91,264.795
53,2857,2857,2654.26,267.426
54,2857,2857,2604.29,269.683
55,2857,2857,2655.65,273.506
56,2857,2857,2609.73,276.709
57,2857,2857,2644.14,281.112
58,2857,2857,2613.94,286.167
59,2857,2857,2614.59,289.975
60,2857,2857,2647.34,296.433
61,2857,2857,2634.81,299.294
62,2857,2857,2622.82,304.67
