gen,best_so_far,gen_best,gen_avg,elapsed_s
0,2802,2802,2356.65,55.047
1,2802,2802,2381.29,58.085
2,2802,2802,2428.34,62.506
3,2849,2849,2494.46,63.537
4,2855,2855,2530.64,68.311
5,2855,2855,2550.63,70.252
6,2855,2855,2595.39,72.436
7,2855,2855,2614.68,76.822
8,2857,2857,2641.12,80.825
9,2857,2857,2650.04,83.1
10,2857,2857,2659.36,84.41
11,2857,2857,2676.99,86.145
12,2857,2857,2646.69,89.696
13,2857,2857,2678.29,94.133
14,2857,2857,2687.58,98.291
15,2857,2857,2660.87,100.82
16,2857,2857,2654.85,102.111
17,2857,2857,2668.01,105.561
18,2857,2857,2659.18,107.775
19,2857,2857,2649.25,110.048
20,2857,2857,2639.54,113.441
21,2857,2857,2658.53,115.685
22,2857,2857,2706.31,120.495
23,2857,2857,2700.16,124.02
24,2857,2857,2717.53,126.864
25,2857,2857,2697.18,129.478
26,2857,2857,2650.26,131.211
27,2857,2857,2660.76,135.146
28,2857,2857,2652.41,137.719
29,2857,2857,2635.31,141.229
30,2857,2857,2689.3,146.178
31,2857,2857,2659.2,149.204
32,2857,2857,2645.12,152.574
33,2857,2857,2622.06,156.651
34,2857,2857,2595.22,161.345
35,2857,2857,2616.17,163.813
36,2857,2857,2618.8,168.946
37,2857,2857,2665.32,172.362
38,2857,2857,2655.83,176.424
39,2857,2857,2599.28,179.471
40,2857,2857,2611.01,180.362
41,2857,2857,2624.45,181.225
42,2857,2857,2633.24,184.655
43,2857,2857,2575.81,187.952
44,2857,2857,2600.81,191.488
45,2857,2857,2621.3,195.5
46,2857,2857,2634.89,197.641
47,2857,2857,2678.65,200.966
48,2857,2857,2641.33,204.246
49,2857,2857,2679.2,208.621
50,2857,2857,2627.44,211.866
51,2857,2857,2639.7,214.004
52,2857,2857,2651.91,217.971
53,2857,2857,2654.26,219.727
54,2857,2857,2604.29,221.279
55,2857,2857,2655.65,223.89
56,2857,2857,2609.73,226.673
57,2857,2857,2644.14,230.912
58,2857,2857,2613.94,235.191
59,2857,2857,2614.59,237.859
60,2857,2857,2647.34,242.224
61,2857,2857,2634.81,244.168
62,2857,2857,2622.82,248.645
63,2857,2857,2614.09,250.874
64,2857,2857,2651.23,253.047
65,2857,2857,2649.72,254.413
66,2857,2857,2635.78,256.849
67,2857,2857,2654.67,259.067
68,2857,2857,2652.71,261.803
69,2857,2857,2648.06,263.418
70,2857,2857,2636.53,266.35
71,2857,2857,2626.62,268.031
72,2857,2857,2642.89,272.091
73,2857,2857,2621.01,274.698
74,2857,2857,2650.49,277.78
75,2857,2857,2651.59,281.393
76,2857,2857,2696.7,283.899
77,2857,2857,2715.98,289.482
78,2857,2857,2667.2,293.682
79,2857,2857,2653.08,295.374
80,2857,2857,2649.95,297.3
81,2857,2857,2666.34,300.714
