gen,best_so_far,gen_best,gen_avg,elapsed_s
0,2802,2802,2356.65,55.832
1,2802,2802,2069.89,58.835
2,2809,2809,2022.64,61.648
3,2826,2826,2064.51,64.542
4,2826,2826,2148.15,68.406
5,2850,2850,2240.71,71.823
6,2875,2875,2283.17,72.691
7,2887,2887,2359.64,73.933
8,2944,2944,2466.15,77.592
9,2944,2944,2563.89,80.823
10,2944,2944,2641.17,83.874
11,3072,3072,2737.33,87.407
12,3075,3075,2755.46,89.868
13,3075,3075,2789.07,94.476
14,3127,3127,2886.6,99.45
15,3127,3127,2899.21,103.327
16,3127,3127,2987.28,105.022
17,3127,3127,3055.78,108.237
18,3127,3127,3040.84,111.469
19,3127,3127,3087.4,114.895
20,3127,3127,3080.11,117.113
21,3127,3127,3024.95,119.258
22,3127,3127,3078.72,121.101
23,3127,3127,3044.33,124.447
24,3127,3127,3057.6,127.225
25,3127,3127,3085.37,128.597
26,3127,3127,3104.16,129.916
27,3127,3127,3087.66,131.409
28,3127,3127,3054.58,134.004
29,3127,3127,3019.12,136.513
30,3127,3127,3080.64,139.584
31,3127,3127,3099.53,141.398
32,3127,3127,3069.87,144.004
33,3127,3127,3054.88,147.492
34,3127,3127,3010.94,150.938
35,3127,3127,2994.07,158.835
36,3127,3127,3036.87,162.929
37,3127,3127,3018.92,166.173
38,3127,3127,3036.48,168.984
39,3127,3127,3015.48,172.925
40,3127,3127,3087.64,175.18
41,3127,3127,3032.97,180.205
42,3127,3127,3013.3,183.524
43,3127,3127,3037.89,186.514
44,3127,3127,3074.43,189.345
45,3127,3127,3038.23,192.714
46,3127,3127,3070.38,194.338
47,3127,3127,3080.7,196.96
48,3127,3127,3082.34,200.145
49,3127,3127,3039.44,203.328
50,3127,3127,3033.33,206.565
51,3127,3127,3039.51,210.651
52,3127,3127,3098.32,211.72
53,3127,3127,3097.08,213.644
54,3127,3127,3050.05,215.832
55,3127,3127,2966.5,219.683
56,3127,3127,2973.17,223.894
57,3127,3127,3036.71,227.98
58,3127,3127,3068.71,231.195
59,3127,3127,3001.15,235.086
60,3127,3127,3044.85,238.237
61,3127,3127,3047.87,240.485
62,3127,3127,3099.8,242.915
63,3127,3127,3026.28,246.242
64,3127,3127,3001.55,251.007
65,3127,3127,3085.58,253.159
66,3127,3127,3062.33,254.773
67,3127,3127,2990.59,259.983
68,3127,3127,3037.03,263.005
69,3127,3127,3069.97,264.815
70,3127,3127,3066.46,266.734
71,3127,3127,3053.76,268.556
72,3127,3127,3031.66,272.687
73,3127,3127,3028.3,275.975
74,3127,3127,3047.03,278.513
75,3127,3127,3074.16,280.319
76,3127,3127,3028.9,283.452
77,3127,3127,3005.57,286.297
78,3127,3127,3070.13,289.483
79,3127,3127,3044.61,293.461
80,3127,3127,3064.11,296.733
81,3127,3127,3068.21,299.41
82,3127,3127,3083.84,302.067
