gen,best_so_far,gen_best,gen_avg,elapsed_s
0,2217,2217,1987.4,64.573
1,2217,2217,1916.44,65.062
2,2217,2217,1888.12,65.977
3,2217,2217,1882.92,66.578
4,2217,2217,1847.38,68.585
5,2218,2218,1907.68,70.392
6,2218,2218,1919.84,71.928
7,2218,2218,1884.28,72.557
8,2218,2218,1857.48,73.806
9,2218,2218,1841.38,74.432
10,2218,2218,1848.86,75.639
11,2218,2218,1907.84,77.343
12,2218,2218,1873.46,80.809
13,2218,2218,1817.3,82.655
14,2218,2218,1871.08,82.953
15,2218,2218,1866.84,83.15
16,2218,2218,1835.42,83.476
17,2218,2218,1851.9,83.758
18,2218,2218,1814.08,83.957
19,2218,2218,1866.88,84.291
20,2218,2218,1893.86,84.585
21,2218,2218,1843.26,85.027
22,2218,2218,1828.76,85.529
23,2218,2218,1910.88,85.93
24,2218,2218,1906.62,86.153
25,2218,2218,1917.1,86.326
26,2218,2218,1890.8,86.334
27,2218,2218,1872.06,86.582
28,2218,2218,1862.98,86.892
29,2218,2218,1841.2,86.9
30,2218,2218,1764.64,87.015
31,2218,2218,1799.52,87.18
32,2218,2218,1839.78,87.29
33,2218,2218,1830.66,87.712
34,2218,2218,1868.36,87.898
35,2218,2218,1876.68,88.013
36,2218,2218,1880.28,88.212
37,2218,2218,1856.02,88.538
38,2218,2218,1957.06,88.546
39,2218,2218,1948.12,88.912
40,2218,2218,1881.48,88.993
41,2218,2218,1799.28,89.36
42,2218,2218,1804.04,89.943
43,2218,2218,1777.78,90.058
44,2218,2218,1821.4,90.344
45,2218,2218,1811.68,90.652
46,2218,2218,1810.14,90.944
47,2218,2218,1738.66,91.144
48,2218,2218,1743.5,91.471
49,2218,2218,1745.62,91.563
50,2218,2218,1836.28,91.923
51,2218,2218,1795.2,92.127
52,2218,2218,1765.92,92.304
53,2218,2218,1844.68,92.755
54,2218,2218,1764.9,93.26
55,2218,2218,1783.92,93.343
56,2218,2218,1827.38,93.445
57,2218,2218,1877.98,93.656
58,2218,2218,1863.86,93.991
59,2218,2218,1833.52,94.107
60,2218,2218,1795.08,94.449
61,2218,2218,1780.68,94.899
62,2218,2218,1773.5,95.178
63,2218,2218,1794.08,95.593
64,2218,2218,1884.9,96.201
65,2218,2218,1877.32,96.657
66,2218,2218,1862.54,97.125
67,2218,2218,1823.24,97.332
68,2218,2218,1860.14,97.669
69,2218,2218,1817.28,97.849
70,2218,2218,1838.08,98.29
71,2218,2218,1805.16,98.594
72,2218,2218,1758.14,98.694
73,2218,2218,1778.1,99.018
74,2218,2218,1842.64,99.262
75,2218,2218,1906.36,99.47
76,2218,2218,1942.86,99.827
77,2218,2218,1914.48,99.945
78,2218,2218,1856.58,100.148
79,2218,2218,1841.0,100.593
80,2218,2218,1862.94,101.102
81,2218,2218,1875.72,101.41
82,2218,2218,1863.2,101.587
83,2218,2218,1863.8,101.595
84,2218,2218,1838.64,101.602
85,2218,2218,1887.74,101.703
86,2218,2218,1926.36,101.82
87,2218,2218,1782.32,102.169
88,2218,2218,1771.18,102.293
89,2218,2218,1834.38,102.387
90,2218,2218,1778.58,102.504
91,2218,2218,1784.52,102.512
92,2218,2218,1880.26,102.817
93,2218,2218,1848.64,103.172
94,2218,2218,1776.72,103.626
95,2218,2218,1791.24,104.058
96,2218,2218,1817.2,104.158
97,2218,2218,1808.9,104.634
98,2218,2218,1778.56,105.319
99,2218,2218,1780.78,105.688
100,2218,2218,1738.98,106.012
