gen,best_so_far,gen_best,gen_avg,elapsed_s
0,2223,2223,2007.89,33.702
1,2223,2223,1867.58,34.59
2,2223,2223,1841.02,35.609
3,2223,2223,1861.4,36.557
4,2223,2223,1839.07,37.657
5,2223,2223,1843.74,39.022
6,2223,2223,1809.8,40.148
7,2231,2231,1788.96,40.586
8,2231,2231,1771.51,41.441
9,2231,2231,1775.58,42.651
10,2231,2231,1881.42,43.259
11,2231,2231,1930.69,43.858
12,2231,2231,1924.68,44.284
13,2231,2231,1919.45,45.204
14,2231,2231,1856.26,45.821
15,2231,2231,1886.3,46.98
16,2231,2231,1901.05,47.757
17,2231,2231,1943.17,48.779
18,2233,2233,1933.9,49.471
19,2233,2233,1934.7,50.508
20,2233,2233,1906.07,50.818
21,2233,2233,1906.36,51.928
22,2233,2233,1915.59,52.824
23,2233,2233,1895.51,53.918
24,2233,2233,1930.27,55.018
25,2233,2233,1917.12,56.224
26,2233,2233,1885.63,57.188
27,2233,2233,1918.88,58.039
28,2233,2233,1867.41,58.403
29,2233,2233,1860.55,59.656
30,2233,2233,1846.18,60.404
31,2233,2233,1823.96,61.761
32,2233,2233,1827.46,63.177
33,2233,2233,1825.81,64.428
34,2233,2233,1811.39,65.358
35,2233,2233,1861.11,66.021
36,2233,2233,1879.85,67.204
37,2233,2233,1868.26,67.601
38,2233,2233,1866.08,68.745
39,2233,2233,1884.58,69.467
40,2233,2233,1861.85,70.583
41,2233,2233,1850.86,71.787
42,2233,2233,1835.02,72.159
43,2233,2233,1844.03,72.297
44,2233,2233,1892.87,73.096
45,2233,2233,1907.35,74.785
46,2233,2233,1862.83,76.076
47,2233,2233,1849.9,77.223
48,2233,2233,1834.94,78.462
49,2233,2233,1829.87,79.092
50,2233,2233,1830.33,79.951
51,2233,2233,1839.22,81.232
52,2233,2233,1798.19,82.644
53,2233,2233,1830.55,83.465
54,2233,2233,1864.45,84.675
55,2233,2233,1841.76,85.574
56,2233,2233,1829.08,86.192
57,2233,2233,1833.25,86.912
58,2233,2233,1796.32,87.668
59,2233,2233,1839.61,88.868
60,2233,2233,1869.45,89.348
61,2233,2233,1892.29,90.39
62,2233,2233,1904.27,91.684
63,2233,2233,1887.49,92.669
64,2233,2233,1865.36,93.291
65,2233,2233,1838.48,93.984
66,2233,2233,1839.0,94.677
67,2233,2233,1853.07,95.037
68,2233,2233,1809.32,95.86
69,2233,2233,1824.25,96.478
70,2233,2233,1866.67,97.51
71,2233,2233,1861.97,98.109
72,2233,2233,1858.37,99.245
73,2233,2233,1883.85,99.654
74,2233,2233,1832.05,100.812
75,2233,2233,1857.62,101.766
76,2233,2233,1889.78,102.807
77,2233,2233,1897.1,103.654
78,2233,2233,1885.57,104.399
79,2233,2233,1876.55,105.586
80,2233,2233,1867.2,106.065
81,2233,2233,1919.5,106.671
82,2233,2233,1939.74,107.618
83,2233,2233,1913.98,108.78
84,2233,2233,1951.79,110.078
85,2233,2233,1935.91,110.753
86,2233,2233,1877.91,111.744
87,2233,2233,1893.54,112.7
88,2233,2233,1902.79,114.739
89,2233,2233,1866.84,115.313
90,2233,2233,1851.41,116.002
91,2233,2233,1878.62,116.824
92,2233,2233,1903.02,117.351
93,2233,2233,1875.85,118.385
94,2233,2233,1860.18,119.429
95,2233,2233,1904.54,120.99
96,2233,2233,1865.97,121.499
97,2233,2233,1913.34,122.107
98,2233,2233,1864.31,122.969
99,2233,2233,1830.67,124.077
100,2233,2233,1865.76,124.908
101,2233,2233,1847.17,125.739
102,2233,2233,1856.36,126.475
103,2233,2233,1868.19,127.511
104,2233,2233,1872.61,128.419
105,2233,2233,1916.6,128.897
106,2233,2233,1869.08,129.662
107,2233,2233,1852.69,130.771
108,2233,2233,1856.71,131.553
109,2233,2233,1857.02,132.828
110,2233,2233,1836.79,133.403
111,2233,2233,1866.05,134.556
112,2233,2233,1887.23,135.69
113,2233,2233,1883.6,136.874
114,2233,2233,1915.01,137.349
115,2233,2233,1940.93,139.251
116,2233,2233,1874.15,140.25
117,2233,2233,1868.0,141.295
118,2233,2233,1853.32,141.87
119,2233,2233,1881.44,142.543
120,2233,2233,1882.23,143.371
121,2233,2233,1878.77,144.171
122,2233,2233,1885.26,144.809
123,2233,2233,1871.12,145.489
124,2233,2233,1850.33,146.658
125,2233,2233,1895.55,147.256
126,2233,2233,1855.7,148.412
127,2233,2233,1888.13,149.36
128,2233,2233,1886.46,150.156
129,2233,2233,1903.02,151.376
130,2233,2233,1905.99,152.465
131,2233,2233,1897.21,154.058
132,2233,2233,1865.75,154.493
133,2233,2233,1861.19,155.391
134,2233,2233,1868.01,156.262
135,2233,2233,1904.99,156.794
136,2233,2233,1886.35,157.562
137,2233,2233,1861.66,158.225
138,2233,2233,1857.04,158.914
139,2233,2233,1853.65,159.741
140,2233,2233,1837.76,161.312
141,2233,2233,1813.21,162.356
142,2233,2233,1829.8,163.226
143,2233,2233,1834.92,164.917
144,2233,2233,1893.89,165.502
145,2233,2233,1859.17,166.785
146,2233,2233,1885.52,168.352
147,2233,2233,1882.11,168.957
148,2233,2233,1864.91,169.807
149,2233,2233,1841.74,171.063
150,2233,2233,1831.03,171.458
151,2233,2233,1861.6,172.07
152,2233,2233,1921.09,172.982
