gen,best_so_far,gen_best,gen_avg,elapsed_s
0,2223,2223,2007.89,32.198
1,2223,2223,1867.58,33.001
2,2223,2223,1841.02,34.003
3,2223,2223,1861.4,34.903
4,2223,2223,1839.07,35.892
5,2223,2223,1843.74,37.19
6,2223,2223,1809.8,38.282
7,2231,2231,1788.96,38.707
8,2231,2231,1771.51,39.47
9,2231,2231,1775.58,40.62
10,2231,2231,1881.42,41.186
11,2231,2231,1930.69,41.761
12,2231,2231,1924.68,42.178
13,2231,2231,1919.45,43.146
14,2231,2231,1856.26,43.726
15,2231,2231,1886.3,44.806
16,2231,2231,1901.05,45.531
17,2231,2231,1943.17,46.492
18,2233,2233,1933.9,47.239
19,2233,2233,1934.7,48.288
20,2233,2233,1906.07,48.614
21,2233,2233,1906.36,49.694
22,2233,2233,1915.59,50.604
23,2233,2233,1895.51,51.623
24,2233,2233,1930.27,52.687
25,2233,2233,1917.12,53.772
26,2233,2233,1885.63,54.624
27,2233,2233,1918.88,55.405
28,2233,2233,1867.41,55.739
29,2233,2233,1860.55,56.888
30,2233,2233,1846.18,57.62
31,2233,2233,1823.96,58.848
32,2233,2233,1827.46,60.174
33,2233,2233,1825.81,61.331
34,2233,2233,1811.39,62.181
35,2233,2233,1861.11,62.787
36,2233,2233,1879.85,63.909
37,2233,2233,1868.26,64.228
38,2233,2233,1866.08,65.246
39,2233,2233,1884.58,65.913
40,2233,2233,1861.85,66.932
41,2233,2233,1850.86,68.093
42,2233,2233,1835.02,68.472
43,2233,2233,1844.03,68.618
44,2233,2233,1892.87,69.444
45,2233,2233,1907.35,71.061
46,2233,2233,1862.83,72.373
47,2233,2233,1849.9,73.533
48,2233,2233,1834.94,74.794
49,2233,2233,1829.87,75.391
50,2233,2233,1830.33,76.303
51,2233,2233,1839.22,77.583
52,2233,2233,1798.19,79.237
53,2233,2233,1830.55,80.122
54,2233,2233,1864.45,81.342
55,2233,2233,1841.76,82.275
56,2233,2233,1829.08,82.915
57,2233,2233,1833.25,83.66
58,2233,2233,1796.32,84.456
59,2233,2233,1839.61,85.842
60,2233,2233,1869.45,86.336
61,2233,2233,1892.29,87.462
62,2233,2233,1904.27,88.986
63,2233,2233,1887.49,90.148
64,2233,2233,1865.36,90.998
65,2233,2233,1838.48,91.782
66,2233,2233,1839.0,92.523
67,2233,2233,1853.07,92.921
68,2233,2233,1809.32,93.768
69,2233,2233,1824.25,94.386
70,2233,2233,1866.67,95.393
71,2233,2233,1861.97,96.0
72,2233,2233,1858.37,97.147
73,2233,2233,1883.85,97.565
74,2233,2233,1832.05,99.231
75,2233,2233,1857.62,100.257
76,2233,2233,1889.78,101.355
77,2233,2233,1897.1,102.226
78,2233,2233,1885.57,103.024
79,2233,2233,1876.55,104.396
80,2233,2233,1867.2,104.963
81,2233,2233,1919.5,105.574
82,2233,2233,1939.74,106.582
83,2233,2233,1913.98,107.774
84,2233,2233,1951.79,109.112
85,2233,2233,1935.91,109.749
86,2233,2233,1877.91,110.718
87,2233,2233,1893.54,111.674
88,2233,2233,1902.79,113.695
89,2233,2233,1866.84,114.288
90,2233,2233,1851.41,114.983
91,2233,2233,1878.62,115.808
92,2233,2233,1903.02,116.349
93,2233,2233,1875.85,117.482
94,2233,2233,1860.18,118.598
95,2233,2233,1904.54,120.17
96,2233,2233,1865.97,120.664
97,2233,2233,1913.34,121.275
98,2233,2233,1864.31,122.113
99,2233,2233,1830.67,123.225
100,2233,2233,1865.76,124.041
