gen,best_so_far,gen_best,gen_avg,elapsed_s
0,2223,2223,2007.89,53.475
1,2223,2223,1547.57,54.34
2,2223,2223,1577.69,55.055
3,2223,2223,1669.7,60.305
4,2223,2223,1743.22,65.467
5,2223,2223,1867.5,69.157
6,2224,2224,1974.89,70.828
7,2225,2225,2068.72,72.71
8,2225,2225,2100.67,77.575
9,2225,2225,2122.85,81.308
10,2225,2225,2110.72,84.624
11,2225,2225,2144.13,85.52
12,2225,2225,2100.21,86.964
13,2225,2225,2139.28,88.272
14,2225,2225,2114.02,89.866
15,2225,2225,2166.18,90.946
16,2282,2282,2121.96,92.679
17,2282,2282,2174.05,93.495
18,2282,2282,2185.57,94.613
19,2282,2282,2138.83,95.577
20,2283,2283,2150.8,95.998
21,2283,2283,2150.32,97.436
22,2283,2283,2220.49,100.933
23,2283,2283,2169.21,106.303
24,2283,2283,2213.74,110.3
25,2283,2283,2198.35,115.31
26,2283,2283,2157.23,121.856
27,2283,2283,2210.01,126.347
28,2283,2283,2206.65,129.753
29,2283,2283,2225.06,133.396
30,2283,2283,2195.77,142.202
31,2283,2283,2180.41,151.172
32,2283,2283,2133.35,159.606
33,2283,2283,2203.36,168.408
34,2283,2283,2222.71,169.143
35,2283,2283,2233.31,169.924
36,2283,2283,2218.36,170.636
37,2283,2283,2252.79,171.156
38,2283,2283,2260.22,171.292
39,2283,2283,2216.51,171.828
40,2283,2283,2253.28,172.07
41,2283,2283,2205.06,172.752
42,2283,2283,2191.77,173.943
43,2283,2283,2159.98,174.99
44,2283,2283,2157.78,176.336
45,2283,2283,2156.76,177.675
46,2283,2283,2225.17,178.316
47,2283,2283,2233.52,178.952
48,2283,2283,2229.39,179.468
49,2283,2283,2208.27,180.521
50,2283,2283,2187.15,181.482
51,2283,2283,2210.39,182.602
52,2283,2283,2186.19,184.105
53,2283,2283,2215.56,184.949
54,2283,2283,2229.65,185.475
55,2283,2283,2212.79,186.234
56,2283,2283,2184.58,187.394
57,2283,2283,2153.05,188.664
58,2283,2283,2186.51,189.586
59,2283,2283,2180.54,190.599
60,2283,2283,2246.76,191.397
61,2283,2283,2210.24,192.435
62,2283,2283,2210.29,193.132
63,2283,2283,2242.18,193.502
64,2283,2283,2238.68,193.829
65,2283,2283,2211.58,194.383
66,2283,2283,2166.92,195.273
67,2283,2283,2235.07,195.962
68,2283,2283,2208.67,197.132
69,2283,2283,2204.49,198.073
70,2283,2283,2190.72,199.123
71,2283,2283,2252.07,199.629
72,2283,2283,2241.26,199.998
73,2283,2283,2219.84,200.658
74,2283,2283,2210.87,201.219
75,2283,2283,2217.89,203.41
76,2283,2283,2245.31,206.631
77,2283,2283,2266.98,209.148
78,2283,2283,2224.83,211.621
79,2283,2283,2226.77,218.246
80,2283,2283,2210.01,223.24
81,2283,2283,2226.19,226.029
82,2283,2283,2215.77,227.248
83,2283,2283,2211.09,228.398
84,2283,2283,2226.12,229.487
85,2283,2283,2221.78,230.207
86,2283,2283,2247.95,230.722
87,2283,2283,2242.38,231.055
88,2283,2283,2178.77,232.176
89,2283,2283,2206.3,233.106
90,2283,2283,2186.57,234.248
91,2283,2283,2217.6,235.215
92,2283,2283,2225.34,236.196
93,2283,2283,2139.58,237.843
94,2283,2283,2084.08,239.502
95,2283,2283,2194.81,240.694
96,2283,2283,2230.28,241.333
97,2283,2283,2232.64,242.065
98,2283,2283,2240.62,242.801
99,2283,2283,2187.98,244.693
100,2283,2283,2232.0,245.643
101,2283,2283,2213.43,246.547
102,2283,2283,2238.7,247.582
103,2283,2283,2212.75,248.138
104,2283,2283,2191.89,249.275
105,2283,2283,2204.05,250.14
106,2283,2283,2220.17,251.092
107,2283,2283,2192.09,252.042
108,2283,2283,2199.92,253.176
109,2283,2283,2230.59,254.108
110,2283,2283,2208.27,255.003
111,2283,2283,2228.01,255.837
112,2283,2283,2183.3,256.71
113,2283,2283,2236.98,257.298
114,2283,2283,2222.19,257.861
115,2283,2283,2223.26,260.014
116,2283,2283,2228.78,261.272
117,2283,2283,2180.87,262.268
118,2283,2283,2195.11,262.909
119,2283,2283,2241.74,263.338
120,2283,2283,2214.11,264.161
121,2283,2283,2161.63,265.06
122,2283,2283,2216.44,265.918
123,2283,2283,2172.74,266.964
124,2283,2283,2209.5,268.105
125,2283,2283,2220.08,268.697
126,2283,2283,2228.51,269.531
127,2283,2283,2174.54,271.103
128,2283,2283,2237.55,271.611
129,2283,2283,2214.7,272.946
130,2283,2283,2228.99,273.838
131,2283,2283,2181.38,275.215
132,2283,2283,2202.91,276.428
133,2283,2283,2222.0,277.303
134,2283,2283,2217.48,277.891
135,2283,2283,2194.38,279.012
136,2283,2283,2173.71,280.336
137,2283,2283,2248.94,280.616
138,2283,2283,2223.75,281.225
139,2283,2283,2196.02,282.233
140,2283,2283,2229.23,282.964
141,2283,2283,2202.54,284.253
142,2283,2283,2241.55,284.804
143,2283,2283,2230.23,285.462
144,2283,2283,2205.24,286.101
145,2283,2283,2240.36,286.501
146,2283,2283,2180.51,287.386
147,2283,2283,2212.94,288.335
148,2283,2283,2254.49,288.97
149,2283,2283,2200.12,289.966
150,2283,2283,2203.25,290.992
