gen,best_so_far,gen_best,gen_avg,elapsed_s
0,1889,1889,1568.96,134.296
1,1889,1889,1620.24,134.502
2,1984,1984,1655.4,136.317
3,1984,1984,1735.26,137.414
4,2043,2043,1768.5,138.986
5,2043,2043,1820.3,138.998
6,2086,2086,1870.66,139.987
7,2100,2100,1911.38,141.12
8,2100,2100,1915.62,142.24
9,2100,2100,1925.18,142.978
10,2100,2100,1950.44,144.615
11,2100,2100,1937.38,148.622
12,2106,2106,1929.42,150.35
13,2106,2106,1962.12,150.796
14,2106,2106,1957.42,151.862
15,2106,2106,1967.62,153.271
16,2106,2106,1947.32,154.341
17,2106,2106,1964.26,156.45
18,2106,2106,1978.4,158.5
19,2106,2106,2004.0,159.457
20,2106,2106,2015.8,161.866
21,2106,2106,1997.48,164.197
22,2106,2106,1968.44,166.966
23,2106,2106,1997.24,168.131
24,2106,2106,1986.24,168.145
25,2106,2106,1973.0,168.74
26,2106,2106,1918.46,168.754
27,2106,2106,1921.0,169.177
28,2106,2106,1950.0,169.948
29,2106,2106,1946.32,170.349
30,2106,2106,1982.52,171.335
31,2106,2106,1995.06,173.892
32,2106,2106,1958.7,175.875
33,2106,2106,1974.74,175.889
34,2106,2106,1956.3,177.059
35,2106,2106,1963.32,183.356
36,2106,2106,1983.04,183.498
37,2106,2106,2026.22,183.513
38,2106,2106,1994.26,193.014
39,2106,2106,1967.02,202.255
40,2106,2106,1949.16,211.403
41,2106,2106,1966.6,213.794
42,2106,2106,1996.3,223.107
43,2106,2106,1960.86,234.447
44,2106,2106,1928.2,236.846
45,2106,2106,1918.68,246.751
46,2106,2106,1944.66,249.333
47,2106,2106,1953.6,252.116
48,2106,2106,1955.68,253.408
49,2106,2106,1937.0,253.888
50,2106,2106,1965.84,255.812
51,2106,2106,1958.82,258.058
52,2106,2106,1963.3,260.908
53,2106,2106,1953.8,262.535
54,2106,2106,1954.64,263.547
55,2106,2106,1937.06,263.94
56,2106,2106,1968.88,265.072
57,2106,2106,1949.52,266.695
58,2106,2106,1910.1,268.329
59,2106,2106,1894.78,270.089
60,2106,2106,1905.76,276.177
61,2106,2106,1962.44,290.559
62,2106,2106,1958.24,300.591
