gen,best_so_far,gen_best,gen_avg,elapsed_s
0,1889,1889,1572.85,185.403
1,1889,1889,1581.33,187.143
2,1889,1889,1617.33,192.942
3,1959,1959,1645.2,194.524
4,1991,1991,1669.3,199.801
5,2015,2015,1732.41,203.983
6,2054,2054,1737.55,204.959
7,2054,2054,1775.29,209.13
8,2054,2054,1800.42,212.182
9,2124,2124,1824.41,215.643
10,2124,2124,1852.56,217.011
11,2124,2124,1858.0,218.754
12,2124,2124,1861.65,220.111
13,2124,2124,1878.63,225.402
14,2124,2124,1879.59,228.842
15,2124,2124,1873.39,234.051
16,2124,2124,1888.62,236.194
17,2124,2124,1913.89,240.725
18,2124,2124,1913.68,243.722
19,2124,2124,1897.5,246.636
20,2124,2124,1918.79,249.573
21,2124,2124,1921.59,251.977
22,2124,2124,1916.85,256.36
23,2124,2124,1925.05,260.31
24,2124,2124,1940.08,264.194
25,2124,2124,1952.1,265.835
26,2124,2124,1916.25,267.951
27,2124,2124,1907.32,272.254
28,2124,2124,1891.85,276.432
29,2124,2124,1884.98,280.403
30,2124,2124,1895.1,284.119
31,2124,2124,1882.06,287.839
32,2124,2124,1881.51,290.476
33,2124,2124,1887.33,293.413
34,2124,2124,1917.58,296.754
35,2124,2124,1913.58,298.77
36,2124,2124,1912.14,303.941
