gen,best_so_far,gen_best,gen_avg,elapsed_s
0,1504,1504,1219.52,0.134
1,1533,1533,1288.16,0.146
2,1533,1533,1314.08,0.153
3,1608,1608,1344.1,0.162
4,1608,1608,1418.04,0.171
5,1608,1608,1444.52,0.18
6,1614,1614,1444.34,0.187
7,1614,1614,1475.92,0.202
8,1614,1614,1477.38,0.209
9,1614,1614,1489.8,0.22
10,1766,1766,1496.34,0.232
11,1841,1841,1506.62,0.25
12,1841,1841,1530.78,0.269
13,1841,1841,1597.26,0.282
14,1841,1841,1598.08,0.294
15,1841,1841,1628.1,0.312
16,1841,1841,1657.22,0.323
17,1841,1841,1671.84,0.331
18,1841,1841,1674.98,0.344
19,1841,1841,1709.5,0.357
20,1841,1841,1683.0,0.367
21,1841,1841,1721.72,0.38
22,1841,1841,1702.86,0.405
23,1841,1841,1723.22,0.415
24,1841,1841,1694.5,0.429
25,1847,1847,1715.02,0.438
26,1847,1847,1700.9,0.451
27,1847,1847,1684.44,0.459
28,1847,1847,1709.14,0.47
29,1847,1847,1687.52,0.485
30,1847,1847,1670.8,0.495
31,1847,1847,1682.9,0.503
32,1847,1847,1688.96,0.511
33,1847,1847,1676.82,0.529
34,1847,1847,1689.16,0.537
35,1847,1847,1693.26,0.551
36,1847,1847,1685.3,0.569
37,1847,1847,1723.84,0.585
38,1847,1847,1739.08,0.6
39,1847,1847,1668.78,0.61
40,1847,1847,1688.88,0.622
41,1847,1847,1678.18,0.637
42,1847,1847,1679.34,0.645
43,1847,1847,1682.98,0.659
44,1847,1847,1706.18,0.672
45,1847,1847,1714.7,0.681
46,1847,1847,1708.16,0.696
47,1847,1847,1682.74,0.712
48,1847,1847,1687.58,0.731
49,1847,1847,1688.22,0.742
50,1847,1847,1686.72,0.758
51,1847,1847,1682.58,0.77
52,1847,1847,1690.44,0.78
53,1847,1847,1665.22,0.8
54,1847,1847,1652.06,0.815
55,1847,1847,1671.28,0.831
56,1847,1847,1675.0,0.842
57,1847,1847,1697.98,0.852
58,1847,1847,1676.72,0.863
59,1847,1847,1679.8,0.875
60,1847,1847,1676.28,0.886
61,1847,1847,1694.08,0.9
62,1847,1847,1686.22,0.914
63,1847,1847,1708.36,0.929
64,1847,1847,1701.76,0.951
65,1847,1847,1682.8,0.966
66,1847,1847,1697.22,0.982
67,1847,1847,1706.6,0.997
68,1847,1847,1676.7,1.013
69,1847,1847,1675.02,1.026
70,1847,1847,1683.1,1.045
71,1847,1847,1683.12,1.063
72,1847,1847,1707.32,1.073
73,1847,1847,1698.26,1.087
74,1847,1847,1731.3,1.102
75,1847,1847,1720.98,1.113
76,1847,1847,1726.22,1.124
77,1847,1847,1701.64,1.147
78,1847,1847,1678.9,1.157
79,1847,1847,1676.96,1.17
80,1847,1847,1667.46,1.189
81,1847,1847,1657.88,1.208
82,1847,1847,1679.98,1.221
83,1847,1847,1690.72,1.234
84,1847,1847,1692.72,1.244
85,1847,1847,1698.2,1.262
86,1847,1847,1709.04,1.275
87,1847,1847,1683.4,1.283
88,1847,1847,1659.32,1.29
89,1847,1847,1679.08,1.3
90,1847,1847,1672.52,1.31
91,1847,1847,1700.1,1.32
92,1847,1847,1703.02,1.33
93,1847,1847,1709.78,1.341
94,1847,1847,1687.28,1.354
95,1847,1847,1681.04,1.367
96,1847,1847,1700.8,1.374
97,1847,1847,1682.9,1.384
98,1847,1847,1689.88,1.394
99,1847,1847,1662.34,1.407
100,1847,1847,1659.2,1.423
101,1847,1847,1662.18,1.439
102,1847,1847,1606.34,1.465
103,1847,1847,1654.18,1.475
104,1847,1847,1684.84,1.486
105,1847,1847,1664.0,1.505
106,1847,1847,1682.52,1.519
107,1847,1847,1659.48,1.529
108,1847,1847,1689.68,1.548
109,1847,1847,1685.08,1.559
110,1847,1847,1671.14,1.566
111,1847,1847,1690.9,1.576
112,1847,1847,1682.46,1.586
113,1847,1847,1659.76,1.599
114,1847,1847,1673.92,1.612
115,1847,1847,1686.52,1.624
116,1847,1847,1676.26,1.647
117,1847,1847,1658.88,1.657
118,1847,1847,1677.48,1.67
119,1847,1847,1665.42,1.685
120,1847,1847,1687.54,1.698
121,1847,1847,1685.22,1.711
122,1847,1847,1708.04,1.724
123,1847,1847,1710.02,1.75
124,1847,1847,1678.82,1.763
125,1847,1847,1687.82,1.782
126,1847,1847,1703.56,1.792
127,1847,1847,1682.32,1.811
128,1847,1847,1681.18,1.831
129,1847,1847,1673.02,1.842
130,1847,1847,1690.92,1.857
131,1847,1847,1707.62,1.871
132,1847,1847,1701.98,1.883
133,1847,1847,1696.78,1.893
134,1847,1847,1694.12,1.902
135,1847,1847,1689.06,1.918
136,1847,1847,1668.6,1.935
137,1847,1847,1643.9,1.951
138,1847,1847,1658.8,1.967
139,1847,1847,1653.96,1.978
140,1847,1847,1614.04,2.0
141,1847,1847,1651.12,2.017
142,1847,1847,1631.04,2.03
143,1847,1847,1663.6,2.04
144,1847,1847,1666.56,2.049
145,1847,1847,1677.04,2.061
146,1847,1847,1690.14,2.08
147,1847,1847,1676.28,2.091
148,1847,1847,1681.58,2.102
149,1847,1847,1651.54,2.113
150,1847,1847,1685.54,2.122
151,1847,1847,1690.58,2.133
152,1847,1847,1670.9,2.148
153,1847,1847,1677.28,2.16
154,1847,1847,1687.76,2.169
155,1847,1847,1666.02,2.184
156,1847,1847,1694.7,2.206
157,1847,1847,1689.22,2.222
158,1847,1847,1724.66,2.232
159,1847,1847,1722.9,2.247
160,1847,1847,1673.9,2.263
161,1847,1847,1669.4,2.285
162,1847,1847,1654.36,2.3
163,1847,1847,1657.82,2.315
164,1847,1847,1645.06,2.327
165,1847,1847,1660.3,2.336
166,1847,1847,1675.82,2.346
167,1847,1847,1664.4,2.36
168,1847,1847,1676.84,2.377
169,1847,1847,1686.2,2.39
170,1847,1847,1675.58,2.409
171,1847,1847,1669.72,2.42
172,1847,1847,1668.18,2.431
173,1847,1847,1679.74,2.439
174,1847,1847,1695.18,2.449
175,1847,1847,1726.56,2.467
176,1847,1847,1711.1,2.478
177,1847,1847,1668.84,2.495
178,1847,1847,1705.16,2.505
179,1847,1847,1685.9,2.534
180,1847,1847,1712.2,2.55
181,1847,1847,1732.86,2.568
182,1847,1847,1726.16,2.587
183,1847,1847,1706.02,2.6
184,1847,1847,1689.68,2.614
185,1847,1847,1683.26,2.624
186,1847,1847,1676.72,2.642
187,1847,1847,1700.62,2.657
188,1847,1847,1700.94,2.671
189,1847,1847,1721.32,2.688
190,1847,1847,1699.88,2.705
191,1847,1847,1714.96,2.715
192,1847,1847,1701.6,2.726
193,1847,1847,1712.48,2.738
194,1847,1847,1692.34,2.753
195,1847,1847,1700.5,2.767
196,1847,1847,1718.7,2.789
197,1847,1847,1698.94,2.8
198,1847,1847,1719.68,2.812
199,1847,1847,1683.7,2.826
200,1847,1847,1691.18,2.843
201,1847,1847,1676.62,2.873
202,1847,1847,1652.48,2.885
203,1847,1847,1662.28,2.894
204,1847,1847,1682.24,2.908
205,1847,1847,1702.46,2.918
206,1847,1847,1704.76,2.928
207,1847,1847,1663.5,2.945
208,1847,1847,1656.5,2.965
209,1847,1847,1656.48,2.98
210,1847,1847,1675.02,2.998
211,1847,1847,1682.04,3.009
212,1847,1847,1683.56,3.017
213,1847,1847,1678.18,3.034
214,1847,1847,1688.96,3.053
215,1847,1847,1657.64,3.068
216,1847,1847,1699.54,3.086
217,1847,1847,1740.86,3.097
218,1847,1847,1711.8,3.107
219,1847,1847,1700.74,3.115
220,1847,1847,1704.96,3.123
221,1847,1847,1704.72,3.131
222,1847,1847,1691.88,3.152
223,1847,1847,1677.66,3.173
224,1847,1847,1688.86,3.19
225,1847,1847,1701.4,3.202
226,1847,1847,1681.12,3.212
227,1847,1847,1690.88,3.234
228,1847,1847,1722.36,3.249
229,1847,1847,1668.96,3.258
230,1847,1847,1668.74,3.272
231,1847,1847,1676.0,3.287
232,1847,1847,1674.42,3.301
233,1847,1847,1687.18,3.315
234,1847,1847,1691.6,3.33
235,1847,1847,1725.78,3.346
236,1847,1847,1707.0,3.357
237,1847,1847,1707.42,3.365
238,1847,1847,1716.84,3.373
239,1847,1847,1695.28,3.382
240,1847,1847,1707.44,3.391
241,1847,1847,1713.5,3.409
242,1847,1847,1706.08,3.423
243,1847,1847,1718.42,3.44
244,1847,1847,1712.78,3.459
245,1847,1847,1693.0,3.474
246,1847,1847,1682.4,3.484
247,1847,1847,1690.7,3.494
248,1847,1847,1660.62,3.505
249,1847,1847,1672.7,3.514
250,1847,1847,1643.86,3.529
251,1847,1847,1623.28,3.537
252,1847,1847,1687.64,3.551
253,1847,1847,1707.36,3.56
254,1847,1847,1710.46,3.569
255,1847,1847,1711.98,3.581
256,1847,1847,1690.1,3.604
257,1847,1847,1705.1,3.614
258,1847,1847,1676.92,3.63
259,1847,1847,1696.06,3.644
260,1847,1847,1703.44,3.654
261,1847,1847,1694.92,3.667
262,1847,1847,1694.56,3.681
263,1847,1847,1691.62,3.699
264,1847,1847,1715.52,3.711
265,1847,1847,1684.94,3.722
266,1847,1847,1666.36,3.736
267,1847,1847,1681.74,3.746
268,1847,1847,1683.7,3.769
269,1847,1847,1676.64,3.783
270,1847,1847,1656.32,3.802
271,1847,1847,1682.34,3.82
272,1847,1847,1670.48,3.84
273,1847,1847,1685.4,3.852
274,1847,1847,1702.66,3.871
275,1847,1847,1695.58,3.89
276,1847,1847,1677.78,3.905
277,1847,1847,1687.5,3.923
278,1847,1847,1678.42,3.935
279,1847,1847,1658.88,3.945
280,1847,1847,1648.36,3.955
281,1847,1847,1681.2,3.966
282,1847,1847,1721.2,3.979
283,1847,1847,1749.06,3.99
284,1847,1847,1734.6,4.008
285,1847,1847,1707.12,4.019
286,1847,1847,1712.34,4.027
287,1847,1847,1690.44,4.041
288,1847,1847,1670.2,4.051
289,1847,1847,1698.62,4.077
290,1847,1847,1671.68,4.096
291,1847,1847,1697.8,4.109
292,1847,1847,1691.22,4.122
293,1847,1847,1688.58,4.133
294,1847,1847,1682.54,4.149
295,1847,1847,1661.1,4.163
296,1847,1847,1685.8,4.175
297,1847,1847,1718.74,4.191
298,1847,1847,1703.06,4.203
299,1847,1847,1704.46,4.22
300,1847,1847,1706.84,4.237
301,1847,1847,1709.98,4.252
302,1847,1847,1728.4,4.265
303,1847,1847,1721.54,4.276
304,1847,1847,1703.88,4.286
305,1847,1847,1689.9,4.3
306,1847,1847,1687.0,4.314
307,1847,1847,1702.06,4.326
308,1847,1847,1621.58,4.336
309,1847,1847,1664.62,4.348
310,1847,1847,1658.82,4.368
311,1847,1847,1690.12,4.386
312,1847,1847,1700.88,4.405
313,1847,1847,1678.7,4.42
314,1847,1847,1696.18,4.435
315,1847,1847,1691.24,4.45
316,1847,1847,1714.5,4.466
317,1847,1847,1700.58,4.48
318,1847,1847,1693.02,4.489
319,1847,1847,1707.86,4.504
320,1847,1847,1683.3,4.526
321,1847,1847,1702.06,4.541
322,1847,1847,1702.84,4.554
323,1847,1847,1726.7,4.568
324,1847,1847,1692.74,4.581
325,1847,1847,1688.78,4.595
326,1847,1847,1693.04,4.609
327,1847,1847,1685.08,4.62
328,1847,1847,1666.06,4.634
329,1847,1847,1676.08,4.649
330,1847,1847,1685.7,4.665
331,1847,1847,1674.78,4.686
332,1847,1847,1702.5,4.707
333,1847,1847,1714.56,4.723
334,1847,1847,1733.1,4.735
335,1847,1847,1714.62,4.745
336,1847,1847,1686.16,4.762
337,1847,1847,1692.4,4.779
338,1847,1847,1695.0,4.794
339,1847,1847,1675.34,4.81
340,1847,1847,1687.3,4.824
341,1847,1847,1690.78,4.839
342,1847,1847,1690.12,4.852
343,1847,1847,1699.12,4.863
344,1847,1847,1701.36,4.876
345,1847,1847,1682.72,4.888
346,1847,1847,1679.48,4.9
347,1847,1847,1668.0,4.914
348,1847,1847,1691.88,4.931
349,1847,1847,1688.76,4.943
350,1847,1847,1676.48,4.959
351,1847,1847,1708.36,4.978
352,1847,1847,1742.3,4.99
353,1847,1847,1739.62,5.007
354,1847,1847,1723.9,5.025
355,1847,1847,1674.12,5.05
356,1847,1847,1638.22,5.069
357,1847,1847,1653.18,5.08
358,1847,1847,1665.42,5.1
359,1847,1847,1646.34,5.122
360,1847,1847,1648.18,5.139
361,1847,1847,1644.52,5.152
362,1847,1847,1656.26,5.16
363,1847,1847,1650.74,5.175
364,1847,1847,1651.56,5.185
365,1847,1847,1650.5,5.198
366,1847,1847,1711.74,5.214
367,1847,1847,1715.46,5.226
368,1847,1847,1737.0,5.246
369,1847,1847,1713.68,5.266
370,1847,1847,1715.94,5.275
371,1847,1847,1701.12,5.288
372,1847,1847,1679.1,5.302
373,1847,1847,1686.3,5.314
374,1847,1847,1679.84,5.325
375,1847,1847,1682.4,5.337
376,1847,1847,1691.3,5.363
377,1847,1847,1677.96,5.378
378,1847,1847,1694.4,5.39
379,1847,1847,1675.7,5.409
380,1847,1847,1688.28,5.421
381,1847,1847,1701.88,5.438
382,1847,1847,1716.32,5.456
383,1847,1847,1701.28,5.469
384,1847,1847,1721.54,5.485
385,1847,1847,1699.88,5.499
386,1847,1847,1709.9,5.511
387,1847,1847,1696.82,5.533
388,1847,1847,1683.32,5.549
389,1847,1847,1681.6,5.559
390,1847,1847,1694.64,5.571
391,1847,1847,1689.86,5.582
392,1847,1847,1694.88,5.594
393,1847,1847,1688.82,5.607
394,1847,1847,1700.62,5.622
395,1847,1847,1683.98,5.637
396,1847,1847,1674.76,5.649
397,1847,1847,1666.86,5.661
398,1847,1847,1661.08,5.678
399,1847,1847,1665.3,5.687
400,1847,1847,1656.6,5.705
401,1847,1847,1659.88,5.718
402,1847,1847,1648.28,5.738
403,1847,1847,1629.96,5.756
404,1847,1847,1629.36,5.768
405,1847,1847,1657.24,5.785
406,1847,1847,1666.66,5.8
407,1847,1847,1691.98,5.814
408,1847,1847,1702.66,5.829
409,1847,1847,1693.46,5.839
410,1847,1847,1668.74,5.851
411,1847,1847,1715.24,5.864
412,1847,1847,1708.1,5.879
413,1847,1847,1704.22,5.896
414,1847,1847,1698.94,5.905
415,1847,1847,1688.24,5.923
416,1847,1847,1689.8,5.942
417,1847,1847,1686.06,5.969
418,1847,1847,1700.5,5.984
419,1847,1847,1684.92,5.993
420,1847,1847,1679.14,6.012
421,1847,1847,1679.22,6.027
422,1847,1847,1693.9,6.042
423,1847,1847,1694.5,6.055
424,1847,1847,1668.38,6.064
425,1847,1847,1662.8,6.074
426,1847,1847,1668.68,6.087
427,1847,1847,1698.88,6.106
428,1847,1847,1706.26,6.122
429,1847,1847,1698.38,6.137
430,1847,1847,1720.88,6.151
431,1847,1847,1714.52,6.164
432,1847,1847,1707.68,6.178
433,1847,1847,1681.72,6.19
434,1847,1847,1695.3,6.208
435,1847,1847,1718.62,6.226
436,1847,1847,1692.6,6.249
437,1847,1847,1673.6,6.263
438,1847,1847,1707.28,6.286
439,1847,1847,1708.64,6.295
440,1847,1847,1703.1,6.309
441,1847,1847,1687.6,6.321
442,1847,1847,1679.44,6.332
443,1847,1847,1707.26,6.348
444,1847,1847,1705.48,6.36
445,1847,1847,1732.08,6.371
446,1847,1847,1700.82,6.383
447,1847,1847,1716.62,6.401
448,1847,1847,1697.74,6.413
