gen,best_so_far,gen_best,gen_avg,elapsed_s
0,1540,1540,1204.5,0.315
1,1540,1540,1259.22,0.342
2,1585,1585,1310.36,0.37
3,1660,1660,1358.38,0.395
4,1660,1660,1383.96,0.426
5,1660,1660,1411.43,0.458
6,1698,1698,1417.55,0.503
7,1698,1698,1449.13,0.536
8,1752,1752,1489.06,0.567
9,1752,1752,1538.81,0.597
10,1752,1752,1569.24,0.626
11,1752,1752,1566.13,0.646
12,1752,1752,1597.89,0.673
13,1790,1790,1575.44,0.708
14,1790,1790,1605.3,0.748
15,1790,1790,1621.49,0.783
16,1790,1790,1604.36,0.818
17,1790,1790,1623.82,0.853
18,1790,1790,1619.46,0.881
19,1790,1790,1587.63,0.928
20,1790,1790,1625.88,0.97
21,1790,1790,1611.26,1.002
22,1790,1790,1626.65,1.045
23,1790,1790,1638.38,1.077
24,1790,1790,1618.69,1.113
25,1790,1790,1609.1,1.14
26,1790,1790,1627.54,1.172
27,1790,1790,1628.23,1.207
28,1790,1790,1626.25,1.241
29,1790,1790,1617.4,1.27
30,1790,1790,1615.42,1.322
31,1790,1790,1625.23,1.358
32,1790,1790,1621.39,1.4
33,1790,1790,1615.81,1.431
34,1790,1790,1608.65,1.456
35,1790,1790,1626.47,1.51
36,1790,1790,1619.01,1.549
37,1790,1790,1622.3,1.574
38,1790,1790,1622.43,1.612
39,1790,1790,1632.87,1.645
40,1790,1790,1633.54,1.671
41,1790,1790,1633.57,1.695
42,1790,1790,1623.68,1.724
43,1790,1790,1627.91,1.748
44,1790,1790,1623.05,1.792
45,1790,1790,1622.72,1.83
46,1790,1790,1620.31,1.858
47,1790,1790,1625.15,1.888
48,1790,1790,1589.34,1.94
49,1790,1790,1614.94,1.977
50,1790,1790,1615.84,2.009
51,1790,1790,1617.84,2.039
52,1790,1790,1611.13,2.067
53,1790,1790,1593.24,2.094
54,1790,1790,1606.44,2.139
55,1790,1790,1620.41,2.167
56,1790,1790,1600.7,2.202
57,1790,1790,1619.28,2.232
58,1790,1790,1630.27,2.27
59,1790,1790,1614.68,2.302
60,1790,1790,1627.93,2.345
61,1790,1790,1620.41,2.389
62,1790,1790,1630.7,2.425
63,1790,1790,1626.78,2.451
64,1790,1790,1613.65,2.49
65,1790,1790,1596.1,2.531
66,1790,1790,1616.88,2.566
67,1790,1790,1612.15,2.604
68,1790,1790,1612.99,2.646
69,1790,1790,1630.51,2.677
70,1790,1790,1631.98,2.716
71,1790,1790,1638.94,2.748
72,1790,1790,1640.78,2.776
73,1790,1790,1649.17,2.812
74,1790,1790,1634.78,2.853
75,1790,1790,1653.85,2.883
76,1790,1790,1655.65,2.914
77,1790,1790,1634.69,2.945
