gen,best_so_far,gen_best,gen_avg,elapsed_s
0,1540,1540,1204.5,0.253
1,1540,1540,1259.22,0.276
2,1585,1585,1310.36,0.3
3,1660,1660,1358.38,0.321
4,1660,1660,1383.96,0.348
5,1660,1660,1411.43,0.374
6,1698,1698,1417.55,0.41
7,1698,1698,1449.13,0.436
8,1752,1752,1489.06,0.461
9,1752,1752,1538.81,0.486
10,1752,1752,1569.24,0.509
11,1752,1752,1566.13,0.526
12,1752,1752,1597.89,0.55
13,1790,1790,1575.44,0.58
14,1790,1790,1605.3,0.611
15,1790,1790,1621.49,0.64
16,1790,1790,1604.36,0.667
17,1790,1790,1623.82,0.697
18,1790,1790,1619.46,0.721
19,1790,1790,1587.63,0.759
20,1790,1790,1625.88,0.796
21,1790,1790,1611.26,0.824
22,1790,1790,1626.65,0.863
23,1790,1790,1638.38,0.892
24,1790,1790,1618.69,0.923
25,1790,1790,1609.1,0.947
26,1790,1790,1627.54,0.975
27,1790,1790,1628.23,1.005
28,1790,1790,1626.25,1.036
29,1790,1790,1617.4,1.061
30,1790,1790,1615.42,1.107
31,1790,1790,1625.23,1.139
32,1790,1790,1621.39,1.171
33,1790,1790,1615.81,1.197
34,1790,1790,1608.65,1.217
35,1790,1790,1626.47,1.248
36,1790,1790,1619.01,1.283
37,1790,1790,1622.3,1.305
38,1790,1790,1622.43,1.338
39,1790,1790,1632.87,1.365
40,1790,1790,1633.54,1.388
41,1790,1790,1633.57,1.409
42,1790,1790,1623.68,1.435
43,1790,1790,1627.91,1.456
44,1790,1790,1623.05,1.494
45,1790,1790,1622.72,1.526
46,1790,1790,1620.31,1.549
47,1790,1790,1625.15,1.576
48,1790,1790,1589.34,1.619
49,1790,1790,1614.94,1.648
50,1790,1790,1615.84,1.673
51,1790,1790,1617.84,1.701
52,1790,1790,1611.13,1.727
53,1790,1790,1593.24,1.751
54,1790,1790,1606.44,1.793
55,1790,1790,1620.41,1.816
56,1790,1790,1600.7,1.86
57,1790,1790,1619.28,1.882
58,1790,1790,1630.27,1.911
59,1790,1790,1614.68,1.936
60,1790,1790,1627.93,1.972
61,1790,1790,1620.41,2.007
62,1790,1790,1630.7,2.037
63,1790,1790,1626.78,2.061
64,1790,1790,1613.65,2.095
65,1790,1790,1596.1,2.13
66,1790,1790,1616.88,2.162
67,1790,1790,1612.15,2.195
68,1790,1790,1612.99,2.23
69,1790,1790,1630.51,2.256
70,1790,1790,1631.98,2.29
71,1790,1790,1638.94,2.317
72,1790,1790,1640.78,2.341
73,1790,1790,1649.17,2.37
74,1790,1790,1634.78,2.403
75,1790,1790,1653.85,2.429
76,1790,1790,1655.65,2.456
77,1790,1790,1634.69,2.481
78,1790,1790,1638.54,2.512
79,1790,1790,1618.25,2.539
80,1790,1790,1628.24,2.574
81,1790,1790,1629.26,2.605
82,1790,1790,1610.24,2.629
83,1790,1790,1619.11,2.658
84,1790,1790,1601.13,2.683
85,1790,1790,1601.05,2.719
86,1790,1790,1613.57,2.748
87,1790,1790,1617.25,2.789
88,1790,1790,1624.83,2.833
89,1790,1790,1625.35,2.877
90,1790,1790,1629.39,2.91
91,1790,1790,1626.17,2.934
92,1790,1790,1634.54,2.961
93,1790,1790,1617.04,2.987
94,1790,1790,1615.52,3.01
95,1790,1790,1606.1,3.034
96,1790,1790,1591.94,3.083
97,1790,1790,1590.74,3.108
98,1790,1790,1609.58,3.145
99,1790,1790,1630.46,3.169
100,1790,1790,1620.21,3.195
