gen,best_so_far,gen_best,gen_avg,elapsed_s
0,1540,1540,1204.5,1.264
1,1540,1540,1116.02,1.41
2,1540,1540,1136.0,1.552
3,1630,1630,1175.45,1.711
4,1725,1725,1229.74,1.853
5,1725,1725,1344.61,1.875
6,1725,1725,1416.46,2.036
7,1753,1753,1534.2,2.235
8,1761,1761,1595.03,2.405
9,1771,1771,1674.16,2.626
10,1771,1771,1667.62,2.822
11,1771,1771,1706.04,3.007
12,1771,1771,1705.53,3.175
13,1771,1771,1686.39,3.345
14,1771,1771,1695.82,3.505
15,1771,1771,1728.57,3.676
16,1771,1771,1727.63,3.852
17,1771,1771,1743.02,4.004
18,1773,1773,1736.19,4.177
19,1773,1773,1752.69,4.202
20,1773,1773,1760.74,4.358
21,1773,1773,1748.07,4.504
22,1773,1773,1721.57,4.663
23,1773,1773,1746.57,4.835
24,1773,1773,1734.48,4.996
25,1773,1773,1732.49,5.17
26,1773,1773,1752.08,5.324
27,1773,1773,1748.17,5.376
28,1773,1773,1760.94,5.541
29,1773,1773,1738.89,5.703
30,1773,1773,1715.73,5.977
31,1773,1773,1724.8,6.113
32,1773,1773,1740.63,6.269
33,1773,1773,1721.94,6.435
34,1773,1773,1727.23,6.604
35,1773,1773,1748.16,6.749
36,1773,1773,1750.84,6.899
37,1773,1773,1733.74,7.047
38,1773,1773,1752.29,7.179
39,1773,1773,1748.26,7.328
40,1773,1773,1755.12,7.478
41,1773,1773,1726.88,7.624
42,1773,1773,1736.53,7.781
43,1773,1773,1753.58,7.919
44,1773,1773,1710.19,7.946
45,1773,1773,1717.42,8.102
46,1773,1773,1738.01,8.246
47,1773,1773,1728.7,8.391
48,1773,1773,1744.88,8.547
49,1773,1773,1742.19,8.682
50,1773,1773,1669.78,8.834
51,1773,1773,1747.89,9.011
52,1773,1773,1726.37,9.157
53,1773,1773,1735.81,9.32
54,1773,1773,1746.06,9.468
55,1773,1773,1727.33,9.657
56,1773,1773,1745.58,9.68
57,1773,1773,1742.21,9.853
58,1773,1773,1739.76,9.984
59,1773,1773,1744.53,10.179
60,1773,1773,1737.2,10.378
61,1773,1773,1732.64,10.547
62,1773,1773,1750.94,10.708
63,1773,1773,1738.25,10.906
64,1773,1773,1732.36,11.073
65,1773,1773,1714.33,11.233
66,1773,1773,1737.57,11.419
67,1773,1773,1730.7,11.581
68,1773,1773,1724.35,11.757
69,1773,1773,1737.25,11.93
70,1773,1773,1746.01,12.102
71,1773,1773,1728.84,12.257
72,1773,1773,1731.92,12.422
73,1773,1773,1739.01,12.572
74,1773,1773,1737.54,12.763
75,1773,1773,1744.95,12.929
76,1773,1773,1706.37,13.078
77,1773,1773,1742.05,13.268
78,1773,1773,1709.8,13.442
79,1773,1773,1762.71,13.693
80,1773,1773,1728.89,13.856
81,1773,1773,1724.71,14.032
82,1773,1773,1725.25,14.211
83,1773,1773,1725.7,14.377
84,1773,1773,1761.88,14.403
85,1773,1773,1738.65,14.441
86,1773,1773,1762.34,14.469
87,1773,1773,1729.48,14.498
88,1773,1773,1701.19,14.533
89,1773,1773,1687.69,14.57
90,1773,1773,1741.01,14.591
91,1773,1773,1751.78,14.619
92,1773,1773,1732.04,14.649
93,1773,1773,1737.91,14.677
94,1773,1773,1725.16,14.701
95,1773,1773,1743.25,14.744
96,1773,1773,1748.78,14.77
97,1773,1773,1747.92,14.794
98,1773,1773,1738.53,14.827
99,1773,1773,1740.17,14.859
100,1773,1773,1741.62,14.894
101,1773,1773,1724.92,14.938
102,1773,1773,1740.93,14.976
103,1773,1773,1728.45,15.005
104,1773,1773,1745.56,15.035
105,1773,1773,1740.92,15.066
106,1773,1773,1751.55,15.095
107,1773,1773,1736.95,15.128
108,1773,1773,1753.77,15.158
109,1773,1773,1722.1,15.188
110,1773,1773,1754.59,15.205
111,1773,1773,1741.6,15.235
112,1773,1773,1731.97,15.273
113,1773,1773,1729.45,15.304
114,1773,1773,1754.49,15.333
115,1773,1773,1726.39,15.363
116,1773,1773,1730.9,15.395
117,1773,1773,1676.31,15.447
118,1773,1773,1733.15,15.479
119,1773,1773,1741.7,15.507
120,1773,1773,1743.11,15.544
121,1773,1773,1740.02,15.595
122,1773,1773,1732.2,15.625
123,1773,1773,1745.27,15.653
124,1773,1773,1741.01,15.683
125,1773,1773,1749.86,15.719
126,1773,1773,1744.45,15.744
127,1773,1773,1742.26,15.784
128,1773,1773,1746.85,15.814
129,1773,1773,1752.8,15.857
130,1773,1773,1759.59,15.895
131,1773,1773,1742.52,15.938
132,1773,1773,1714.11,15.978
133,1773,1773,1687.31,16.034
134,1773,1773,1736.02,16.066
135,1773,1773,1713.54,16.111
136,1773,1773,1759.99,16.139
137,1773,1773,1698.49,16.181
138,1773,1773,1745.27,16.22
139,1773,1773,1747.61,16.259
140,1773,1773,1733.64,16.317
141,1773,1773,1718.93,16.36
142,1773,1773,1699.56,16.407
143,1773,1773,1740.23,16.437
144,1773,1773,1741.16,16.47
145,1773,1773,1741.16,16.499
146,1773,1773,1731.7,16.535
147,1773,1773,1720.14,16.565
148,1773,1773,1721.25,16.6
149,1773,1773,1704.39,16.633
150,1773,1773,1753.72,16.663
