gen,best_so_far,gen_best,gen_avg,elapsed_s
0,2185,2185,1743.9,10.082
1,2185,2185,1731.64,10.288
2,2185,2185,1785.92,10.453
3,2185,2185,1781.66,10.871
4,2185,2185,1782.16,11.211
5,2185,2185,1861.16,11.941
6,2188,2188,1905.12,11.953
7,2188,2188,1869.34,12.238
8,2188,2188,1834.6,12.959
9,2188,2188,1859.1,13.182
10,2188,2188,1831.94,13.392
11,2188,2188,1792.7,14.093
12,2188,2188,1777.66,15.36
13,2188,2188,1775.9,15.899
14,2188,2188,1820.86,16.146
15,2188,2188,1831.42,16.724
16,2188,2188,1806.3,16.912
17,2188,2188,1774.68,17.422
18,2188,2188,1796.4,17.997
19,2188,2188,1842.5,18.234
20,2188,2188,1820.9,18.806
21,2188,2188,1842.66,19.21
22,2188,2188,1861.9,20.147
23,2188,2188,1842.4,20.87
24,2188,2188,1850.12,21.048
25,2188,2188,1819.16,21.373
26,2188,2188,1824.46,21.38
27,2188,2188,1862.4,21.616
28,2188,2188,1885.24,22.134
29,2188,2188,1815.62,22.308
30,2188,2188,1797.52,22.469
31,2188,2188,1805.42,22.654
32,2188,2188,1887.42,22.837
33,2188,2188,1842.54,23.564
34,2188,2188,1837.38,23.943
35,2188,2188,1838.56,24.275
36,2188,2188,1832.76,24.51
37,2188,2188,1851.58,24.767
38,2188,2188,1880.98,24.901
39,2188,2188,1844.0,25.109
40,2188,2188,1840.06,25.295
41,2188,2188,1844.38,25.619
42,2188,2188,1853.98,26.137
43,2188,2188,1878.16,26.488
44,2188,2188,1838.8,26.86
45,2188,2188,1757.14,27.154
46,2188,2188,1767.36,27.644
47,2188,2188,1748.08,27.673
48,2188,2188,1780.3,28.076
49,2188,2188,1774.08,28.358
50,2188,2188,1809.5,28.546
51,2188,2188,1781.72,28.866
52,2188,2188,1834.46,28.881
53,2188,2188,1874.08,29.397
54,2188,2188,1858.8,29.664
55,2188,2188,1866.7,29.688
56,2188,2188,1836.08,29.848
57,2188,2188,1810.6,30.179
58,2188,2188,1848.74,30.479
59,2188,2188,1803.78,30.652
60,2188,2188,1807.84,31.512
61,2188,2188,1836.72,31.617
62,2188,2188,1795.36,31.67
63,2188,2188,1799.44,31.74
64,2188,2188,1825.52,31.896
65,2188,2188,1777.48,31.965
66,2188,2188,1823.06,32.053
67,2188,2188,1796.02,32.13
68,2188,2188,1853.22,32.205
69,2188,2188,1853.76,32.246
70,2188,2188,1836.36,32.315
71,2188,2188,1780.74,32.38
72,2188,2188,1842.82,32.387
73,2188,2188,1874.82,32.448
74,2188,2188,1851.62,32.506
75,2188,2188,1854.32,32.553
76,2188,2188,1839.62,32.651
77,2188,2188,1799.68,32.748
78,2188,2188,1828.68,32.79
79,2188,2188,1811.86,32.911
80,2188,2188,1880.46,32.955
81,2188,2188,1867.02,33.071
82,2188,2188,1827.92,33.105
83,2188,2188,1828.86,33.112
84,2188,2188,1826.14,33.119
85,2188,2188,1848.64,33.147
86,2188,2188,1854.4,33.212
87,2188,2188,1803.28,33.271
88,2188,2188,1816.36,33.278
89,2188,2188,1814.16,33.304
90,2188,2188,1741.1,33.336
91,2188,2188,1722.18,33.342
92,2188,2188,1795.24,33.414
93,2188,2188,1777.96,33.469
94,2188,2188,1697.64,33.559
95,2188,2188,1753.88,33.625
96,2249,2249,1773.46,33.638
97,2249,2249,1874.64,33.689
98,2249,2249,1866.16,33.771
99,2249,2249,1909.36,33.817
100,2249,2249,1928.84,33.839
