gen,best_so_far,gen_best,gen_avg,elapsed_s
0,2185,2185,1751.32,4.799
1,2299,2299,1739.7,4.93
2,2299,2299,1786.65,5.101
3,2299,2299,1826.09,5.319
4,2299,2299,1899.89,5.488
5,2299,2299,1918.07,5.642
6,2299,2299,1934.06,5.895
7,2317,2317,1975.75,6.082
8,2317,2317,1999.24,6.288
9,2317,2317,2027.45,6.522
10,2378,2378,2038.71,6.694
11,2378,2378,2067.19,6.745
12,2426,2426,2090.65,6.825
13,2466,2466,2120.9,6.933
14,2466,2466,2101.36,7.049
15,2466,2466,2118.43,7.307
16,2466,2466,2078.81,7.473
17,2466,2466,2142.08,7.552
18,2466,2466,2112.97,7.708
19,2466,2466,2147.93,7.895
20,2478,2478,2152.66,7.976
21,2478,2478,2118.48,8.237
22,2478,2478,2101.42,8.445
23,2484,2484,2112.58,8.646
24,2484,2484,2144.97,8.844
25,2484,2484,2199.82,9.077
26,2484,2484,2183.78,9.237
27,2484,2484,2194.83,9.352
28,2484,2484,2133.99,9.549
29,2484,2484,2134.1,9.786
30,2484,2484,2131.57,10.083
31,2484,2484,2131.98,10.413
32,2484,2484,2131.53,10.541
33,2484,2484,2144.28,10.777
34,2484,2484,2165.63,10.896
35,2484,2484,2176.1,11.028
36,2484,2484,2168.33,11.192
37,2484,2484,2203.18,11.332
38,2484,2484,2198.06,11.581
39,2484,2484,2213.96,11.62
40,2484,2484,2171.31,11.842
41,2484,2484,2158.09,11.912
42,2484,2484,2189.61,11.979
43,2484,2484,2202.74,12.161
44,2484,2484,2205.49,12.272
45,2484,2484,2198.91,12.477
46,2484,2484,2182.51,12.717
47,2484,2484,2175.89,12.897
48,2484,2484,2189.6,13.064
49,2484,2484,2216.79,13.294
50,2484,2484,2214.54,13.473
51,2484,2484,2204.24,13.683
52,2484,2484,2207.86,13.888
53,2484,2484,2189.3,14.06
54,2484,2484,2200.87,14.305
55,2484,2484,2185.12,14.435
56,2484,2484,2233.35,14.497
57,2484,2484,2214.81,14.632
58,2484,2484,2236.21,14.781
59,2484,2484,2211.18,14.935
60,2484,2484,2179.38,15.13
61,2484,2484,2233.1,15.268
62,2484,2484,2199.03,15.465
63,2484,2484,2192.01,15.58
64,2484,2484,2168.75,15.718
65,2484,2484,2201.39,15.815
66,2484,2484,2229.12,15.91
67,2484,2484,2207.72,16.071
68,2484,2484,2216.62,16.231
69,2484,2484,2200.01,16.424
70,2484,2484,2232.39,16.534
71,2484,2484,2206.74,16.676
72,2484,2484,2138.47,16.852
73,2484,2484,2151.95,17.056
74,2484,2484,2205.26,17.229
75,2484,2484,2210.32,17.42
76,2484,2484,2226.73,17.531
77,2484,2484,2216.99,17.713
78,2484,2484,2226.43,17.965
79,2484,2484,2224.03,18.073
80,2484,2484,2254.89,18.168
81,2484,2484,2234.6,18.29
82,2484,2484,2238.49,18.526
83,2484,2484,2175.01,18.682
84,2484,2484,2184.53,18.837
85,2484,2484,2207.73,19.035
86,2484,2484,2167.0,19.253
87,2484,2484,2183.42,19.503
88,2484,2484,2237.34,19.616
89,2484,2484,2223.68,19.723
90,2484,2484,2221.3,19.837
91,2484,2484,2218.58,19.877
92,2484,2484,2174.11,20.032
93,2484,2484,2197.97,20.223
94,2484,2484,2185.02,20.495
95,2484,2484,2170.71,20.619
96,2484,2484,2183.2,20.805
97,2484,2484,2184.5,20.882
98,2484,2484,2173.22,21.073
99,2484,2484,2210.24,21.218
100,2484,2484,2176.76,21.468
