gen,best_so_far,gen_best,gen_avg,elapsed_s
0,2185,2185,1751.32,16.016
1,2299,2299,1739.7,16.137
2,2299,2299,1786.65,16.292
3,2299,2299,1826.09,16.499
4,2299,2299,1899.89,16.667
5,2299,2299,1918.07,16.777
6,2299,2299,1934.06,16.984
7,2317,2317,1975.75,17.145
8,2317,2317,1999.24,17.343
9,2317,2317,2027.45,17.6
10,2378,2378,2038.71,17.787
11,2378,2378,2067.19,17.846
12,2426,2426,2090.65,17.927
13,2466,2466,2120.9,18.04
14,2466,2466,2101.36,18.163
15,2466,2466,2118.43,18.44
16,2466,2466,2078.81,18.623
17,2466,2466,2142.08,18.698
18,2466,2466,2112.97,18.861
19,2466,2466,2147.93,19.058
20,2478,2478,2152.66,19.138
21,2478,2478,2118.48,19.387
22,2478,2478,2101.42,19.6
23,2484,2484,2112.58,19.786
24,2484,2484,2144.97,19.962
25,2484,2484,2199.82,20.223
26,2484,2484,2183.78,20.399
27,2484,2484,2194.83,20.513
28,2484,2484,2133.99,20.73
29,2484,2484,2134.1,20.98
30,2484,2484,2131.57,21.293
31,2484,2484,2131.98,21.599
32,2484,2484,2131.53,21.73
33,2484,2484,2144.28,22.017
34,2484,2484,2165.63,22.159
35,2484,2484,2176.1,22.279
36,2484,2484,2168.33,22.457
37,2484,2484,2203.18,22.62
38,2484,2484,2198.06,22.812
39,2484,2484,2213.96,22.849
40,2484,2484,2171.31,23.04
41,2484,2484,2158.09,23.118
42,2484,2484,2189.61,23.192
43,2484,2484,2202.74,23.374
44,2484,2484,2205.49,23.476
45,2484,2484,2198.91,23.705
46,2484,2484,2182.51,23.934
47,2484,2484,2175.89,24.089
48,2484,2484,2189.6,24.251
49,2484,2484,2216.79,24.469
50,2484,2484,2214.54,24.653
51,2484,2484,2204.24,24.862
52,2484,2484,2207.86,25.061
53,2484,2484,2189.3,25.243
54,2484,2484,2200.87,25.5
55,2484,2484,2185.12,25.615
56,2484,2484,2233.35,25.678
57,2484,2484,2214.81,25.828
58,2484,2484,2236.21,25.971
59,2484,2484,2211.18,26.126
60,2484,2484,2179.38,26.333
61,2484,2484,2233.1,26.478
62,2484,2484,2199.03,26.691
63,2484,2484,2192.01,26.813
64,2484,2484,2168.75,26.964
65,2484,2484,2201.39,27.074
66,2484,2484,2229.12,27.146
67,2484,2484,2207.72,27.296
68,2484,2484,2216.62,27.443
69,2484,2484,2200.01,27.599
70,2484,2484,2232.39,27.713
71,2484,2484,2206.74,27.848
72,2484,2484,2138.47,28.01
73,2484,2484,2151.95,28.203
74,2484,2484,2205.26,28.36
75,2484,2484,2210.32,28.522
76,2484,2484,2226.73,28.64
77,2484,2484,2216.99,28.812
78,2484,2484,2226.43,29.082
79,2484,2484,2224.03,29.183
80,2484,2484,2254.89,29.266
81,2484,2484,2234.6,29.398
82,2484,2484,2238.49,29.635
83,2484,2484,2175.01,29.816
84,2484,2484,2184.53,29.998
85,2484,2484,2207.73,30.207
86,2484,2484,2167.0,30.434
87,2484,2484,2183.42,30.773
88,2484,2484,2237.34,30.914
89,2484,2484,2223.68,31.037
90,2484,2484,2221.3,31.169
91,2484,2484,2218.58,31.216
92,2484,2484,2174.11,31.405
93,2484,2484,2197.97,31.633
94,2484,2484,2185.02,31.91
95,2484,2484,2170.71,32.028
96,2484,2484,2183.2,32.229
97,2484,2484,2184.5,32.3
98,2484,2484,2173.22,32.463
99,2484,2484,2210.24,32.606
100,2484,2484,2176.76,32.829
