gen,best_so_far,gen_best,gen_avg,elapsed_s
0,2185,2185,1751.32,26.165
1,2185,2185,1466.72,27.539
2,2185,2185,1414.41,28.208
3,2185,2185,1411.62,28.814
4,2185,2185,1517.56,29.718
5,2188,2188,1570.44,30.529
6,2188,2188,1677.46,31.955
7,2244,2244,1775.16,33.545
8,2252,2252,1897.03,34.594
9,2252,2252,2029.39,35.51
10,2272,2272,2066.93,37.029
11,2272,2272,2096.66,38.458
12,2272,2272,2087.16,39.553
13,2272,2272,2127.7,41.08
14,2272,2272,2150.83,41.678
15,2272,2272,2207.88,42.782
16,2272,2272,2180.77,43.763
17,2272,2272,2190.43,44.668
18,2272,2272,2208.89,46.096
19,2272,2272,2209.95,46.695
20,2272,2272,2217.41,47.45
21,2272,2272,2216.36,48.237
22,2272,2272,2195.9,48.837
23,2272,2272,2227.55,49.772
24,2272,2272,2190.27,50.529
25,2272,2272,2227.16,51.858
26,2272,2272,2187.73,52.912
27,2272,2272,2159.63,54.426
28,2272,2272,2196.16,55.348
29,2272,2272,2223.54,56.17
30,2272,2272,2217.7,56.502
31,2272,2272,2188.42,57.388
32,2272,2272,2181.36,58.3
33,2272,2272,2229.17,58.743
34,2272,2272,2227.66,59.649
35,2272,2272,2160.54,60.686
36,2272,2272,2194.11,61.866
37,2272,2272,2258.35,62.01
38,2272,2272,2179.86,63.023
39,2272,2272,2160.84,63.884
40,2272,2272,2187.51,64.776
41,2272,2272,2218.61,65.727
42,2272,2272,2158.96,66.669
43,2272,2272,2216.43,67.249
44,2272,2272,2150.79,68.795
45,2272,2272,2168.23,70.335
46,2272,2272,2156.28,71.706
47,2272,2272,2187.3,72.908
48,2272,2272,2156.22,73.818
49,2272,2272,2212.55,74.628
50,2272,2272,2203.65,75.253
51,2272,2272,2144.15,77.289
52,2272,2272,2176.07,77.924
53,2272,2272,2148.38,79.128
54,2272,2272,2214.77,79.935
55,2272,2272,2148.36,80.893
56,2272,2272,2220.2,81.745
57,2272,2272,2155.31,82.841
58,2272,2272,2195.02,83.744
59,2272,2272,2202.64,84.2
60,2272,2272,2200.68,85.062
61,2272,2272,2140.49,86.426
62,2272,2272,2208.74,87.423
63,2272,2272,2192.54,88.08
64,2272,2272,2207.33,88.271
65,2272,2272,2196.05,88.53
66,2272,2272,2159.76,88.749
67,2272,2272,2229.15,88.854
68,2272,2272,2214.34,88.953
69,2272,2272,2228.74,89.075
70,2272,2272,2231.45,89.256
71,2272,2272,2225.36,89.376
72,2272,2272,2192.13,89.573
73,2272,2272,2187.69,89.759
74,2272,2272,2239.71,89.899
75,2272,2272,2230.89,89.946
76,2272,2272,2253.12,90.065
77,2272,2272,2154.1,90.408
78,2272,2272,2255.41,90.443
79,2272,2272,2204.36,90.699
80,2272,2272,2208.91,90.862
81,2272,2272,2177.89,91.271
82,2272,2272,2167.6,91.539
83,2272,2272,2190.69,91.725
84,2272,2272,2223.25,91.848
85,2272,2272,2239.78,92.026
86,2272,2272,2196.31,92.261
87,2272,2272,2230.16,92.398
88,2272,2272,2217.1,92.671
89,2272,2272,2182.29,92.997
90,2272,2272,2191.86,93.32
91,2272,2272,2254.64,93.419
92,2272,2272,2233.94,93.627
93,2272,2272,2215.42,93.814
94,2272,2272,2209.75,94.0
95,2272,2272,2206.76,94.261
96,2272,2272,2183.39,94.614
97,2272,2272,2207.42,94.899
98,2272,2272,2213.03,95.146
99,2272,2272,2162.14,95.501
100,2272,2272,2199.81,95.662
101,2272,2272,2197.47,96.318
102,2272,2272,2206.32,97.752
103,2272,2272,2202.48,98.661
104,2272,2272,2176.68,99.759
105,2272,2272,2208.07,100.557
106,2272,2272,2219.09,101.997
107,2272,2272,2189.54,103.221
108,2272,2272,2210.17,104.108
109,2272,2272,2197.62,104.557
110,2272,2272,2242.41,105.163
111,2272,2272,2210.52,106.169
112,2272,2272,2180.82,106.928
113,2272,2272,2176.28,107.729
114,2272,2272,2179.74,107.869
115,2272,2272,2196.32,108.109
116,2272,2272,2131.61,108.305
117,2272,2272,2137.31,108.652
118,2272,2272,2208.11,108.767
119,2272,2272,2219.18,108.923
120,2272,2272,2211.62,109.088
121,2272,2272,2202.11,109.195
122,2272,2272,2224.93,109.432
123,2272,2272,2160.33,109.745
124,2272,2272,2164.69,110.005
125,2272,2272,2236.05,110.188
126,2272,2272,2202.6,110.412
127,2272,2272,2220.16,110.598
128,2272,2272,2164.14,110.799
129,2272,2272,2203.26,111.024
130,2272,2272,2221.66,111.14
131,2272,2272,2098.6,111.425
132,2272,2272,2224.96,111.58
133,2272,2272,2200.6,111.725
134,2272,2272,2199.47,111.834
135,2272,2272,2257.15,111.882
136,2272,2272,2209.66,111.996
137,2272,2272,2235.89,112.074
138,2272,2272,2210.03,112.169
139,2272,2272,2181.56,112.343
140,2272,2272,2195.24,112.585
141,2272,2272,2210.15,112.746
142,2272,2272,2188.35,112.935
143,2272,2272,2213.84,113.114
144,2272,2272,2155.94,113.377
145,2272,2272,2189.94,113.583
146,2272,2272,2238.31,113.698
147,2272,2272,2210.44,113.844
148,2272,2272,2221.66,114.008
149,2272,2272,2208.29,114.178
150,2272,2272,2186.83,114.342
