gen,best_so_far,gen_best,gen_avg,elapsed_s
0,906,906,800.62,0.031
1,906,906,792.82,0.038
2,906,906,775.44,0.044
3,906,906,767.38,0.049
4,906,906,771.88,0.054
5,906,906,775.52,0.06
6,906,906,753.42,0.065
7,906,906,736.56,0.069
8,906,906,750.48,0.074
9,906,906,750.24,0.079
10,906,906,755.64,0.085
11,906,906,759.44,0.09
12,906,906,762.26,0.095
13,906,906,752.88,0.1
14,906,906,740.9,0.105
15,906,906,734.36,0.11
16,906,906,732.52,0.115
17,906,906,731.88,0.119
18,906,906,731.54,0.124
19,906,906,745.34,0.129
20,906,906,742.1,0.135
21,906,906,733.52,0.139
22,906,906,740.42,0.144
23,906,906,765.76,0.15
24,906,906,754.12,0.154
25,906,906,767.7,0.159
26,906,906,769.0,0.164
27,906,906,747.58,0.169
28,906,906,755.32,0.174
29,906,906,757.46,0.178
30,906,906,741.76,0.183
31,906,906,733.64,0.188
32,906,906,749.34,0.192
33,906,906,732.6,0.198
34,906,906,735.2,0.203
35,906,906,755.08,0.207
36,906,906,750.14,0.213
37,906,906,770.5,0.217
38,906,906,767.96,0.222
39,906,906,749.4,0.228
40,906,906,743.14,0.232
41,906,906,755.86,0.236
42,906,906,755.14,0.242
43,906,906,766.3,0.247
44,906,906,759.76,0.252
45,906,906,757.52,0.257
46,906,906,761.36,0.261
47,906,906,742.42,0.266
48,906,906,731.48,0.271
49,906,906,711.54,0.276
50,906,906,703.12,0.281
51,906,906,730.78,0.286
52,906,906,749.26,0.29
53,906,906,742.3,0.295
54,906,906,729.12,0.301
55,906,906,732.7,0.305
56,906,906,730.2,0.31
57,906,906,736.22,0.315
58,906,906,728.12,0.32
59,906,906,727.96,0.324
60,906,906,751.66,0.329
61,906,906,747.3,0.334
62,906,906,753.52,0.34
63,906,906,750.2,0.345
64,906,906,736.62,0.351
65,906,906,730.56,0.355
66,906,906,726.54,0.36
67,906,906,731.86,0.366
68,906,906,760.1,0.37
69,906,906,757.46,0.376
70,906,906,739.72,0.38
71,906,906,757.92,0.386
72,906,906,743.54,0.39
73,906,906,734.42,0.395
74,906,906,765.04,0.4
75,906,906,768.1,0.404
76,906,906,770.28,0.407
77,906,906,767.44,0.41
78,906,906,759.34,0.415
