gen,best_so_far,gen_best,gen_avg,elapsed_s
0,906,906,802.38,0.171
1,906,906,783.38,0.291
2,906,906,780.85,0.302
3,906,906,763.68,0.313
4,906,906,762.07,0.452
5,906,906,739.5,0.494
6,906,906,736.82,0.503
7,906,906,735.5,0.663
8,906,906,748.43,0.672
9,906,906,750.64,0.685
10,906,906,756.98,0.816
11,906,906,742.94,0.825
12,906,906,738.98,0.847
13,906,906,730.47,0.856
14,906,906,732.75,0.988
15,906,906,743.68,0.998
16,906,906,733.79,1.007
17,906,906,728.95,1.016
18,906,906,740.83,1.13
19,906,906,727.07,1.139
20,906,906,729.69,1.155
21,906,906,722.81,1.289
22,906,906,717.21,1.3
23,906,906,715.87,1.308
24,906,906,719.85,1.319
25,906,906,722.02,1.468
26,906,906,730.03,1.477
27,906,906,729.83,1.486
28,906,906,725.01,1.622
29,906,906,729.42,1.631
30,906,906,736.39,1.641
31,906,906,725.57,1.651
32,906,906,731.65,1.773
33,906,906,724.97,1.784
34,906,906,735.29,1.792
35,906,906,753.22,1.931
36,906,906,744.66,1.94
37,906,906,739.5,1.955
38,906,906,761.63,2.077
39,906,906,761.36,2.086
40,906,906,752.85,2.095
41,906,906,736.16,2.103
42,906,906,725.82,2.245
43,906,906,714.32,2.253
44,906,906,731.04,2.261
45,906,906,722.65,2.271
46,906,906,710.44,2.401
47,906,906,722.96,2.411
48,906,906,727.55,2.42
49,906,906,750.96,2.55
50,906,906,741.49,2.559
51,906,906,721.43,2.567
52,906,906,721.73,2.576
53,906,906,751.99,2.71
54,906,906,738.53,2.719
55,906,906,747.5,2.728
56,906,906,738.17,2.737
57,906,906,736.75,2.867
58,906,906,711.46,2.877
59,906,906,714.93,2.887
60,906,906,738.75,3.007
61,906,906,747.87,3.018
62,906,906,751.75,3.028
63,906,906,745.37,3.156
64,906,906,750.74,3.165
65,906,906,762.12,3.175
66,906,906,756.35,3.184
67,906,906,755.39,3.319
68,906,906,741.4,3.329
69,906,906,730.61,3.353
70,906,906,730.54,3.491
71,906,906,732.5,3.501
72,906,906,747.26,3.511
73,906,906,744.64,3.52
74,906,906,727.99,3.651
75,906,906,735.79,3.66
76,906,906,765.71,3.67
77,906,906,740.76,3.788
78,906,906,745.8,3.797
79,906,906,754.77,3.807
80,906,906,756.52,3.935
81,906,906,740.58,3.944
82,906,906,729.04,3.986
83,906,906,736.65,3.999
84,906,906,745.11,4.169
85,906,906,755.26,4.18
86,906,906,761.81,4.189
87,906,906,756.8,4.32
88,906,906,748.19,4.362
89,932,932,760.3,4.373
90,932,932,769.89,4.499
91,932,932,767.28,4.508
92,932,932,768.17,4.517
93,932,932,758.02,4.648
94,932,932,749.31,4.658
95,932,932,753.29,4.669
96,932,932,770.55,4.68
97,932,932,757.58,4.813
98,932,932,765.15,4.823
99,932,932,764.96,4.835
100,932,932,756.56,4.956
