gen,best_so_far,gen_best,gen_avg,elapsed_s
0,906,906,802.38,0.053
1,906,906,783.38,0.064
2,906,906,780.85,0.074
3,906,906,763.68,0.085
4,906,906,762.07,0.095
5,906,906,739.5,0.105
6,906,906,736.82,0.115
7,906,906,735.5,0.124
8,906,906,748.43,0.134
9,906,906,750.64,0.145
10,906,906,756.98,0.156
11,906,906,742.94,0.166
12,906,906,738.98,0.174
13,906,906,730.47,0.184
14,906,906,732.75,0.193
15,906,906,743.68,0.203
16,906,906,733.79,0.212
17,906,906,728.95,0.222
18,906,906,740.83,0.232
19,906,906,727.07,0.241
20,906,906,729.69,0.251
21,906,906,722.81,0.261
22,906,906,717.21,0.272
23,906,906,715.87,0.281
24,906,906,719.85,0.291
25,906,906,722.02,0.3
26,906,906,730.03,0.309
27,906,906,729.83,0.318
28,906,906,725.01,0.328
29,906,906,729.42,0.337
30,906,906,736.39,0.347
31,906,906,725.57,0.357
32,906,906,731.65,0.366
33,906,906,724.97,0.377
34,906,906,735.29,0.387
35,906,906,753.22,0.397
36,906,906,744.66,0.407
37,906,906,739.5,0.417
38,906,906,761.63,0.427
39,906,906,761.36,0.436
40,906,906,752.85,0.447
41,906,906,736.16,0.456
42,906,906,725.82,0.464
43,906,906,714.32,0.472
44,906,906,731.04,0.481
45,906,906,722.65,0.491
46,906,906,710.44,0.501
47,906,906,722.96,0.511
48,906,906,727.55,0.521
49,906,906,750.96,0.532
50,906,906,741.49,0.541
51,906,906,721.43,0.55
52,906,906,721.73,0.559
53,906,906,751.99,0.568
54,906,906,738.53,0.578
55,906,906,747.5,0.587
56,906,906,738.17,0.597
57,906,906,736.75,0.607
58,906,906,711.46,0.616
59,906,906,714.93,0.626
60,906,906,738.75,0.636
61,906,906,747.87,0.647
62,906,906,751.75,0.657
63,906,906,745.37,0.666
64,906,906,750.74,0.676
65,906,906,762.12,0.686
66,906,906,756.35,0.695
67,906,906,755.39,0.705
68,906,906,741.4,0.715
69,906,906,730.61,0.723
70,906,906,730.54,0.732
71,906,906,732.5,0.742
72,906,906,747.26,0.751
73,906,906,744.64,0.76
74,906,906,727.99,0.77
75,906,906,735.79,0.779
76,906,906,765.71,0.788
77,906,906,740.76,0.798
78,906,906,745.8,0.808
79,906,906,754.77,0.818
80,906,906,756.52,0.828
81,906,906,740.58,0.838
82,906,906,729.04,0.847
83,906,906,736.65,0.856
84,906,906,745.11,0.866
85,906,906,755.26,0.877
86,906,906,761.81,0.886
87,906,906,756.8,0.896
88,906,906,748.19,0.907
89,932,932,760.3,0.918
90,932,932,769.89,0.927
91,932,932,767.28,0.937
92,932,932,768.17,0.947
93,932,932,758.02,0.956
94,932,932,749.31,0.966
95,932,932,753.29,0.975
96,932,932,770.55,0.986
97,932,932,757.58,0.995
98,932,932,765.15,1.004
99,932,932,764.96,1.013
100,932,932,756.56,1.023
