gen,best_so_far,gen_best,gen_avg,elapsed_s
0,906,906,802.38,0.053
1,906,906,698.69,0.063
2,906,906,705.2,0.075
3,906,906,715.22,0.087
4,908,908,760.61,0.099
5,920,920,800.92,0.111
6,920,920,833.95,0.123
7,920,920,857.52,0.135
8,920,920,871.97,0.146
9,920,920,888.61,0.159
10,920,920,886.52,0.171
11,920,920,896.34,0.182
12,922,922,902.87,0.193
13,922,922,903.37,0.205
14,922,922,892.57,0.217
15,922,922,895.0,0.229
16,922,922,900.25,0.241
17,922,922,886.04,0.254
18,922,922,905.58,0.265
19,922,922,888.33,0.278
20,922,922,893.46,0.29
21,922,922,901.23,0.302
22,922,922,903.39,0.314
23,922,922,900.23,0.325
24,922,922,903.85,0.337
25,922,922,899.58,0.349
26,922,922,892.74,0.361
27,922,922,899.1,0.374
28,922,922,903.94,0.386
29,922,922,899.95,0.398
30,922,922,901.64,0.41
31,922,922,904.92,0.422
32,922,922,909.36,0.433
33,922,922,900.9,0.446
34,922,922,903.24,0.458
35,922,922,895.86,0.471
36,922,922,901.4,0.483
37,922,922,898.12,0.496
38,922,922,909.12,0.507
39,922,922,906.53,0.518
40,922,922,904.95,0.53
41,922,922,903.81,0.541
42,922,922,907.21,0.552
43,922,922,901.27,0.563
44,922,922,905.44,0.574
45,922,922,900.12,0.587
46,922,922,900.33,0.599
47,922,922,906.2,0.611
48,922,922,900.51,0.627
49,922,922,885.97,0.639
50,922,922,911.21,0.65
51,922,922,910.17,0.661
52,922,922,903.07,0.673
53,922,922,901.55,0.685
54,922,922,903.31,0.698
55,922,922,910.5,0.711
56,922,922,907.73,0.724
57,922,922,895.26,0.736
58,922,922,892.08,0.751
59,922,922,905.47,0.763
60,922,922,900.6,0.776
61,922,922,910.6,0.789
62,922,922,892.35,0.801
63,922,922,902.84,0.815
64,922,922,901.77,0.827
65,922,922,903.75,0.839
66,922,922,900.76,0.853
67,922,922,910.44,0.865
68,922,922,904.53,0.878
69,922,922,897.9,0.89
70,922,922,893.83,0.903
71,922,922,902.55,0.914
72,922,922,894.49,0.928
73,922,922,892.07,0.94
74,922,922,897.87,0.951
75,922,922,910.37,0.963
76,922,922,900.74,0.975
77,922,922,906.46,0.986
78,922,922,907.97,0.998
79,922,922,895.52,1.01
80,922,922,894.61,1.022
81,922,922,906.51,1.033
82,922,922,897.68,1.045
83,922,922,903.04,1.057
84,922,922,903.69,1.068
85,922,922,910.23,1.081
86,922,922,896.38,1.093
87,922,922,895.67,1.105
88,922,922,905.36,1.117
89,922,922,902.95,1.13
90,922,922,899.67,1.141
91,922,922,911.93,1.153
92,922,922,900.73,1.166
93,922,922,895.2,1.178
94,922,922,903.19,1.191
95,922,922,888.72,1.203
96,922,922,907.72,1.215
97,922,922,902.84,1.227
98,922,922,904.02,1.238
99,922,922,907.11,1.25
100,922,922,892.21,1.262
101,922,922,906.36,1.274
102,922,922,902.54,1.286
103,922,922,905.69,1.298
104,922,922,909.93,1.309
105,922,922,917.71,1.321
106,922,922,901.56,1.333
107,922,922,912.47,1.345
108,922,922,908.56,1.357
109,922,922,896.29,1.369
110,922,922,910.38,1.381
111,922,922,906.46,1.393
112,922,922,893.93,1.405
113,922,922,899.5,1.418
114,922,922,897.76,1.43
115,922,922,905.03,1.442
116,922,922,885.74,1.456
117,922,922,897.14,1.468
118,922,922,901.09,1.479
119,922,922,897.15,1.491
120,922,922,902.65,1.503
121,922,922,898.4,1.515
122,922,922,902.32,1.525
123,922,922,908.25,1.536
124,922,922,907.28,1.547
125,922,922,915.22,1.558
126,922,922,893.95,1.569
127,922,922,906.22,1.58
128,922,922,893.15,1.595
129,922,922,913.46,1.606
130,922,922,909.65,1.618
131,922,922,907.89,1.63
132,922,922,898.89,1.643
133,922,922,906.74,1.654
134,922,922,899.99,1.666
135,922,922,891.98,1.679
136,922,922,911.96,1.69
137,922,922,910.34,1.702
138,922,922,911.47,1.714
139,922,922,894.43,1.725
140,922,922,895.9,1.737
141,922,922,905.76,1.749
142,922,922,908.65,1.761
143,922,922,911.23,1.772
144,922,922,905.1,1.783
145,922,922,907.2,1.794
146,922,922,897.88,1.806
147,922,922,902.46,1.817
148,922,922,911.42,1.828
149,922,922,910.43,1.839
150,922,922,902.96,1.851
