gen,best_so_far,gen_best,gen_avg,elapsed_s
0,1292,1292,1101.88,0.065
1,1292,1292,1137.42,0.074
2,1334,1334,1161.12,0.083
3,1334,1334,1184.86,0.091
4,1334,1334,1211.2,0.101
5,1334,1334,1204.72,0.11
6,1334,1334,1200.0,0.12
7,1334,1334,1203.52,0.128
8,1334,1334,1208.52,0.132
9,1334,1334,1216.44,0.141
10,1334,1334,1207.14,0.15
11,1334,1334,1203.26,0.16
12,1334,1334,1210.94,0.169
13,1334,1334,1211.36,0.178
14,1334,1334,1200.02,0.186
15,1334,1334,1187.42,0.196
16,1334,1334,1201.06,0.205
17,1334,1334,1198.84,0.213
18,1334,1334,1222.28,0.223
19,1334,1334,1218.14,0.231
20,1334,1334,1218.46,0.239
21,1334,1334,1228.98,0.248
22,1334,1334,1213.22,0.259
23,1334,1334,1212.28,0.267
24,1334,1334,1195.64,0.276
25,1334,1334,1193.38,0.285
26,1341,1341,1213.0,0.294
27,1341,1341,1209.0,0.302
28,1341,1341,1198.48,0.311
29,1341,1341,1193.66,0.317
30,1341,1341,1193.18,0.324
31,1341,1341,1197.36,0.331
32,1341,1341,1193.68,0.34
33,1341,1341,1198.56,0.35
34,1341,1341,1205.34,0.358
35,1341,1341,1210.3,0.367
36,1341,1341,1212.4,0.375
37,1363,1363,1241.54,0.383
38,1363,1363,1256.64,0.392
39,1363,1363,1240.26,0.402
40,1363,1363,1217.14,0.409
41,1363,1363,1209.36,0.417
42,1363,1363,1214.0,0.424
43,1363,1363,1238.74,0.434
44,1363,1363,1214.78,0.442
45,1363,1363,1238.86,0.449
46,1363,1363,1235.14,0.457
47,1363,1363,1216.58,0.464
48,1363,1363,1191.2,0.472
49,1363,1363,1194.1,0.48
50,1363,1363,1216.68,0.488
51,1363,1363,1202.92,0.496
52,1363,1363,1213.84,0.504
53,1363,1363,1201.46,0.512
54,1363,1363,1199.26,0.52
55,1363,1363,1198.6,0.528
56,1363,1363,1198.64,0.536
57,1363,1363,1179.98,0.545
58,1363,1363,1162.8,0.553
59,1363,1363,1157.34,0.561
60,1363,1363,1173.2,0.569
61,1363,1363,1181.72,0.578
62,1363,1363,1198.24,0.585
63,1363,1363,1209.88,0.594
64,1363,1363,1233.48,0.605
65,1363,1363,1227.0,0.613
66,1363,1363,1197.28,0.62
67,1363,1363,1199.2,0.629
68,1363,1363,1209.92,0.636
69,1363,1363,1186.24,0.645
70,1363,1363,1196.9,0.652
71,1363,1363,1185.38,0.66
72,1363,1363,1200.22,0.664
73,1363,1363,1203.86,0.668
74,1363,1363,1212.0,0.675
75,1363,1363,1217.68,0.683
76,1363,1363,1219.76,0.69
77,1363,1363,1203.0,0.702
78,1363,1363,1169.64,0.709
79,1363,1363,1178.64,0.713
80,1363,1363,1207.24,0.721
81,1363,1363,1193.82,0.727
82,1363,1363,1214.18,0.73
83,1363,1363,1205.1,0.738
84,1363,1363,1197.3,0.745
85,1363,1363,1213.58,0.753
86,1363,1363,1196.84,0.76
87,1363,1363,1196.72,0.767
88,1363,1363,1201.32,0.775
89,1363,1363,1199.42,0.782
90,1363,1363,1189.16,0.789
91,1363,1363,1180.68,0.795
92,1363,1363,1202.2,0.802
93,1363,1363,1230.08,0.809
94,1363,1363,1227.96,0.818
95,1363,1363,1228.96,0.826
96,1363,1363,1211.5,0.835
97,1363,1363,1210.16,0.843
98,1363,1363,1225.06,0.851
99,1363,1363,1232.94,0.858
100,1363,1363,1223.6,0.866
101,1363,1363,1185.18,0.877
102,1363,1363,1191.04,0.887
103,1363,1363,1182.66,0.897
104,1363,1363,1192.58,0.904
105,1363,1363,1224.08,0.913
106,1363,1363,1216.18,0.922
107,1363,1363,1206.14,0.931
108,1363,1363,1192.0,0.939
109,1363,1363,1195.0,0.946
110,1363,1363,1189.04,0.954
111,1363,1363,1179.26,0.962
112,1363,1363,1164.1,0.97
113,1363,1363,1188.68,0.977
114,1363,1363,1182.54,0.986
115,1363,1363,1184.02,0.994
116,1363,1363,1201.44,1.003
117,1363,1363,1213.68,1.011
118,1363,1363,1216.5,1.018
119,1363,1363,1185.84,1.033
120,1363,1363,1171.96,1.04
121,1363,1363,1188.7,1.048
122,1363,1363,1202.24,1.056
123,1363,1363,1197.5,1.064
124,1363,1363,1219.36,1.074
125,1363,1363,1199.28,1.084
126,1363,1363,1189.34,1.092
127,1363,1363,1191.36,1.1
128,1363,1363,1193.26,1.109
129,1363,1363,1192.48,1.117
130,1363,1363,1198.14,1.123
131,1363,1363,1190.08,1.13
132,1363,1363,1216.04,1.138
133,1363,1363,1193.16,1.146
134,1363,1363,1187.56,1.154
135,1363,1363,1206.26,1.161
136,1363,1363,1223.8,1.17
137,1363,1363,1242.66,1.177
138,1363,1363,1217.32,1.185
139,1363,1363,1225.08,1.193
140,1363,1363,1236.66,1.201
141,1363,1363,1204.84,1.206
142,1363,1363,1185.4,1.214
143,1363,1363,1172.32,1.22
144,1363,1363,1168.08,1.229
145,1363,1363,1158.06,1.236
146,1363,1363,1174.5,1.244
147,1363,1363,1174.66,1.253
148,1363,1363,1168.42,1.259
149,1363,1363,1188.88,1.267
150,1363,1363,1185.7,1.276
151,1363,1363,1197.36,1.283
152,1363,1363,1187.18,1.291
153,1363,1363,1191.58,1.3
154,1363,1363,1199.3,1.307
155,1363,1363,1191.32,1.315
156,1363,1363,1174.82,1.323
157,1363,1363,1196.58,1.332
158,1363,1363,1193.94,1.34
159,1363,1363,1177.24,1.348
160,1363,1363,1201.86,1.356
161,1363,1363,1182.9,1.365
162,1363,1363,1199.94,1.372
163,1363,1363,1203.64,1.381
164,1363,1363,1205.18,1.388
165,1363,1363,1192.04,1.397
166,1363,1363,1203.02,1.402
167,1363,1363,1201.66,1.408
168,1363,1363,1190.82,1.415
169,1363,1363,1174.62,1.423
170,1363,1363,1217.06,1.431
171,1363,1363,1219.52,1.439
172,1363,1363,1217.58,1.448
