gen,best_so_far,gen_best,gen_avg,elapsed_s
0,1375,1375,1095.83,0.124
1,1375,1375,1138.12,0.142
2,1375,1375,1165.74,0.16
3,1375,1375,1176.15,0.182
4,1378,1378,1203.12,0.203
5,1389,1389,1214.33,0.221
6,1394,1394,1211.15,0.241
7,1394,1394,1214.09,0.26
8,1394,1394,1222.74,0.281
9,1395,1395,1233.5,0.301
10,1395,1395,1264.46,0.32
11,1395,1395,1265.82,0.339
12,1395,1395,1279.57,0.358
13,1395,1395,1285.72,0.377
14,1467,1467,1279.72,0.399
15,1467,1467,1271.68,0.419
16,1467,1467,1267.41,0.439
17,1467,1467,1290.28,0.458
18,1467,1467,1310.97,0.477
19,1467,1467,1301.59,0.497
20,1467,1467,1294.11,0.517
21,1467,1467,1285.92,0.537
22,1467,1467,1305.13,0.558
23,1467,1467,1309.84,0.578
24,1467,1467,1316.67,0.6
25,1467,1467,1325.5,0.62
26,1467,1467,1318.19,0.638
27,1467,1467,1312.78,0.657
28,1467,1467,1305.29,0.677
29,1467,1467,1283.23,0.701
30,1467,1467,1278.97,0.725
31,1467,1467,1271.14,0.746
32,1467,1467,1283.84,0.766
33,1467,1467,1292.14,0.786
34,1467,1467,1297.02,0.804
35,1467,1467,1300.65,0.824
36,1467,1467,1309.63,0.844
37,1467,1467,1320.33,0.864
38,1467,1467,1313.61,0.883
39,1467,1467,1309.96,0.904
40,1467,1467,1291.04,0.923
41,1467,1467,1282.99,0.944
42,1467,1467,1298.89,0.959
43,1467,1467,1315.3,0.98
44,1467,1467,1298.65,1.002
45,1467,1467,1284.29,1.026
46,1467,1467,1293.83,1.047
47,1467,1467,1287.55,1.07
48,1467,1467,1282.23,1.096
49,1467,1467,1295.09,1.116
50,1467,1467,1293.38,1.137
51,1467,1467,1302.75,1.156
52,1467,1467,1298.69,1.176
53,1467,1467,1296.71,1.197
54,1467,1467,1301.67,1.216
55,1467,1467,1303.95,1.237
56,1467,1467,1291.64,1.257
57,1467,1467,1296.54,1.278
58,1467,1467,1300.75,1.296
59,1467,1467,1313.29,1.315
60,1467,1467,1301.78,1.336
61,1467,1467,1315.3,1.356
62,1467,1467,1333.88,1.377
63,1467,1467,1332.13,1.396
64,1467,1467,1315.61,1.416
65,1467,1467,1307.78,1.436
66,1467,1467,1298.44,1.455
67,1467,1467,1303.12,1.476
68,1467,1467,1299.59,1.499
69,1467,1467,1304.81,1.528
70,1467,1467,1312.77,1.547
71,1467,1467,1325.67,1.569
72,1467,1467,1335.33,1.589
73,1467,1467,1321.37,1.613
74,1467,1467,1296.44,1.633
75,1467,1467,1300.51,1.651
76,1467,1467,1308.37,1.671
77,1467,1467,1317.5,1.688
78,1467,1467,1300.91,1.71
79,1467,1467,1306.41,1.73
80,1467,1467,1294.62,1.751
81,1467,1467,1297.7,1.773
82,1467,1467,1317.95,1.794
83,1467,1467,1315.64,1.814
84,1467,1467,1287.18,1.835
85,1467,1467,1292.73,1.854
86,1478,1478,1301.28,1.873
87,1478,1478,1310.34,1.893
88,1478,1478,1301.64,1.914
89,1478,1478,1305.79,1.935
90,1478,1478,1301.26,1.958
91,1478,1478,1296.97,1.978
92,1478,1478,1313.24,1.996
93,1478,1478,1301.7,2.015
94,1478,1478,1302.04,2.032
95,1478,1478,1288.19,2.056
96,1478,1478,1308.05,2.076
97,1478,1478,1328.29,2.096
98,1478,1478,1325.28,2.117
99,1478,1478,1315.95,2.139
100,1478,1478,1314.91,2.159
101,1478,1478,1294.48,2.179
102,1478,1478,1287.64,2.198
103,1478,1478,1284.55,2.217
104,1478,1478,1270.56,2.237
105,1478,1478,1291.05,2.257
106,1478,1478,1301.25,2.276
107,1478,1478,1291.78,2.296
108,1478,1478,1294.5,2.315
109,1478,1478,1294.88,2.335
110,1478,1478,1313.94,2.354
111,1478,1478,1315.51,2.375
112,1478,1478,1332.9,2.395
113,1478,1478,1334.03,2.416
114,1478,1478,1333.94,2.436
115,1478,1478,1324.24,2.458
116,1478,1478,1305.49,2.477
117,1478,1478,1302.62,2.498
118,1478,1478,1280.1,2.521
119,1478,1478,1292.07,2.545
120,1478,1478,1290.42,2.567
121,1478,1478,1306.01,2.585
122,1478,1478,1314.25,2.604
123,1478,1478,1321.17,2.626
124,1478,1478,1318.79,2.644
125,1478,1478,1325.32,2.665
126,1478,1478,1327.17,2.685
127,1478,1478,1316.51,2.702
128,1478,1478,1322.21,2.719
129,1478,1478,1311.01,2.741
130,1478,1478,1316.54,2.76
131,1478,1478,1308.94,2.781
132,1478,1478,1302.41,2.802
133,1478,1478,1301.31,2.822
134,1478,1478,1301.63,2.843
135,1478,1478,1309.13,2.861
136,1478,1478,1303.68,2.881
137,1478,1478,1308.95,2.899
138,1478,1478,1309.28,2.92
139,1478,1478,1325.91,2.939
140,1478,1478,1323.93,2.958
141,1478,1478,1315.24,2.98
142,1478,1478,1322.38,3.001
143,1478,1478,1326.32,3.023
144,1478,1478,1316.94,3.054
145,1478,1478,1330.34,3.078
146,1478,1478,1314.05,3.109
147,1478,1478,1314.91,3.136
148,1478,1478,1324.86,3.159
149,1478,1478,1301.66,3.184
150,1478,1478,1297.69,3.204
151,1478,1478,1309.42,3.224
152,1478,1478,1310.2,3.243
153,1478,1478,1316.5,3.262
154,1478,1478,1320.63,3.282
155,1478,1478,1321.07,3.302
156,1478,1478,1313.71,3.324
157,1478,1478,1313.24,3.344
158,1478,1478,1313.58,3.368
159,1478,1478,1327.78,3.389
160,1478,1478,1334.38,3.408
161,1478,1478,1313.22,3.428
162,1478,1478,1324.32,3.446
163,1478,1478,1324.38,3.464
164,1478,1478,1311.76,3.484
165,1478,1478,1311.94,3.504
166,1478,1478,1300.0,3.524
167,1478,1478,1313.94,3.543
168,1478,1478,1311.75,3.563
169,1478,1478,1320.22,3.587
170,1478,1478,1323.46,3.605
171,1478,1478,1321.02,3.626
172,1478,1478,1314.48,3.648
173,1478,1478,1303.0,3.668
174,1478,1478,1304.08,3.689
175,1478,1478,1287.53,3.711
176,1478,1478,1293.37,3.73
177,1478,1478,1311.83,3.75
178,1478,1478,1314.39,3.768
179,1478,1478,1314.01,3.788
180,1478,1478,1300.77,3.808
181,1478,1478,1303.95,3.827
182,1478,1478,1298.92,3.847
183,1478,1478,1313.28,3.866
184,1478,1478,1309.88,3.886
185,1478,1478,1306.29,3.906
186,1478,1478,1296.35,3.925
187,1478,1478,1293.15,3.944
188,1478,1478,1302.48,3.962
189,1478,1478,1312.94,3.983
190,1478,1478,1309.0,4.008
191,1478,1478,1329.34,4.028
192,1478,1478,1342.31,4.046
193,1478,1478,1332.45,4.064
194,1478,1478,1328.71,4.084
195,1478,1478,1333.07,4.104
196,1478,1478,1324.86,4.123
197,1478,1478,1321.86,4.144
198,1478,1478,1322.32,4.162
199,1478,1478,1313.2,4.185
200,1478,1478,1320.7,4.204
201,1478,1478,1319.21,4.226
202,1478,1478,1327.55,4.25
203,1478,1478,1320.78,4.271
204,1478,1478,1331.87,4.29
205,1478,1478,1337.19,4.311
206,1478,1478,1328.12,4.329
207,1478,1478,1320.11,4.347
208,1478,1478,1316.03,4.366
209,1478,1478,1300.56,4.383
210,1478,1478,1302.52,4.403
211,1478,1478,1303.81,4.423
212,1478,1478,1308.95,4.443
213,1478,1478,1314.72,4.463
214,1478,1478,1315.53,4.484
215,1478,1478,1312.57,4.507
216,1478,1478,1310.87,4.526
217,1478,1478,1310.29,4.547
218,1478,1478,1301.14,4.567
219,1478,1478,1307.27,4.591
220,1478,1478,1306.54,4.613
221,1478,1478,1305.08,4.632
222,1478,1478,1300.13,4.651
223,1478,1478,1301.44,4.671
224,1478,1478,1313.77,4.689
225,1478,1478,1324.79,4.708
226,1478,1478,1327.04,4.73
227,1478,1478,1328.29,4.749
228,1478,1478,1335.37,4.769
229,1478,1478,1316.32,4.789
230,1478,1478,1293.83,4.811
231,1478,1478,1312.22,4.831
232,1478,1478,1316.92,4.85
233,1478,1478,1321.33,4.873
234,1478,1478,1322.27,4.895
235,1478,1478,1322.29,4.917
236,1478,1478,1307.47,4.938
237,1478,1478,1306.33,4.96
238,1478,1478,1309.19,4.978
239,1478,1478,1324.37,4.997
240,1478,1478,1320.84,5.015
241,1478,1478,1334.79,5.035
242,1478,1478,1322.65,5.055
243,1478,1478,1308.29,5.073
244,1478,1478,1292.67,5.092
245,1478,1478,1303.5,5.11
246,1478,1478,1307.5,5.132
247,1478,1478,1306.99,5.152
248,1478,1478,1307.03,5.173
249,1478,1478,1310.49,5.195
250,1478,1478,1312.44,5.215
251,1478,1478,1315.77,5.234
