gen,best_so_far,gen_best,gen_avg,elapsed_s
0,1375,1375,1095.83,0.104
1,1375,1375,1138.12,0.12
2,1375,1375,1165.74,0.136
3,1375,1375,1176.15,0.156
4,1378,1378,1203.12,0.175
5,1389,1389,1214.33,0.191
6,1394,1394,1211.15,0.208
7,1394,1394,1214.09,0.226
8,1394,1394,1222.74,0.244
9,1395,1395,1233.5,0.261
10,1395,1395,1264.46,0.279
11,1395,1395,1265.82,0.295
12,1395,1395,1279.57,0.313
13,1395,1395,1285.72,0.332
14,1467,1467,1279.72,0.354
15,1467,1467,1271.68,0.374
16,1467,1467,1267.41,0.391
17,1467,1467,1290.28,0.408
18,1467,1467,1310.97,0.426
19,1467,1467,1301.59,0.445
20,1467,1467,1294.11,0.462
21,1467,1467,1285.92,0.479
22,1467,1467,1305.13,0.497
23,1467,1467,1309.84,0.634
24,1467,1467,1316.67,0.652
25,1467,1467,1325.5,0.81
26,1467,1467,1318.19,0.858
27,1467,1467,1312.78,1.019
28,1467,1467,1305.29,1.145
29,1467,1467,1283.23,1.167
30,1467,1467,1278.97,1.32
31,1467,1467,1271.14,1.338
32,1467,1467,1283.84,1.482
33,1467,1467,1292.14,1.5
34,1467,1467,1297.02,1.629
35,1467,1467,1300.65,1.774
36,1467,1467,1309.63,1.799
37,1467,1467,1320.33,1.927
38,1467,1467,1313.61,1.945
39,1467,1467,1309.96,2.074
40,1467,1467,1291.04,2.093
41,1467,1467,1282.99,2.226
42,1467,1467,1298.89,2.35
43,1467,1467,1315.3,2.368
44,1467,1467,1298.65,2.518
45,1467,1467,1284.29,2.541
46,1467,1467,1293.83,2.667
47,1467,1467,1287.55,2.687
48,1467,1467,1282.23,2.831
49,1467,1467,1295.09,2.973
50,1467,1467,1293.38,2.991
51,1467,1467,1302.75,3.123
52,1467,1467,1298.69,3.14
53,1467,1467,1296.71,3.284
54,1467,1467,1301.67,3.302
55,1467,1467,1303.95,3.433
56,1467,1467,1291.64,3.45
57,1467,1467,1296.54,3.629
58,1467,1467,1300.75,3.645
59,1467,1467,1313.29,3.794
60,1467,1467,1301.78,3.922
61,1467,1467,1315.3,3.939
62,1467,1467,1333.88,4.076
63,1467,1467,1332.13,4.095
64,1467,1467,1315.61,4.234
65,1467,1467,1307.78,4.253
66,1467,1467,1298.44,4.391
67,1467,1467,1303.12,4.543
68,1467,1467,1299.59,4.564
69,1467,1467,1304.81,4.692
70,1467,1467,1312.77,4.71
71,1467,1467,1325.67,4.828
72,1467,1467,1335.33,4.849
73,1467,1467,1321.37,4.986
74,1467,1467,1296.44,5.003
75,1467,1467,1300.51,5.135
76,1467,1467,1308.37,5.259
77,1467,1467,1317.5,5.277
78,1467,1467,1300.91,5.424
79,1467,1467,1306.41,5.465
80,1467,1467,1294.62,5.583
81,1467,1467,1297.7,5.606
82,1467,1467,1317.95,5.742
83,1467,1467,1315.64,5.878
84,1467,1467,1287.18,5.897
85,1467,1467,1292.73,6.042
86,1478,1478,1301.28,6.059
87,1478,1478,1310.34,6.192
88,1478,1478,1301.64,6.213
89,1478,1478,1305.79,6.339
90,1478,1478,1301.26,6.474
91,1478,1478,1296.97,6.492
92,1478,1478,1313.24,6.646
93,1478,1478,1301.7,6.665
94,1478,1478,1302.04,6.797
95,1478,1478,1288.19,6.831
96,1478,1478,1308.05,6.958
97,1478,1478,1328.29,6.978
98,1478,1478,1325.28,7.12
99,1478,1478,1315.95,7.26
100,1478,1478,1314.91,7.28
