gen,best_so_far,gen_best,gen_avg,elapsed_s
0,1375,1375,1095.83,0.637
1,1375,1375,1000.59,0.653
2,1391,1391,1048.99,0.827
3,1391,1391,1103.89,0.847
4,1395,1395,1128.99,0.971
5,1422,1422,1169.54,0.988
6,1491,1491,1229.66,1.141
7,1491,1491,1287.05,1.301
8,1491,1491,1338.47,1.331
9,1507,1507,1351.64,1.515
10,1507,1507,1408.53,1.535
11,1507,1507,1408.5,1.677
12,1507,1507,1377.43,1.83
13,1507,1507,1401.43,1.849
14,1507,1507,1389.83,1.993
15,1507,1507,1418.66,2.117
16,1507,1507,1396.58,2.136
17,1507,1507,1389.89,2.316
18,1507,1507,1430.88,2.369
19,1507,1507,1440.14,2.553
20,1507,1507,1470.23,2.707
21,1507,1507,1470.45,2.728
22,1507,1507,1464.06,2.886
23,1507,1507,1491.06,3.041
24,1507,1507,1457.42,3.065
25,1507,1507,1459.83,3.215
26,1507,1507,1486.97,3.369
27,1507,1507,1471.14,3.392
28,1507,1507,1454.99,3.565
29,1507,1507,1455.32,3.592
30,1507,1507,1472.79,3.614
31,1507,1507,1459.99,3.635
32,1507,1507,1464.28,3.658
33,1507,1507,1469.67,3.677
34,1507,1507,1467.16,3.7
35,1507,1507,1479.96,3.721
36,1507,1507,1462.59,3.743
37,1507,1507,1496.34,3.762
38,1507,1507,1474.02,3.782
39,1507,1507,1451.55,3.804
40,1507,1507,1476.01,3.824
41,1507,1507,1462.94,3.846
42,1507,1507,1477.89,3.868
43,1507,1507,1472.6,3.888
44,1507,1507,1448.43,3.911
45,1507,1507,1475.66,3.931
46,1507,1507,1475.46,3.951
47,1507,1507,1489.48,3.97
48,1507,1507,1444.84,3.99
49,1507,1507,1472.28,4.011
50,1507,1507,1472.45,4.03
51,1507,1507,1481.55,4.049
52,1507,1507,1468.44,4.07
53,1507,1507,1489.28,4.09
54,1507,1507,1474.83,4.124
55,1507,1507,1478.96,4.144
56,1507,1507,1487.44,4.164
57,1507,1507,1471.17,4.184
58,1507,1507,1491.52,4.205
59,1507,1507,1468.72,4.224
60,1507,1507,1475.93,4.245
61,1507,1507,1473.42,4.264
62,1507,1507,1481.7,4.285
63,1507,1507,1478.07,4.306
64,1507,1507,1479.67,4.326
65,1507,1507,1468.43,4.346
66,1507,1507,1475.69,4.367
67,1507,1507,1455.02,4.389
68,1507,1507,1468.81,4.41
69,1507,1507,1436.43,4.431
70,1507,1507,1453.24,4.452
71,1507,1507,1466.83,4.472
72,1507,1507,1486.39,4.494
73,1507,1507,1499.13,4.514
74,1507,1507,1460.72,4.535
75,1507,1507,1491.08,4.557
76,1507,1507,1476.65,4.578
77,1507,1507,1468.19,4.598
78,1507,1507,1477.72,4.616
79,1507,1507,1464.36,4.635
80,1507,1507,1448.08,4.659
81,1507,1507,1467.01,4.679
82,1507,1507,1465.84,4.7
83,1507,1507,1452.21,4.721
84,1507,1507,1475.0,4.742
85,1507,1507,1475.14,4.765
86,1507,1507,1471.57,4.785
87,1507,1507,1487.65,4.805
88,1507,1507,1490.84,4.825
89,1507,1507,1468.43,4.846
90,1507,1507,1472.48,4.866
91,1507,1507,1441.71,4.89
92,1507,1507,1450.69,4.912
93,1507,1507,1437.98,4.937
94,1507,1507,1476.33,4.957
95,1507,1507,1474.99,4.982
96,1507,1507,1466.23,5.006
97,1507,1507,1458.85,5.031
98,1507,1507,1482.49,5.055
99,1507,1507,1486.3,5.076
100,1507,1507,1461.33,5.101
101,1507,1507,1468.53,5.122
102,1507,1507,1453.36,5.145
103,1507,1507,1482.74,5.167
104,1507,1507,1480.25,5.188
105,1507,1507,1488.51,5.208
106,1507,1507,1485.57,5.232
107,1507,1507,1477.82,5.252
108,1507,1507,1486.01,5.275
109,1507,1507,1493.52,5.295
110,1507,1507,1465.47,5.319
111,1507,1507,1457.34,5.344
112,1507,1507,1489.61,5.366
113,1507,1507,1468.62,5.388
114,1507,1507,1485.47,5.408
115,1507,1507,1481.93,5.425
116,1507,1507,1457.83,5.452
117,1507,1507,1471.02,5.47
118,1507,1507,1481.72,5.493
119,1507,1507,1480.57,5.513
120,1507,1507,1475.83,5.534
121,1507,1507,1471.76,5.553
122,1507,1507,1486.17,5.573
123,1507,1507,1488.29,5.591
124,1507,1507,1481.67,5.61
125,1507,1507,1483.49,5.631
126,1507,1507,1488.23,5.654
127,1507,1507,1446.12,5.677
128,1507,1507,1454.15,5.7
129,1507,1507,1457.52,5.724
130,1507,1507,1456.05,5.752
131,1507,1507,1475.22,5.775
132,1507,1507,1445.82,5.799
133,1507,1507,1468.36,5.819
134,1507,1507,1461.07,5.84
135,1507,1507,1451.46,5.864
136,1507,1507,1485.18,5.886
137,1507,1507,1479.39,5.906
138,1507,1507,1461.29,5.927
139,1507,1507,1466.23,5.949
140,1507,1507,1476.8,5.968
141,1507,1507,1453.06,5.988
142,1507,1507,1450.01,6.009
143,1507,1507,1481.96,6.03
144,1507,1507,1468.9,6.059
145,1518,1518,1477.1,6.083
146,1518,1518,1458.02,6.104
147,1518,1518,1468.18,6.13
148,1518,1518,1466.44,6.155
149,1518,1518,1476.66,6.179
150,1518,1518,1464.03,6.2
