gen,best_so_far,gen_best,gen_avg,elapsed_s
0,1341,1341,1163.22,0.061
1,1400,1400,1176.6,0.07
2,1481,1481,1202.54,0.079
3,1495,1495,1250.66,0.089
4,1495,1495,1316.86,0.099
5,1495,1495,1372.92,0.108
6,1495,1495,1383.54,0.118
7,1495,1495,1394.58,0.128
8,1495,1495,1375.96,0.139
9,1495,1495,1398.72,0.149
10,1495,1495,1388.14,0.159
11,1495,1495,1372.8,0.168
12,1495,1495,1377.34,0.178
13,1495,1495,1369.7,0.189
14,1495,1495,1394.72,0.198
15,1531,1531,1395.2,0.207
16,1531,1531,1397.18,0.217
17,1531,1531,1393.96,0.227
18,1531,1531,1410.74,0.236
19,1531,1531,1415.32,0.245
20,1531,1531,1439.56,0.255
21,1531,1531,1429.06,0.266
22,1531,1531,1422.46,0.276
23,1531,1531,1410.0,0.286
24,1531,1531,1391.76,0.296
25,1531,1531,1407.28,0.305
26,1531,1531,1416.92,0.314
27,1531,1531,1413.1,0.323
28,1531,1531,1416.08,0.332
29,1531,1531,1426.14,0.34
30,1531,1531,1436.2,0.349
31,1531,1531,1420.64,0.358
32,1531,1531,1395.86,0.367
33,1531,1531,1408.9,0.376
34,1531,1531,1409.96,0.385
35,1531,1531,1427.34,0.393
36,1531,1531,1452.12,0.402
37,1531,1531,1438.34,0.411
38,1531,1531,1407.7,0.417
39,1531,1531,1384.34,0.424
40,1531,1531,1381.78,0.432
41,1531,1531,1390.2,0.442
42,1531,1531,1400.34,0.449
43,1531,1531,1391.86,0.454
44,1531,1531,1382.7,0.461
45,1531,1531,1374.04,0.47
46,1531,1531,1368.52,0.479
47,1531,1531,1382.44,0.489
48,1531,1531,1384.72,0.501
49,1531,1531,1403.72,0.51
50,1531,1531,1403.26,0.518
51,1531,1531,1381.08,0.529
52,1531,1531,1376.4,0.539
53,1531,1531,1386.46,0.547
54,1531,1531,1386.46,0.557
55,1531,1531,1374.78,0.568
56,1531,1531,1406.48,0.577
57,1531,1531,1393.36,0.587
58,1531,1531,1407.76,0.596
59,1531,1531,1415.82,0.605
60,1531,1531,1378.28,0.616
61,1531,1531,1389.5,0.626
62,1531,1531,1388.06,0.636
63,1531,1531,1372.16,0.645
64,1531,1531,1389.3,0.654
65,1531,1531,1406.46,0.662
66,1531,1531,1399.14,0.671
67,1531,1531,1409.3,0.68
68,1531,1531,1384.62,0.691
69,1531,1531,1390.42,0.701
70,1531,1531,1400.6,0.707
71,1531,1531,1399.86,0.712
72,1531,1531,1406.14,0.717
73,1531,1531,1388.18,0.727
74,1531,1531,1408.52,0.736
75,1531,1531,1425.7,0.745
76,1531,1531,1402.22,0.756
77,1531,1531,1403.54,0.766
78,1531,1531,1392.78,0.775
79,1531,1531,1400.6,0.783
80,1531,1531,1378.36,0.792
81,1531,1531,1416.0,0.801
82,1531,1531,1404.32,0.811
83,1531,1531,1390.5,0.82
84,1531,1531,1395.44,0.829
85,1531,1531,1400.9,0.838
86,1531,1531,1397.46,0.846
87,1531,1531,1390.74,0.855
88,1531,1531,1409.54,0.865
89,1531,1531,1413.32,0.875
90,1531,1531,1405.64,0.885
91,1531,1531,1408.32,0.895
92,1531,1531,1406.74,0.904
93,1531,1531,1408.26,0.912
94,1531,1531,1402.82,0.922
95,1531,1531,1374.72,0.934
96,1531,1531,1392.8,0.943
97,1531,1531,1397.46,0.953
98,1531,1531,1366.78,0.964
99,1531,1531,1399.88,0.976
100,1531,1531,1444.46,0.985
101,1531,1531,1418.72,0.993
102,1531,1531,1413.98,1.004
103,1531,1531,1409.22,1.015
104,1531,1531,1414.5,1.023
105,1531,1531,1421.4,1.033
106,1531,1531,1428.08,1.043
107,1531,1531,1415.58,1.053
108,1531,1531,1388.16,1.064
109,1531,1531,1386.56,1.073
110,1531,1531,1384.34,1.084
111,1531,1531,1390.68,1.09
112,1531,1531,1378.74,1.098
113,1531,1531,1371.52,1.109
114,1531,1531,1396.84,1.118
115,1531,1531,1412.08,1.127
116,1531,1531,1421.38,1.133
117,1531,1531,1397.88,1.145
118,1531,1531,1394.8,1.153
119,1531,1531,1389.62,1.162
120,1531,1531,1409.0,1.171
121,1531,1531,1368.04,1.18
122,1531,1531,1365.46,1.19
123,1531,1531,1379.18,1.201
