gen,best_so_far,gen_best,gen_avg,elapsed_s
0,1341,1341,1155.23,0.14
1,1392,1392,1168.77,0.159
2,1412,1412,1196.37,0.178
3,1431,1431,1230.46,0.197
4,1431,1431,1250.52,0.216
5,1431,1431,1267.78,0.236
6,1440,1440,1288.32,0.259
7,1455,1455,1296.7,0.28
8,1467,1467,1312.55,0.303
9,1467,1467,1311.27,0.325
10,1482,1482,1323.44,0.345
11,1493,1493,1338.79,0.366
12,1500,1500,1350.74,0.388
13,1500,1500,1369.01,0.407
14,1527,1527,1384.32,0.428
15,1527,1527,1361.54,0.445
16,1527,1527,1372.78,0.467
17,1527,1527,1380.16,0.486
18,1527,1527,1363.39,0.507
19,1527,1527,1376.02,0.527
20,1527,1527,1391.38,0.548
21,1527,1527,1388.22,0.568
22,1527,1527,1374.51,0.589
23,1527,1527,1389.55,0.61
24,1527,1527,1390.15,0.634
25,1527,1527,1379.85,0.655
26,1527,1527,1378.44,0.677
27,1527,1527,1383.94,0.698
28,1527,1527,1407.32,0.739
29,1527,1527,1401.01,0.768
30,1527,1527,1408.43,0.786
31,1527,1527,1407.1,0.808
32,1527,1527,1393.66,0.83
33,1527,1527,1392.68,0.85
34,1527,1527,1375.5,0.876
35,1527,1527,1388.46,0.898
36,1527,1527,1383.38,0.92
37,1527,1527,1385.93,0.943
38,1527,1527,1403.84,0.964
39,1527,1527,1408.17,0.986
40,1527,1527,1405.68,1.005
41,1527,1527,1423.85,1.026
42,1527,1527,1429.02,1.048
43,1527,1527,1425.2,1.07
44,1527,1527,1414.05,1.092
45,1527,1527,1409.62,1.115
46,1527,1527,1408.97,1.137
47,1527,1527,1404.13,1.158
48,1527,1527,1404.77,1.18
49,1527,1527,1426.39,1.201
50,1527,1527,1432.83,1.221
51,1527,1527,1417.01,1.244
52,1527,1527,1422.06,1.266
53,1527,1527,1420.47,1.288
54,1527,1527,1409.6,1.309
55,1527,1527,1415.8,1.331
56,1527,1527,1403.28,1.357
57,1527,1527,1400.2,1.379
58,1527,1527,1399.76,1.4
59,1527,1527,1407.05,1.421
60,1527,1527,1403.45,1.44
61,1527,1527,1396.72,1.462
62,1527,1527,1405.99,1.482
63,1527,1527,1419.98,1.503
64,1527,1527,1413.27,1.524
65,1527,1527,1397.44,1.546
66,1527,1527,1389.61,1.569
67,1527,1527,1379.11,1.591
68,1527,1527,1391.04,1.614
69,1527,1527,1388.6,1.637
