gen,best_so_far,gen_best,gen_avg,elapsed_s
0,1341,1341,1155.23,0.113
1,1392,1392,1168.77,0.133
2,1412,1412,1196.37,0.151
3,1431,1431,1230.46,0.169
4,1431,1431,1250.52,0.19
5,1431,1431,1267.78,0.212
6,1440,1440,1288.32,0.236
7,1455,1455,1296.7,0.256
8,1467,1467,1312.55,0.277
9,1467,1467,1311.27,0.297
10,1482,1482,1323.44,0.315
11,1493,1493,1338.79,0.333
12,1500,1500,1350.74,0.353
13,1500,1500,1369.01,0.371
14,1527,1527,1384.32,0.39
15,1527,1527,1361.54,0.407
16,1527,1527,1372.78,0.426
17,1527,1527,1380.16,0.445
18,1527,1527,1363.39,0.467
19,1527,1527,1376.02,0.487
20,1527,1527,1391.38,0.509
21,1527,1527,1388.22,0.529
22,1527,1527,1374.51,0.553
23,1527,1527,1389.55,0.573
24,1527,1527,1390.15,0.595
25,1527,1527,1379.85,0.62
26,1527,1527,1378.44,0.641
27,1527,1527,1383.94,0.661
28,1527,1527,1407.32,0.684
29,1527,1527,1401.01,0.705
30,1527,1527,1408.43,0.722
31,1527,1527,1407.1,0.74
32,1527,1527,1393.66,0.759
33,1527,1527,1392.68,0.775
34,1527,1527,1375.5,0.798
35,1527,1527,1388.46,0.816
36,1527,1527,1383.38,0.835
37,1527,1527,1385.93,0.855
38,1527,1527,1403.84,0.872
39,1527,1527,1408.17,0.902
40,1527,1527,1405.68,0.921
41,1527,1527,1423.85,0.944
42,1527,1527,1429.02,0.965
43,1527,1527,1425.2,0.989
44,1527,1527,1414.05,1.012
45,1527,1527,1409.62,1.036
46,1527,1527,1408.97,1.059
47,1527,1527,1404.13,1.081
48,1527,1527,1404.77,1.103
49,1527,1527,1426.39,1.126
50,1527,1527,1432.83,1.146
51,1527,1527,1417.01,1.17
52,1527,1527,1422.06,1.193
53,1527,1527,1420.47,1.215
54,1527,1527,1409.6,1.235
55,1527,1527,1415.8,1.256
56,1527,1527,1403.28,1.281
57,1527,1527,1400.2,1.303
58,1527,1527,1399.76,1.323
59,1527,1527,1407.05,1.343
60,1527,1527,1403.45,1.362
61,1527,1527,1396.72,1.383
62,1527,1527,1405.99,1.404
63,1527,1527,1419.98,1.425
64,1527,1527,1413.27,1.447
65,1527,1527,1397.44,1.468
66,1527,1527,1389.61,1.49
67,1527,1527,1379.11,1.51
68,1527,1527,1391.04,1.532
69,1527,1527,1388.6,1.553
70,1527,1527,1395.95,1.583
71,1527,1527,1397.8,1.605
72,1527,1527,1413.53,1.624
73,1527,1527,1412.67,1.642
74,1527,1527,1384.14,1.664
75,1527,1527,1381.6,1.683
76,1527,1527,1386.95,1.702
77,1527,1527,1395.29,1.722
78,1527,1527,1410.49,1.74
79,1527,1527,1418.65,1.76
80,1527,1527,1409.67,1.781
81,1527,1527,1410.88,1.801
82,1527,1527,1410.22,1.819
83,1527,1527,1412.69,1.84
84,1527,1527,1416.35,1.862
85,1527,1527,1435.96,1.882
86,1527,1527,1423.36,1.903
87,1527,1527,1407.96,1.922
88,1527,1527,1417.13,1.94
89,1527,1527,1416.38,1.959
90,1527,1527,1396.85,1.977
91,1527,1527,1383.9,1.997
92,1527,1527,1384.16,2.015
93,1527,1527,1396.6,2.037
94,1527,1527,1418.93,2.058
95,1527,1527,1409.77,2.078
96,1527,1527,1409.13,2.098
97,1527,1527,1406.33,2.149
98,1527,1527,1386.64,2.178
99,1527,1527,1395.99,2.198
100,1527,1527,1393.23,2.217
