gen,best_so_far,gen_best,gen_avg,elapsed_s
0,1341,1341,1155.23,0.111
1,1341,1341,1057.74,0.13
2,1401,1401,1009.21,0.146
3,1513,1513,1112.14,0.163
4,1513,1513,1151.73,0.186
5,1528,1528,1214.94,0.206
6,1551,1551,1284.64,0.227
7,1551,1551,1340.33,0.252
8,1615,1615,1403.09,0.275
9,1630,1630,1448.36,0.302
10,1630,1630,1506.86,0.328
11,1652,1652,1544.08,0.354
12,1658,1658,1558.65,0.381
13,1658,1658,1596.16,0.406
14,1658,1658,1578.93,0.432
15,1658,1658,1589.63,0.459
16,1658,1658,1592.62,0.485
17,1658,1658,1610.77,0.512
18,1658,1658,1580.34,0.542
19,1658,1658,1598.56,0.569
20,1658,1658,1616.91,0.596
21,1658,1658,1592.1,0.623
22,1658,1658,1618.62,0.649
23,1658,1658,1629.9,0.673
24,1658,1658,1591.54,0.702
25,1658,1658,1624.43,0.728
26,1658,1658,1606.03,0.753
27,1658,1658,1625.53,0.778
28,1658,1658,1621.8,0.803
29,1658,1658,1589.23,0.83
30,1658,1658,1605.14,0.853
31,1658,1658,1621.16,0.879
32,1664,1664,1605.57,0.909
33,1664,1664,1611.14,0.936
34,1664,1664,1598.37,0.966
35,1664,1664,1618.97,0.991
36,1664,1664,1600.59,1.016
37,1664,1664,1614.54,1.04
38,1664,1664,1622.97,1.065
39,1664,1664,1608.92,1.089
40,1664,1664,1621.56,1.117
41,1664,1664,1609.9,1.146
42,1664,1664,1568.17,1.176
43,1664,1664,1618.2,1.201
44,1670,1670,1617.33,1.229
45,1670,1670,1613.58,1.259
46,1670,1670,1612.27,1.287
47,1670,1670,1634.18,1.312
48,1670,1670,1629.29,1.338
49,1670,1670,1618.69,1.366
50,1670,1670,1629.14,1.397
51,1670,1670,1586.32,1.428
52,1670,1670,1596.47,1.455
53,1670,1670,1641.39,1.481
54,1670,1670,1633.49,1.509
55,1670,1670,1640.56,1.541
56,1670,1670,1629.29,1.564
57,1670,1670,1622.87,1.587
58,1670,1670,1637.42,1.612
59,1670,1670,1618.3,1.635
60,1670,1670,1613.13,1.661
61,1670,1670,1619.2,1.686
62,1670,1670,1624.52,1.711
63,1670,1670,1614.25,1.735
64,1670,1670,1601.21,1.761
65,1670,1670,1638.79,1.785
66,1670,1670,1621.14,1.81
67,1670,1670,1631.03,1.835
68,1670,1670,1643.63,1.859
69,1670,1670,1603.79,1.882
70,1670,1670,1637.27,1.905
71,1670,1670,1619.92,1.93
72,1670,1670,1647.76,1.952
73,1670,1670,1633.64,1.975
74,1670,1670,1614.59,1.999
75,1670,1670,1620.53,2.022
76,1670,1670,1624.75,2.045
77,1670,1670,1611.55,2.07
78,1670,1670,1615.6,2.094
79,1670,1670,1608.56,2.121
80,1670,1670,1640.84,2.144
81,1670,1670,1592.05,2.169
82,1670,1670,1642.68,2.193
83,1670,1670,1647.8,2.217
84,1670,1670,1653.04,2.24
85,1670,1670,1637.29,2.264
86,1670,1670,1601.59,2.288
87,1670,1670,1635.13,2.314
88,1670,1670,1604.11,2.342
89,1670,1670,1598.73,2.367
90,1670,1670,1638.02,2.393
91,1670,1670,1617.61,2.418
92,1670,1670,1622.15,2.444
93,1670,1670,1610.98,2.47
94,1670,1670,1610.91,2.5
95,1670,1670,1622.1,2.526
96,1670,1670,1621.1,2.556
97,1670,1670,1631.65,2.585
98,1670,1670,1614.97,2.611
99,1670,1670,1593.9,2.64
100,1670,1670,1625.57,2.666
101,1670,1670,1622.63,2.69
102,1670,1670,1617.04,2.713
103,1670,1670,1646.53,2.736
104,1670,1670,1646.35,2.758
105,1670,1670,1604.55,2.782
106,1670,1670,1633.65,2.804
107,1670,1670,1634.71,2.827
108,1670,1670,1634.94,2.851
109,1670,1670,1613.54,2.877
110,1670,1670,1627.61,2.902
111,1670,1670,1635.86,2.929
112,1670,1670,1644.16,2.952
113,1670,1670,1601.93,2.98
114,1670,1670,1632.07,3.005
115,1670,1670,1615.85,3.031
116,1670,1670,1638.03,3.057
117,1670,1670,1626.71,3.079
118,1670,1670,1617.8,3.103
119,1670,1670,1607.43,3.127
120,1670,1670,1622.46,3.15
121,1670,1670,1575.94,3.173
122,1670,1670,1628.96,3.198
123,1670,1670,1605.1,3.22
124,1670,1670,1637.45,3.242
125,1670,1670,1627.96,3.266
126,1670,1670,1646.67,3.289
127,1670,1670,1619.35,3.316
128,1670,1670,1643.18,3.343
129,1670,1670,1589.74,3.371
130,1670,1670,1646.87,3.396
131,1670,1670,1657.01,3.418
132,1670,1670,1651.79,3.44
133,1670,1670,1643.34,3.462
134,1670,1670,1636.9,3.484
135,1670,1670,1593.8,3.508
136,1670,1670,1612.86,3.533
137,1670,1670,1644.52,3.555
138,1670,1670,1615.42,3.579
139,1670,1670,1621.56,3.602
140,1670,1670,1599.65,3.628
141,1670,1670,1616.53,3.652
142,1670,1670,1636.12,3.674
143,1670,1670,1611.44,3.698
144,1670,1670,1643.99,3.721
145,1670,1670,1633.42,3.744
146,1670,1670,1631.86,3.768
147,1670,1670,1648.26,3.791
148,1670,1670,1602.39,3.815
149,1670,1670,1634.59,3.838
150,1670,1670,1609.35,3.865
