gen,best_so_far,gen_best,gen_avg,elapsed_s
0,2684,2684,2046.78,5.429
1,2810,2810,2197.08,5.458
2,2810,2810,2382.88,5.554
3,2883,2883,2523.8,5.623
4,2883,2883,2555.8,5.733
5,2883,2883,2707.54,5.749
6,2905,2905,2723.48,5.812
7,2905,2905,2710.86,5.867
8,2905,2905,2721.86,5.919
9,2905,2905,2733.06,5.949
10,2905,2905,2725.46,6.068
11,2905,2905,2667.88,6.222
12,2905,2905,2691.1,6.337
13,2905,2905,2721.42,6.42
14,2905,2905,2737.64,6.481
15,2905,2905,2753.68,6.588
16,2905,2905,2713.08,6.633
17,2905,2905,2720.76,6.717
18,2905,2905,2750.06,6.78
19,2905,2905,2744.02,6.86
20,2905,2905,2739.14,6.957
21,2905,2905,2730.28,7.079
22,2905,2905,2716.42,7.2
23,2905,2905,2750.56,7.27
24,2905,2905,2754.56,7.285
25,2905,2905,2750.16,7.324
26,2905,2905,2773.68,7.341
27,2905,2905,2732.02,7.457
28,2905,2905,2720.06,7.491
29,2905,2905,2704.12,7.52
30,2905,2905,2715.8,7.573
31,2905,2905,2710.42,7.641
32,2905,2905,2691.28,7.73
33,2905,2905,2717.16,7.793
34,2905,2905,2709.86,7.847
35,2905,2905,2690.82,7.882
36,2905,2905,2707.76,7.991
37,2905,2905,2789.74,8.011
38,2905,2905,2682.14,8.149
39,2905,2905,2702.48,8.185
40,2905,2905,2708.04,8.317
41,2905,2905,2732.84,8.39
42,2905,2905,2738.94,8.477
43,2905,2905,2730.68,8.538
44,2905,2905,2687.54,8.588
45,2905,2905,2642.76,8.685
46,2905,2905,2620.94,8.727
47,2905,2905,2600.68,8.835
48,2905,2905,2678.64,8.879
49,2905,2905,2697.1,8.957
50,2905,2905,2688.56,9.039
51,2905,2905,2735.92,9.085
52,2905,2905,2745.42,9.19
53,2905,2905,2684.64,9.26
54,2905,2905,2704.92,9.305
55,2905,2905,2729.86,9.339
56,2905,2905,2757.38,9.392
57,2905,2905,2745.92,9.465
58,2905,2905,2746.68,9.505
59,2905,2905,2679.56,9.623
60,2905,2905,2646.42,9.745
61,2905,2905,2652.66,9.854
62,2905,2905,2655.22,9.964
63,2905,2905,2680.4,10.051
64,2905,2905,2701.86,10.134
65,2905,2905,2655.4,10.266
66,2905,2905,2735.62,10.298
67,2905,2905,2704.28,10.352
68,2905,2905,2726.18,10.455
69,2905,2905,2696.46,10.527
70,2905,2905,2664.1,10.608
71,2905,2905,2709.0,10.624
72,2905,2905,2703.74,10.752
73,2905,2905,2793.96,10.789
74,2905,2905,2741.04,10.841
75,2905,2905,2745.6,10.904
76,2905,2905,2743.1,10.969
77,2905,2905,2765.22,11.018
78,2905,2905,2722.34,11.154
79,2905,2905,2753.06,11.24
80,2905,2905,2757.96,11.3
81,2905,2905,2737.72,11.367
82,2905,2905,2762.32,11.382
83,2905,2905,2785.64,11.398
84,2905,2905,2780.46,11.446
85,2905,2905,2719.86,11.554
86,2905,2905,2736.64,11.585
87,2905,2905,2740.38,11.601
88,2905,2905,2754.62,11.627
89,2905,2905,2729.06,11.662
90,2905,2905,2755.04,11.678
91,2905,2905,2741.26,11.77
92,2905,2905,2710.02,11.84
93,2905,2905,2621.58,11.916
94,2905,2905,2638.94,12.022
95,2905,2905,2677.38,12.062
96,2905,2905,2674.54,12.181
97,2905,2905,2674.66,12.236
98,2905,2905,2691.78,12.328
99,2905,2905,2704.3,12.371
100,2905,2905,2657.42,12.441
101,2905,2905,2686.04,12.468
102,2905,2905,2677.98,12.527
103,2905,2905,2727.92,12.572
104,2905,2905,2674.64,12.665
105,2905,2905,2717.2,12.703
106,2905,2905,2695.72,12.868
107,2905,2905,2699.72,12.966
108,2905,2905,2718.34,12.997
109,2905,2905,2707.06,13.089
110,2905,2905,2711.78,13.188
111,2905,2905,2725.72,13.222
112,2905,2905,2745.16,13.307
113,2905,2905,2745.16,13.399
114,2905,2905,2751.54,13.492
115,2905,2905,2725.94,13.554
116,2905,2905,2722.88,13.596
117,2905,2905,2702.46,13.68
118,2905,2905,2708.48,13.747
119,2905,2905,2716.62,13.844
120,2905,2905,2733.78,13.886
