gen,best_so_far,gen_best,gen_avg,elapsed_s
0,2684,2684,2014.68,9.487
1,2775,2775,2185.08,9.711
2,2775,2775,2307.2,9.967
3,2788,2788,2386.2,10.113
4,2788,2788,2429.11,10.381
5,2801,2801,2510.51,10.581
6,2801,2801,2529.46,10.702
7,2801,2801,2569.1,10.903
8,2801,2801,2555.95,11.157
9,2898,2898,2590.52,11.327
10,2898,2898,2622.37,11.434
11,2898,2898,2624.35,11.551
12,2898,2898,2626.63,11.8
13,2898,2898,2639.0,11.962
14,2904,2904,2650.32,12.252
15,2904,2904,2671.08,12.421
16,2904,2904,2696.33,12.596
17,2904,2904,2689.06,12.782
18,2904,2904,2732.07,12.961
19,2904,2904,2699.97,13.045
20,2904,2904,2694.39,13.225
21,2904,2904,2695.1,13.433
22,2904,2904,2664.58,13.664
23,2904,2904,2683.61,13.838
24,2904,2904,2667.6,14.078
25,2904,2904,2707.68,14.188
26,2904,2904,2709.21,14.333
27,2904,2904,2689.52,14.469
28,2904,2904,2658.45,14.69
29,2904,2904,2682.93,14.856
30,2904,2904,2662.06,15.163
31,2904,2904,2672.36,15.448
32,2904,2904,2658.77,15.69
33,2904,2904,2702.77,15.793
34,2904,2904,2693.33,15.956
35,2904,2904,2694.31,16.132
36,2904,2904,2676.04,16.325
37,2904,2904,2740.53,16.489
38,2904,2904,2722.64,16.606
39,2904,2904,2701.98,16.765
40,2904,2904,2699.67,16.93
41,2904,2904,2710.22,17.029
42,2904,2904,2730.59,17.128
43,2904,2904,2730.01,17.316
44,2904,2904,2694.97,17.703
45,2904,2904,2664.96,17.94
46,2904,2904,2709.76,18.15
47,2904,2904,2652.78,18.452
48,2904,2904,2695.72,18.61
49,2904,2904,2683.01,18.791
50,2904,2904,2696.33,19.104
51,2904,2904,2658.35,19.329
52,2904,2904,2684.43,19.457
53,2904,2904,2693.18,19.688
54,2904,2904,2715.49,19.913
55,2904,2904,2674.35,20.043
56,2904,2904,2686.08,20.202
57,2904,2904,2703.11,20.366
58,2904,2904,2680.23,20.641
