gen,best_so_far,gen_best,gen_avg,elapsed_s
0,2684,2684,2014.68,43.694
1,2775,2775,2185.08,44.703
2,2775,2775,2307.2,45.704
3,2788,2788,2386.2,46.26
4,2788,2788,2429.11,47.469
5,2801,2801,2510.51,48.357
6,2801,2801,2529.46,48.87
7,2801,2801,2569.1,49.771
8,2801,2801,2555.95,50.779
9,2898,2898,2590.52,51.605
10,2898,2898,2622.37,52.075
11,2898,2898,2624.35,52.589
12,2898,2898,2626.63,53.495
13,2898,2898,2639.0,54.257
14,2904,2904,2650.32,55.312
15,2904,2904,2671.08,55.938
16,2904,2904,2696.33,56.697
17,2904,2904,2689.06,57.553
18,2904,2904,2732.07,58.457
19,2904,2904,2699.97,58.775
20,2904,2904,2694.39,59.557
21,2904,2904,2695.1,59.875
22,2904,2904,2664.58,60.086
23,2904,2904,2683.61,60.239
24,2904,2904,2667.6,60.489
25,2904,2904,2707.68,60.589
26,2904,2904,2709.21,60.72
27,2904,2904,2689.52,60.846
28,2904,2904,2658.45,61.05
29,2904,2904,2682.93,61.207
30,2904,2904,2662.06,61.495
31,2904,2904,2672.36,61.773
32,2904,2904,2658.77,61.997
33,2904,2904,2702.77,62.091
34,2904,2904,2693.33,62.248
35,2904,2904,2694.31,62.409
36,2904,2904,2676.04,62.578
37,2904,2904,2740.53,62.705
38,2904,2904,2722.64,62.809
39,2904,2904,2701.98,62.951
40,2904,2904,2699.67,63.105
41,2904,2904,2710.22,63.198
42,2904,2904,2730.59,63.292
43,2904,2904,2730.01,63.463
44,2904,2904,2694.97,63.802
45,2904,2904,2664.96,64.004
46,2904,2904,2709.76,64.193
47,2904,2904,2652.78,64.468
48,2904,2904,2695.72,64.61
49,2904,2904,2683.01,64.772
50,2904,2904,2696.33,65.06
51,2904,2904,2658.35,65.261
52,2904,2904,2684.43,65.378
53,2904,2904,2693.18,65.583
54,2904,2904,2715.49,65.79
55,2904,2904,2674.35,65.912
56,2904,2904,2686.08,66.057
57,2904,2904,2703.11,66.222
58,2904,2904,2680.23,66.461
59,2904,2904,2711.4,66.572
60,2904,2904,2713.79,66.708
61,2904,2904,2690.57,66.978
62,2904,2904,2706.51,67.139
63,2904,2904,2696.19,67.309
64,2904,2904,2706.86,67.419
65,2904,2904,2710.97,67.56
66,2904,2904,2699.74,67.651
67,2904,2904,2680.84,67.799
68,2904,2904,2700.07,67.878
69,2904,2904,2713.63,68.046
70,2904,2904,2705.71,68.225
71,2904,2904,2697.53,68.363
72,2904,2904,2708.71,68.486
73,2904,2904,2682.44,68.662
74,2904,2904,2699.37,68.859
75,2904,2904,2711.83,69.018
76,2904,2904,2686.11,69.259
77,2904,2904,2684.28,69.456
78,2904,2904,2696.71,69.67
79,2904,2904,2728.48,69.826
80,2904,2904,2765.11,69.903
81,2904,2904,2728.55,70.104
82,2904,2904,2697.13,70.332
83,2904,2904,2682.08,70.556
84,2904,2904,2703.74,70.721
85,2904,2904,2679.18,70.903
86,2904,2904,2717.73,71.061
87,2904,2904,2643.42,71.414
88,2904,2904,2688.38,71.56
89,2904,2904,2690.73,71.731
90,2904,2904,2693.87,71.842
91,2904,2904,2705.08,71.989
92,2904,2904,2695.5,72.221
93,2904,2904,2655.16,72.414
94,2904,2904,2688.72,72.638
95,2904,2904,2714.41,72.747
96,2904,2904,2686.2,72.936
97,2904,2904,2683.6,73.126
98,2904,2904,2694.18,73.32
99,2904,2904,2702.29,73.472
100,2904,2904,2677.43,74.231
