gen,best_so_far,gen_best,gen_avg,elapsed_s
0,2684,2684,2014.68,42.245
1,2684,2684,1724.53,43.624
2,2684,2684,1733.45,44.707
3,2684,2684,1836.87,45.185
4,2684,2684,1873.58,45.956
5,2684,2684,1934.58,46.621
6,2684,2684,2005.88,47.413
7,2684,2684,2128.73,48.555
8,2684,2684,2185.42,49.179
9,2701,2701,2196.42,49.811
10,2701,2701,2177.51,50.606
11,2726,2726,2272.1,51.336
12,2770,2770,2333.36,52.731
13,2775,2775,2457.37,53.122
14,2775,2775,2457.33,54.059
15,2848,2848,2502.31,54.89
16,2848,2848,2548.51,55.734
17,2915,2915,2659.68,56.24
18,2915,2915,2692.69,56.687
19,2950,2950,2715.98,57.681
20,2950,2950,2680.32,58.642
21,3035,3035,2727.63,59.631
22,3035,3035,2730.61,60.903
23,3040,3040,2883.58,61.662
24,3042,3042,2897.03,61.802
25,3042,3042,2884.64,62.103
26,3042,3042,2955.77,62.279
27,3070,3070,2947.42,62.425
28,3156,3156,2942.94,62.581
29,3158,3158,2927.34,62.854
30,3158,3158,2963.61,62.996
31,3163,3163,3011.29,63.176
32,3276,3276,3056.83,63.365
33,3279,3279,3010.89,63.655
34,3287,3287,3020.52,63.92
35,3287,3287,3070.42,64.128
36,3289,3289,3101.27,64.282
37,3289,3289,3112.36,64.448
38,3289,3289,3162.46,64.6
39,3289,3289,3142.37,64.804
40,3289,3289,3198.86,65.015
41,3289,3289,3265.58,65.092
42,3289,3289,3216.46,65.231
43,3289,3289,3209.42,65.351
44,3289,3289,3210.11,65.491
45,3289,3289,3221.21,65.637
46,3289,3289,3209.54,65.824
47,3289,3289,3196.99,65.979
48,3289,3289,3126.69,66.189
49,3289,3289,3131.03,66.462
50,3289,3289,3120.97,66.648
51,3289,3289,3186.42,66.9
52,3289,3289,3206.31,67.111
53,3289,3289,3240.19,67.198
54,3289,3289,3178.58,67.435
55,3289,3289,3086.55,67.792
56,3289,3289,3212.32,67.968
57,3289,3289,3154.15,68.189
58,3289,3289,3237.58,68.319
59,3289,3289,3153.88,68.505
60,3289,3289,3193.0,68.633
61,3289,3289,3118.65,68.947
62,3289,3289,3118.29,69.121
63,3289,3289,3195.33,69.258
64,3289,3289,3214.12,69.411
65,3289,3289,3159.71,69.587
66,3289,3289,3214.42,69.699
67,3289,3289,3194.07,69.841
68,3289,3289,3188.42,70.018
69,3289,3289,3212.72,70.147
70,3289,3289,3145.64,70.358
71,3289,3289,3252.71,70.443
72,3289,3289,3135.56,70.634
73,3289,3289,3209.51,70.763
74,3289,3289,3240.63,70.909
75,3289,3289,3177.53,71.064
76,3289,3289,3186.35,71.213
77,3289,3289,3188.57,71.391
78,3289,3289,3129.05,71.626
79,3289,3289,3084.03,71.934
80,3289,3289,3218.04,72.074
81,3289,3289,3224.95,72.221
82,3289,3289,3263.81,72.343
83,3289,3289,3144.06,72.571
84,3289,3289,3222.86,72.714
85,3289,3289,3195.21,72.907
86,3289,3289,3146.94,73.082
87,3289,3289,3232.64,73.243
88,3289,3289,3210.58,73.396
89,3289,3289,3199.98,73.526
90,3289,3289,3182.24,73.752
91,3289,3289,3196.25,73.953
92,3289,3289,3197.21,74.114
93,3289,3289,3184.15,74.253
94,3289,3289,3177.26,74.416
95,3289,3289,3150.16,74.572
96,3289,3289,3146.4,74.76
97,3289,3289,3209.34,74.93
98,3289,3289,3164.47,75.11
99,3289,3289,3177.47,75.265
100,3289,3289,3164.61,75.5
101,3289,3289,3163.54,75.684
102,3289,3289,3257.42,75.768
103,3289,3289,3182.49,75.951
104,3289,3289,3133.4,76.219
105,3289,3289,3226.92,76.352
106,3289,3289,3219.96,76.514
107,3289,3289,3130.37,76.74
108,3289,3289,3250.09,76.824
109,3289,3289,3181.21,77.01
110,3289,3289,3193.46,77.17
111,3289,3289,3238.89,77.283
112,3301,3301,3211.69,77.458
113,3301,3301,3124.72,77.714
114,3301,3301,3164.67,77.903
115,3301,3301,3127.08,78.122
116,3301,3301,3225.55,78.301
117,3301,3301,3222.72,78.42
118,3301,3301,3157.29,78.607
119,3301,3301,3111.18,78.791
120,3301,3301,3114.05,79.054
121,3301,3301,3116.18,79.309
122,3301,3301,3000.67,79.724
123,3301,3301,3175.11,79.869
124,3301,3301,3167.27,80.002
125,3301,3301,3163.36,80.227
126,3301,3301,3231.59,80.469
127,3301,3301,3175.52,80.664
128,3301,3301,3224.39,80.816
129,3301,3301,3251.6,80.935
130,3301,3301,3207.0,81.134
131,3301,3301,3142.48,81.365
132,3301,3301,3189.88,81.514
133,3301,3301,3223.61,81.645
134,3301,3301,3154.87,81.805
135,3301,3301,3162.83,82.037
136,3301,3301,3259.3,82.147
137,3301,3301,3212.91,82.362
138,3301,3301,3170.13,82.61
139,3301,3301,3212.84,82.763
140,3301,3301,3153.64,83.011
141,3301,3301,3202.25,83.195
142,3301,3301,3207.36,83.396
143,3301,3301,3166.93,83.64
144,3301,3301,3185.54,83.806
145,3301,3301,3224.5,83.968
146,3301,3301,3241.46,84.129
147,3301,3301,3217.95,84.293
148,3301,3301,3256.83,84.383
149,3301,3301,3174.05,84.545
150,3301,3301,3244.53,84.678
