gen,best_so_far,gen_best,gen_avg,elapsed_s
0,1714,1714,1445.24,12.498
1,1714,1714,1198.24,12.704
2,1714,1714,1295.98,12.839
3,1714,1714,1317.66,13.009
4,1714,1714,1356.5,13.16
5,1714,1714,1293.56,13.32
6,1714,1714,1327.46,13.79
7,1714,1714,1329.42,13.794
8,1714,1714,1226.02,13.815
9,1714,1714,1260.3,13.944
10,1714,1714,1228.0,14.125
11,1714,1714,1203.86,14.139
12,1714,1714,1186.08,14.308
13,1714,1714,1283.54,14.754
14,1714,1714,1261.68,15.109
15,1714,1714,1192.02,15.408
16,1714,1714,1119.18,15.54
17,1714,1714,1158.66,15.712
18,1714,1714,1011.16,15.854
19,1714,1714,1158.76,16.059
20,1714,1714,1104.56,16.226
21,1714,1714,1227.96,16.523
22,1714,1714,1197.84,16.98
23,1714,1714,1177.1,17.312
24,1714,1714,1234.88,17.629
25,1714,1714,1215.5,17.764
26,1714,1714,1253.9,17.926
27,1714,1714,1132.18,18.065
28,1714,1714,1066.16,18.073
29,1714,1714,1116.6,18.397
30,1714,1714,1186.42,18.417
31,1714,1714,1173.72,18.568
32,1714,1714,1163.82,18.575
33,1714,1714,1252.12,18.734
34,1714,1714,1269.98,19.078
35,1714,1714,1217.78,19.246
36,1714,1714,1162.38,19.401
37,1714,1714,1164.34,19.412
38,1714,1714,1241.88,19.841
39,1714,1714,1258.9,19.845
40,1714,1714,1175.36,20.21
41,1714,1714,1273.76,20.225
42,1714,1714,1220.6,20.387
43,1714,1714,1192.76,20.701
44,1714,1714,1196.72,21.007
45,1714,1714,1190.62,21.184
46,1714,1714,1169.78,21.342
47,1714,1714,1188.96,21.686
48,1714,1714,1225.76,21.849
49,1714,1714,1224.5,22.157
50,1714,1714,1192.1,22.515
51,1714,1714,1171.78,22.819
52,1714,1714,1164.62,23.016
53,1714,1714,1180.44,23.02
54,1714,1714,1241.38,23.359
55,1714,1714,1252.3,23.514
56,1714,1714,1264.8,23.56
57,1714,1714,1241.7,23.678
58,1714,1714,1216.36,23.693
59,1714,1714,1227.4,23.85
60,1714,1714,1181.28,23.866
61,1714,1714,1204.14,23.916
62,1714,1714,1230.84,23.996
63,1714,1714,1279.64,24.045
64,1714,1714,1188.46,24.098
65,1714,1714,1206.34,24.126
66,1714,1714,1135.08,24.172
67,1714,1714,1132.46,24.253
68,1714,1714,1058.36,24.304
69,1714,1714,1124.48,24.374
70,1714,1714,1182.82,24.424
71,1714,1714,1230.36,24.516
72,1714,1714,1193.26,24.583
73,1714,1714,1245.2,24.613
74,1714,1714,1268.58,24.656
75,1714,1714,1229.42,24.671
76,1714,1714,1189.4,24.688
77,1714,1714,1216.52,24.728
78,1714,1714,1258.54,24.768
79,1714,1714,1266.26,24.807
80,1714,1714,1255.24,24.915
81,1714,1714,1175.22,24.969
82,1714,1714,1168.14,24.987
83,1714,1714,1233.96,25.023
84,1714,1714,1267.16,25.027
85,1714,1714,1238.46,25.059
86,1714,1714,1254.6,25.082
87,1714,1714,1213.4,25.146
88,1714,1714,1141.52,25.151
89,1714,1714,1162.86,25.155
90,1714,1714,1205.22,25.167
91,1714,1714,1181.68,25.185
92,1714,1714,1252.34,25.209
93,1714,1714,1243.2,25.269
94,1714,1714,1196.9,25.314
95,1714,1714,1120.46,25.366
96,1714,1714,1149.58,25.417
97,1714,1714,1214.06,25.446
98,1714,1714,1209.74,25.555
99,1714,1714,1178.2,25.559
100,1714,1714,1276.76,25.622
