gen,best_so_far,gen_best,gen_avg,elapsed_s
0,1714,1714,1473.56,5.755
1,1714,1714,1283.57,5.912
2,1714,1714,1253.08,6.016
3,1714,1714,1261.47,6.214
4,1714,1714,1201.17,6.411
5,1714,1714,1175.44,6.491
6,1714,1714,1186.28,6.651
7,1714,1714,1160.57,6.797
8,1714,1714,1182.2,6.867
9,1714,1714,1121.51,7.003
10,1714,1714,1187.09,7.13
11,1714,1714,1222.3,7.283
12,1714,1714,1219.22,7.36
13,1714,1714,1216.55,7.465
14,1714,1714,1203.4,7.613
15,1714,1714,1198.97,8.042
16,1714,1714,1213.66,8.305
17,1714,1714,1231.8,8.42
18,1714,1714,1261.58,8.495
19,1714,1714,1341.88,8.687
20,1714,1714,1288.73,8.839
21,1714,1714,1224.48,8.889
22,1714,1714,1159.39,9.002
23,1714,1714,1188.22,9.179
24,1714,1714,1221.24,9.558
25,1714,1714,1218.05,9.713
26,1714,1714,1265.31,9.912
27,1714,1714,1194.84,10.038
28,1714,1714,1187.6,10.138
29,1714,1714,1101.82,10.249
30,1714,1714,1132.57,10.442
31,1714,1714,1135.73,10.68
32,1714,1714,1177.73,10.877
33,1714,1714,1190.32,11.007
34,1714,1714,1211.69,11.323
35,1714,1714,1207.8,11.487
36,1714,1714,1167.72,11.592
37,1714,1714,1151.93,11.757
38,1714,1714,1191.37,11.962
39,1714,1714,1260.21,12.272
40,1714,1714,1241.75,12.356
41,1714,1714,1217.07,12.508
42,1714,1714,1205.17,12.626
43,1714,1714,1191.83,12.686
44,1714,1714,1204.43,12.884
45,1714,1714,1157.32,12.976
46,1714,1714,1137.65,13.162
47,1714,1714,1204.1,13.439
48,1714,1714,1235.98,13.646
49,1714,1714,1122.57,13.769
50,1714,1714,1223.34,13.875
51,1714,1714,1194.63,14.006
52,1714,1714,1219.09,14.335
53,1714,1714,1206.0,14.514
54,1714,1714,1199.93,14.712
55,1714,1714,1225.81,14.944
56,1714,1714,1213.14,15.08
57,1714,1714,1217.04,15.184
58,1714,1714,1201.47,15.333
59,1714,1714,1197.41,15.421
60,1714,1714,1185.97,15.604
61,1714,1714,1150.1,15.703
62,1714,1714,1156.24,15.953
63,1714,1714,1127.47,16.203
64,1714,1714,1117.4,16.305
65,1714,1714,1083.72,16.497
66,1714,1714,1120.41,16.652
67,1714,1714,1157.46,16.749
68,1714,1714,1088.47,16.835
69,1714,1714,1110.88,16.909
70,1714,1714,1137.8,17.164
71,1714,1714,1205.36,17.228
72,1714,1714,1159.05,17.373
73,1714,1714,1144.16,17.552
74,1714,1714,1156.7,17.714
75,1714,1714,1166.64,17.847
76,1714,1714,1120.76,18.077
77,1714,1714,1186.26,18.201
78,1714,1714,1173.68,18.399
79,1714,1714,1233.68,18.597
80,1714,1714,1199.35,18.748
81,1714,1714,1169.96,18.905
82,1714,1714,1172.73,19.13
83,1714,1714,1176.59,19.25
84,1714,1714,1140.99,19.514
85,1714,1714,1133.98,19.617
86,1714,1714,1170.91,19.783
87,1714,1714,1110.21,19.973
88,1714,1714,1130.39,20.209
89,1714,1714,1155.44,20.354
90,1714,1714,1174.44,20.453
91,1714,1714,1203.44,20.588
92,1714,1714,1187.88,20.62
93,1714,1714,1174.28,20.798
94,1714,1714,1199.55,20.917
95,1714,1714,1141.31,21.166
96,1714,1714,1077.31,21.314
97,1714,1714,1172.29,21.512
98,1714,1714,1161.04,21.701
99,1714,1714,1173.6,21.895
100,1714,1714,1176.26,22.041
101,1714,1714,1128.81,22.141
102,1714,1714,1185.44,22.27
103,1714,1714,1167.04,22.406
104,1714,1714,1182.13,22.66
105,1714,1714,1151.47,22.721
106,1714,1714,1186.66,22.913
107,1714,1714,1145.09,23.112
108,1714,1714,1108.25,23.234
109,1714,1714,1163.26,23.392
110,1714,1714,1170.3,23.484
111,1714,1714,1145.2,23.686
112,1714,1714,1166.67,23.869
113,1714,1714,1171.94,24.061
114,1714,1714,1202.84,24.181
115,1714,1714,1218.93,24.425
116,1714,1714,1181.66,24.562
117,1714,1714,1137.23,24.657
118,1714,1714,1162.72,24.736
119,1714,1714,1179.53,24.973
120,1714,1714,1186.71,25.256
121,1714,1714,1182.48,25.341
122,1714,1714,1158.52,25.467
123,1714,1714,1227.73,25.636
124,1714,1714,1146.26,25.869
125,1714,1714,1169.8,26.006
126,1714,1714,1211.91,26.192
127,1714,1714,1234.31,26.293
128,1714,1714,1182.18,26.458
129,1714,1714,1198.04,26.785
130,1714,1714,1267.58,26.923
131,1714,1714,1168.56,27.036
132,1714,1714,1173.31,27.127
133,1714,1714,1151.08,27.259
134,1714,1714,1171.14,27.499
135,1714,1714,1206.42,27.56
136,1714,1714,1243.92,27.668
137,1714,1714,1246.5,27.755
138,1714,1714,1280.93,27.907
139,1714,1714,1193.19,28.046
140,1714,1714,1207.64,28.2
141,1714,1714,1199.47,28.394
142,1714,1714,1191.68,28.526
143,1714,1714,1206.92,28.769
144,1714,1714,1231.94,28.841
145,1714,1714,1183.29,29.121
146,1714,1714,1178.69,29.314
147,1714,1714,1215.22,29.441
148,1714,1714,1153.51,29.552
149,1714,1714,1119.83,29.745
150,1714,1714,1097.59,29.822
151,1714,1714,1163.48,29.907
152,1714,1714,1213.3,30.148
153,1714,1714,1159.81,30.238
154,1714,1714,1149.5,30.443
155,1714,1714,1198.78,30.774
156,1714,1714,1169.1,30.933
157,1714,1714,1120.66,31.135
158,1714,1714,1157.77,31.394
159,1714,1714,1112.63,31.51
160,1714,1714,1157.16,31.676
161,1714,1714,1201.59,31.805
162,1714,1714,1206.3,31.877
163,1714,1714,1187.49,32.103
164,1714,1714,1187.52,32.219
165,1714,1714,1184.65,32.343
166,1714,1714,1188.96,32.461
167,1714,1714,1188.28,32.617
168,1714,1714,1195.43,32.805
169,1714,1714,1145.65,32.987
170,1714,1714,1213.84,33.115
171,1714,1714,1206.45,33.286
172,1714,1714,1242.31,33.405
173,1714,1714,1261.76,33.596
174,1714,1714,1159.9,33.756
175,1714,1714,1159.51,33.876
176,1714,1714,1114.17,33.997
177,1714,1714,1117.64,34.237
178,1714,1714,1094.95,34.366
179,1714,1714,1098.72,34.571
180,1714,1714,1121.05,34.784
181,1714,1714,1159.14,34.907
182,1714,1714,1153.01,35.036
183,1714,1714,1169.54,35.191
184,1714,1714,1174.27,35.364
185,1714,1714,1161.13,35.563
186,1714,1714,1149.76,35.725
187,1714,1714,1146.22,35.873
188,1714,1714,1108.67,36.028
189,1714,1714,1111.09,36.234
190,1714,1714,1143.17,36.296
191,1714,1714,1170.79,36.483
192,1714,1714,1135.61,36.676
193,1714,1714,1169.9,36.875
194,1714,1714,1181.57,36.988
195,1714,1714,1232.46,37.13
196,1714,1714,1238.32,37.243
197,1714,1714,1202.96,37.442
198,1714,1714,1184.16,37.565
199,1714,1714,1236.28,37.647
200,1714,1714,1256.72,37.758
201,1714,1714,1183.49,37.984
202,1714,1714,1089.8,38.046
203,1714,1714,1076.84,38.159
204,1714,1714,1159.01,38.276
205,1714,1714,1149.89,38.428
206,1714,1714,1147.56,38.534
207,1714,1714,1142.55,38.626
208,1714,1714,1128.71,38.806
209,1714,1714,1236.47,38.891
210,1714,1714,1221.08,38.992
211,1714,1714,1198.23,39.193
212,1714,1714,1208.1,39.3
213,1714,1714,1132.88,39.391
214,1714,1714,1143.48,39.547
215,1714,1714,1141.51,39.65
216,1714,1714,1184.64,39.757
217,1714,1714,1200.1,40.047
218,1714,1714,1162.25,40.187
219,1714,1714,1232.96,40.309
220,1714,1714,1192.25,40.487
221,1714,1714,1160.99,40.668
222,1714,1714,1197.55,40.754
223,1714,1714,1217.39,40.937
224,1714,1714,1208.8,41.175
225,1714,1714,1191.7,41.248
226,1714,1714,1186.45,41.371
227,1714,1714,1141.8,41.531
228,1714,1714,1159.57,41.691
229,1714,1714,1182.26,41.923
230,1714,1714,1208.34,42.071
231,1714,1714,1185.55,42.222
232,1714,1714,1215.39,42.306
233,1714,1714,1220.97,42.415
234,1714,1714,1261.8,42.66
235,1714,1714,1199.61,42.788
236,1714,1714,1244.5,42.931
237,1714,1714,1195.0,43.029
238,1714,1714,1202.66,43.192
239,1714,1714,1223.67,43.33
240,1714,1714,1212.18,43.508
241,1714,1714,1263.17,43.615
242,1714,1714,1210.88,43.749
243,1715,1715,1161.22,43.846
244,1715,1715,1134.28,43.922
245,1715,1715,1107.53,44.113
246,1715,1715,1142.54,44.24
247,1715,1715,1199.39,44.434
248,1715,1715,1154.14,44.568
249,1715,1715,1191.12,44.666
250,1715,1715,1215.85,44.938
251,1715,1715,1172.68,44.984
252,1715,1715,1223.24,45.207
253,1715,1715,1219.07,45.368
254,1715,1715,1227.36,45.501
255,1715,1715,1242.98,45.577
256,1715,1715,1238.73,45.748
257,1715,1715,1221.96,45.948
258,1715,1715,1253.42,46.233
259,1715,1715,1204.12,46.392
260,1715,1715,1216.69,46.55
261,1715,1715,1229.96,46.755
262,1715,1715,1150.81,46.896
