gen,best_so_far,gen_best,gen_avg,elapsed_s
0,1714,1714,1473.56,8.835
1,1714,1714,1283.57,8.953
2,1714,1714,1253.08,9.034
3,1714,1714,1261.47,9.189
4,1714,1714,1201.17,9.34
5,1714,1714,1175.44,9.391
6,1714,1714,1186.28,9.507
7,1714,1714,1160.57,9.618
8,1714,1714,1182.2,9.678
9,1714,1714,1121.51,9.786
10,1714,1714,1187.09,9.885
11,1714,1714,1222.3,10.018
12,1714,1714,1219.22,10.082
13,1714,1714,1216.55,10.171
14,1714,1714,1203.4,10.261
15,1714,1714,1198.97,10.425
16,1714,1714,1213.66,10.605
17,1714,1714,1231.8,10.68
18,1714,1714,1261.58,10.739
19,1714,1714,1341.88,10.872
20,1714,1714,1288.73,10.977
21,1714,1714,1224.48,11.015
22,1714,1714,1159.39,11.098
23,1714,1714,1188.22,11.201
24,1714,1714,1221.24,11.438
25,1714,1714,1218.05,11.556
26,1714,1714,1265.31,11.7
27,1714,1714,1194.84,11.785
28,1714,1714,1187.6,11.855
29,1714,1714,1101.82,11.935
30,1714,1714,1132.57,12.06
31,1714,1714,1135.73,12.22
32,1714,1714,1177.73,12.372
33,1714,1714,1190.32,12.469
34,1714,1714,1211.69,12.691
35,1714,1714,1207.8,12.805
36,1714,1714,1167.72,12.893
37,1714,1714,1151.93,13.033
38,1714,1714,1191.37,13.181
39,1714,1714,1260.21,13.367
40,1714,1714,1241.75,13.426
41,1714,1714,1217.07,13.537
42,1714,1714,1205.17,13.617
43,1714,1714,1191.83,13.663
44,1714,1714,1204.43,13.8
45,1714,1714,1157.32,13.874
46,1714,1714,1137.65,14.015
47,1714,1714,1204.1,14.216
48,1714,1714,1235.98,14.739
49,1714,1714,1122.57,15.272
50,1714,1714,1223.34,15.703
51,1714,1714,1194.63,16.184
52,1714,1714,1219.09,17.262
53,1714,1714,1206.0,17.732
54,1714,1714,1199.93,18.444
55,1714,1714,1225.81,19.166
56,1714,1714,1213.14,19.601
57,1714,1714,1217.04,19.91
58,1714,1714,1201.47,20.347
59,1714,1714,1197.41,20.643
60,1714,1714,1185.97,21.127
61,1714,1714,1150.1,21.56
62,1714,1714,1156.24,22.44
63,1714,1714,1127.47,23.366
64,1714,1714,1117.4,23.727
65,1714,1714,1083.72,24.472
66,1714,1714,1120.41,25.094
67,1714,1714,1157.46,25.391
68,1714,1714,1088.47,25.69
69,1714,1714,1110.88,25.976
70,1714,1714,1137.8,26.738
71,1714,1714,1205.36,27.031
72,1714,1714,1159.05,27.472
73,1714,1714,1144.16,28.06
74,1714,1714,1156.7,28.786
75,1714,1714,1166.64,29.309
76,1714,1714,1120.76,30.228
77,1714,1714,1186.26,30.686
78,1714,1714,1173.68,31.41
79,1714,1714,1233.68,32.062
80,1714,1714,1199.35,32.621
81,1714,1714,1169.96,33.084
82,1714,1714,1172.73,33.683
83,1714,1714,1176.59,34.13
84,1714,1714,1140.99,34.946
85,1714,1714,1133.98,35.276
86,1714,1714,1170.91,36.063
87,1714,1714,1110.21,36.691
88,1714,1714,1130.39,37.545
89,1714,1714,1155.44,38.034
90,1714,1714,1174.44,38.475
91,1714,1714,1203.44,38.949
92,1714,1714,1187.88,39.1
93,1714,1714,1174.28,39.672
94,1714,1714,1199.55,40.106
95,1714,1714,1141.31,40.941
96,1714,1714,1077.31,41.408
97,1714,1714,1172.29,42.05
98,1714,1714,1161.04,42.752
99,1714,1714,1173.6,43.381
100,1714,1714,1176.26,44.021
