gen,best_so_far,gen_best,gen_avg,elapsed_s
0,1714,1714,1473.56,18.978
1,1714,1714,1273.09,19.435
2,1714,1714,1274.63,20.47
3,1714,1714,1346.84,21.258
4,1714,1714,1403.34,21.564
5,1715,1715,1423.22,22.154
6,1715,1715,1515.31,23.131
7,1715,1715,1510.58,23.785
8,1716,1716,1534.83,24.628
9,1721,1721,1593.2,25.719
10,1721,1721,1614.62,26.507
11,1721,1721,1645.76,26.809
12,1721,1721,1622.7,27.809
13,1721,1721,1644.46,28.986
14,1721,1721,1689.89,29.46
15,1721,1721,1644.06,30.108
16,1721,1721,1624.81,31.024
17,1721,1721,1669.85,31.467
18,1721,1721,1665.94,31.91
19,1721,1721,1676.95,32.372
20,1721,1721,1657.7,33.488
21,1721,1721,1687.4,33.796
22,1721,1721,1683.5,34.506
23,1721,1721,1649.16,35.343
24,1721,1721,1605.62,36.15
25,1721,1721,1697.99,36.801
26,1721,1721,1680.33,37.559
27,1721,1721,1689.04,37.913
28,1721,1721,1679.05,38.394
29,1721,1721,1667.91,38.884
30,1721,1721,1625.53,39.664
31,1721,1721,1679.5,40.166
32,1721,1721,1659.34,40.93
33,1721,1721,1676.24,41.549
34,1721,1721,1672.67,42.333
35,1721,1721,1664.37,42.805
36,1721,1721,1649.53,43.449
37,1721,1721,1646.23,44.399
38,1721,1721,1671.34,45.06
39,1721,1721,1680.86,45.522
40,1721,1721,1676.31,46.181
41,1721,1721,1655.12,47.226
42,1721,1721,1659.29,48.776
43,1721,1721,1675.94,49.25
44,1721,1721,1706.63,49.43
45,1721,1721,1693.5,49.901
46,1721,1721,1668.41,50.52
47,1721,1721,1702.69,50.953
48,1721,1721,1676.14,51.589
49,1721,1721,1684.72,51.913
50,1721,1721,1636.9,52.733
51,1721,1721,1671.65,53.292
52,1721,1721,1668.42,54.268
53,1721,1721,1665.95,54.94
54,1721,1721,1692.42,55.404
55,1721,1721,1708.11,56.039
56,1721,1721,1660.73,57.143
57,1721,1721,1651.79,57.755
58,1721,1721,1660.67,58.673
59,1721,1721,1651.11,59.097
60,1721,1721,1642.44,59.259
61,1721,1721,1641.88,59.387
62,1721,1721,1659.2,59.575
63,1721,1721,1669.67,59.656
64,1721,1721,1641.78,59.824
65,1721,1721,1698.25,59.896
66,1721,1721,1678.84,60.024
67,1721,1721,1629.13,60.239
68,1721,1721,1620.41,60.435
69,1721,1721,1649.8,60.531
70,1721,1721,1669.88,60.662
71,1721,1721,1646.94,60.813
72,1721,1721,1675.65,60.936
73,1721,1721,1672.63,61.057
74,1721,1721,1677.53,61.142
75,1721,1721,1657.15,61.308
76,1721,1721,1643.34,61.511
77,1721,1721,1651.49,61.667
78,1721,1721,1650.83,61.799
79,1721,1721,1695.81,61.9
80,1721,1721,1650.37,62.037
81,1721,1721,1690.01,62.155
82,1721,1721,1680.07,62.263
83,1721,1721,1677.7,62.362
84,1721,1721,1607.97,62.545
85,1721,1721,1676.6,62.687
86,1721,1721,1669.18,62.82
87,1721,1721,1665.16,62.914
88,1721,1721,1664.76,63.105
89,1721,1721,1661.9,63.27
90,1721,1721,1657.61,63.394
91,1721,1721,1639.23,63.568
92,1721,1721,1622.69,63.766
93,1721,1721,1673.79,63.848
94,1721,1721,1638.12,64.006
95,1721,1721,1660.18,64.106
96,1721,1721,1682.9,64.243
97,1721,1721,1618.2,64.388
98,1721,1721,1651.44,64.527
99,1721,1721,1661.65,64.623
100,1721,1721,1667.19,64.786
101,1721,1721,1689.39,64.92
102,1721,1721,1652.49,65.056
103,1721,1721,1663.48,65.191
104,1721,1721,1663.28,65.293
105,1721,1721,1677.26,65.451
106,1721,1721,1699.84,65.54
107,1721,1721,1678.11,65.629
108,1721,1721,1660.04,65.728
109,1721,1721,1678.68,65.835
110,1721,1721,1675.34,65.937
111,1721,1721,1654.09,66.074
112,1721,1721,1648.14,66.197
113,1721,1721,1670.5,66.327
114,1721,1721,1665.98,66.44
115,1721,1721,1660.23,66.562
116,1721,1721,1661.46,66.691
117,1721,1721,1661.43,66.79
118,1721,1721,1663.95,66.895
119,1721,1721,1690.59,67.011
120,1721,1721,1698.56,67.068
121,1721,1721,1675.22,67.161
122,1721,1721,1681.11,67.248
123,1721,1721,1658.69,67.38
124,1721,1721,1676.4,67.454
125,1721,1721,1654.87,67.614
126,1721,1721,1665.83,67.7
127,1721,1721,1683.57,67.861
128,1721,1721,1682.84,67.981
129,1721,1721,1691.72,68.084
130,1721,1721,1679.99,68.162
131,1721,1721,1661.39,68.287
132,1721,1721,1638.1,68.439
133,1721,1721,1670.39,68.519
134,1721,1721,1656.56,68.674
135,1721,1721,1686.97,68.761
136,1721,1721,1648.91,68.972
137,1721,1721,1642.54,69.191
138,1721,1721,1678.31,69.246
139,1721,1721,1659.0,69.364
140,1721,1721,1661.2,69.487
141,1721,1721,1666.26,69.606
142,1721,1721,1661.42,69.722
143,1721,1721,1664.93,69.843
144,1721,1721,1641.14,69.999
145,1721,1721,1679.36,70.121
146,1721,1721,1657.03,70.253
147,1721,1721,1687.73,70.365
148,1721,1721,1671.19,70.424
149,1721,1721,1617.04,70.587
150,1721,1721,1656.76,70.689
