gen,best_so_far,gen_best,gen_avg,elapsed_s
0,380,380,380.0,0.465
1,380,380,337.9,0.742
2,380,380,316.5,0.749
3,380,380,328.8,0.752
4,380,380,323.9,0.756
5,380,380,314.2,0.765
6,380,380,316.5,0.775
7,380,380,334.8,0.939
8,380,380,318.7,0.94
9,380,380,333.8,0.944
10,380,380,343.0,0.951
11,380,380,344.4,0.955
12,380,380,328.5,0.959
13,380,380,326.0,0.963
14,380,380,328.0,1.139
15,380,380,347.7,1.145
16,380,380,320.5,1.149
17,380,380,306.6,1.152
18,380,380,327.4,1.161
19,380,380,316.5,1.184
20,380,380,335.3,1.226
21,380,380,331.0,1.424
22,380,380,329.7,1.425
23,380,380,329.1,1.436
24,380,380,322.9,1.472
25,380,380,310.0,1.49
26,380,380,296.7,1.658
27,380,380,288.5,1.668
28,380,380,301.9,1.672
29,380,380,315.4,1.678
30,380,380,336.4,1.682
31,380,380,322.7,1.684
32,380,380,330.6,1.725
33,380,380,331.0,1.904
34,380,380,332.8,1.907
35,380,380,308.1,1.909
36,380,380,331.5,1.912
37,380,380,327.6,1.918
38,380,380,335.9,1.924
39,380,380,321.8,1.927
40,380,380,324.1,1.936
41,380,380,330.8,1.938
42,380,380,314.6,1.974
43,380,380,329.8,2.174
44,380,380,331.2,2.179
45,380,380,317.6,2.209
46,380,380,325.5,2.216
47,380,380,309.5,2.224
48,380,380,308.8,2.228
49,380,380,326.9,2.407
50,380,380,329.5,2.417
51,380,380,325.5,2.422
52,380,380,310.3,2.429
53,380,380,320.0,2.438
54,380,380,335.0,2.44
55,380,380,337.5,2.617
56,380,380,327.4,2.628
57,380,380,312.1,2.637
58,380,380,342.3,2.641
59,380,380,339.1,2.647
60,380,380,326.4,2.812
61,380,380,309.3,2.816
62,380,380,339.6,2.822
63,380,380,336.8,2.829
64,380,380,319.1,2.833
65,380,380,335.7,2.836
66,380,380,326.2,2.838
67,380,380,326.8,2.839
68,380,380,334.2,2.997
69,380,380,315.3,3.002
70,380,380,325.6,3.011
71,380,380,320.9,3.026
72,380,380,312.3,3.028
73,380,380,334.7,3.032
74,380,380,319.8,3.036
75,380,380,324.3,3.2
76,380,380,331.4,3.202
77,380,380,337.2,3.204
78,380,380,327.0,3.212
79,380,380,313.9,3.219
80,380,380,316.6,3.221
81,380,380,301.8,3.223
82,380,380,313.0,3.395
83,380,380,332.8,3.396
84,380,380,330.6,3.405
85,380,380,335.4,3.407
86,380,380,320.4,3.409
87,380,380,334.3,3.412
88,380,380,320.4,3.414
89,380,380,326.2,3.422
90,380,380,343.7,3.599
91,380,380,335.0,3.605
92,380,380,349.4,3.611
93,380,380,342.3,3.618
94,380,380,326.6,3.624
95,380,380,318.3,3.625
96,380,380,332.3,3.632
97,380,380,318.7,3.813
98,380,380,336.8,3.819
99,380,380,318.3,3.823
100,380,380,309.5,3.829
