gen,best_so_far,gen_best,gen_avg,elapsed_s
0,380,380,380.0,0.287
1,380,380,342.0,0.324
2,380,380,319.8,0.338
3,380,380,323.0,0.355
4,380,380,338.8,0.377
5,380,380,337.55,0.39
6,380,380,325.05,0.406
7,380,380,330.05,0.426
8,380,380,324.45,0.438
9,380,380,327.0,0.463
10,380,380,327.25,0.496
11,380,380,318.6,0.518
12,380,380,304.45,0.532
13,380,380,308.05,0.549
14,380,380,311.6,0.564
15,380,380,334.6,0.585
16,380,380,333.9,0.603
17,380,380,312.65,0.615
18,380,380,315.2,0.625
19,380,380,323.2,0.641
20,380,380,327.5,0.671
21,380,380,332.0,0.688
22,380,380,320.8,0.708
23,380,380,315.5,0.722
24,380,380,318.35,0.737
25,380,380,319.35,0.752
26,380,380,329.05,0.767
27,380,380,317.65,0.791
28,380,380,329.25,0.811
29,380,380,313.85,0.83
30,380,380,333.8,0.861
31,380,380,327.25,0.889
32,380,380,331.55,0.893
33,380,380,322.05,0.916
34,380,380,322.55,0.938
35,380,380,323.55,0.948
36,380,380,328.3,0.983
37,380,380,330.85,0.994
38,380,380,308.15,1.009
39,380,380,309.55,1.03
40,380,380,327.2,1.044
41,380,380,321.65,1.053
42,380,380,320.95,1.059
43,380,380,326.5,1.078
44,380,380,331.85,1.097
45,380,380,322.8,1.119
46,380,380,336.65,1.137
47,380,380,324.6,1.161
48,380,380,319.4,1.181
49,380,380,332.7,1.197
50,380,380,313.9,1.217
51,380,380,339.3,1.24
52,380,380,339.2,1.256
53,380,380,320.55,1.276
54,380,380,338.55,1.295
55,380,380,318.1,1.315
56,380,380,303.05,1.33
57,380,380,314.25,1.346
58,380,380,311.3,1.367
59,380,380,317.75,1.391
60,380,380,314.95,1.409
61,380,380,338.05,1.432
62,380,380,324.45,1.45
63,380,380,325.65,1.471
64,380,380,329.85,1.483
65,380,380,317.05,1.495
66,380,380,323.6,1.505
67,380,380,306.15,1.52
68,380,380,323.45,1.535
69,380,380,308.75,1.552
70,380,380,316.0,1.566
71,380,380,334.75,1.587
72,380,380,326.65,1.609
73,380,380,322.5,1.643
74,380,380,339.65,1.669
75,380,380,336.8,1.684
76,380,380,324.25,1.714
