gen,best_so_far,gen_best,gen_avg,elapsed_s
0,380,380,380.0,0.186
1,380,380,342.0,0.207
2,380,380,319.8,0.214
3,380,380,323.0,0.225
4,380,380,338.8,0.241
5,380,380,337.55,0.251
6,380,380,325.05,0.263
7,380,380,330.05,0.276
8,380,380,324.45,0.286
9,380,380,327.0,0.301
10,380,380,327.25,0.313
11,380,380,318.6,0.324
12,380,380,304.45,0.334
13,380,380,308.05,0.345
14,380,380,311.6,0.356
15,380,380,334.6,0.372
16,380,380,333.9,0.382
17,380,380,312.65,0.39
18,380,380,315.2,0.398
19,380,380,323.2,0.409
20,380,380,327.5,0.426
21,380,380,332.0,0.435
22,380,380,320.8,0.448
23,380,380,315.5,0.456
24,380,380,318.35,0.467
25,380,380,319.35,0.478
26,380,380,329.05,0.488
27,380,380,317.65,0.503
28,380,380,329.25,0.516
29,380,380,313.85,0.529
30,380,380,333.8,0.55
31,380,380,327.25,0.569
32,380,380,331.55,0.572
33,380,380,322.05,0.587
34,380,380,322.55,0.599
35,380,380,323.55,0.606
36,380,380,328.3,0.631
37,380,380,330.85,0.639
38,380,380,308.15,0.649
39,380,380,309.55,0.664
40,380,380,327.2,0.672
41,380,380,321.65,0.679
42,380,380,320.95,0.683
43,380,380,326.5,0.694
44,380,380,331.85,0.708
45,380,380,322.8,0.723
46,380,380,336.65,0.735
47,380,380,324.6,0.753
48,380,380,319.4,0.766
49,380,380,332.7,0.779
50,380,380,313.9,0.793
51,380,380,339.3,0.809
52,380,380,339.2,0.82
53,380,380,320.55,0.836
54,380,380,338.55,0.849
55,380,380,318.1,0.864
56,380,380,303.05,0.873
57,380,380,314.25,0.884
58,380,380,311.3,0.904
59,380,380,317.75,0.92
60,380,380,314.95,0.931
61,380,380,338.05,0.945
62,380,380,324.45,0.956
63,380,380,325.65,0.971
64,380,380,329.85,0.979
65,380,380,317.05,0.988
66,380,380,323.6,0.994
67,380,380,306.15,1.006
68,380,380,323.45,1.017
69,380,380,308.75,1.027
70,380,380,316.0,1.033
71,380,380,334.75,1.044
72,380,380,326.65,1.055
73,380,380,322.5,1.072
74,380,380,339.65,1.084
75,380,380,336.8,1.092
76,380,380,324.25,1.108
77,380,380,329.7,1.119
78,380,380,318.2,1.127
79,380,380,333.6,1.14
80,380,380,334.5,1.15
81,380,380,323.95,1.159
82,380,380,334.35,1.172
83,380,380,335.15,1.184
84,380,380,327.55,1.195
85,380,380,321.25,1.219
86,380,380,320.75,1.237
87,380,380,339.75,1.252
88,380,380,350.95,1.267
89,380,380,321.65,1.278
90,380,380,326.2,1.284
91,380,380,319.55,1.292
92,380,380,308.7,1.301
93,380,380,329.6,1.318
94,380,380,322.3,1.332
95,380,380,328.45,1.344
96,380,380,335.4,1.353
97,380,380,318.75,1.364
98,380,380,321.25,1.373
99,380,380,324.35,1.387
100,380,380,317.0,1.404
