gen,best_so_far,gen_best,gen_avg,elapsed_s
0,380,380,380.0,0.189
1,380,380,369.7,0.21
2,380,380,362.75,0.219
3,380,380,371.85,0.227
4,380,380,370.4,0.235
5,380,380,368.05,0.254
6,380,380,366.8,0.269
7,380,380,374.1,0.279
8,380,380,372.25,0.288
9,380,380,365.3,0.303
10,380,380,366.75,0.316
11,380,380,375.35,0.328
12,380,380,371.1,0.341
13,380,380,372.2,0.353
14,380,380,369.45,0.363
15,380,380,371.75,0.372
16,380,380,369.95,0.386
17,380,380,375.45,0.397
18,380,380,372.5,0.407
19,380,380,370.35,0.421
20,380,380,360.6,0.435
21,380,380,372.45,0.451
22,380,380,367.1,0.47
23,380,380,370.9,0.488
24,380,380,365.95,0.515
25,380,380,373.55,0.527
26,380,380,370.5,0.537
27,380,380,366.65,0.547
28,380,380,370.3,0.554
29,380,380,370.7,0.566
30,380,380,373.35,0.576
31,380,380,370.35,0.591
32,380,380,370.4,0.598
33,380,380,368.4,0.604
34,380,380,364.7,0.611
35,380,380,365.9,0.628
36,380,380,370.3,0.65
37,380,380,379.3,0.664
38,380,380,372.4,0.672
39,380,380,370.85,0.688
40,380,380,368.9,0.701
41,380,380,362.6,0.708
42,380,380,365.0,0.723
43,380,380,369.15,0.741
44,380,380,370.8,0.749
45,380,380,373.1,0.757
46,380,380,364.6,0.766
47,380,380,376.2,0.779
48,380,380,369.2,0.788
49,380,380,362.6,0.802
50,380,380,367.05,0.816
51,380,380,368.55,0.828
52,380,380,367.8,0.843
53,380,380,365.05,0.851
54,380,380,373.3,0.862
55,380,380,372.3,0.879
56,380,380,373.75,0.889
57,380,380,372.75,0.902
58,380,380,375.0,0.913
59,380,380,370.8,0.928
60,380,380,372.7,0.942
61,380,380,371.6,0.949
62,380,380,371.9,0.964
63,380,380,369.5,0.971
64,380,380,367.95,0.985
65,380,380,374.15,0.999
66,380,380,374.25,1.013
67,380,380,372.05,1.029
68,380,380,370.5,1.035
69,380,380,373.65,1.043
70,380,380,374.25,1.051
71,380,380,370.85,1.06
72,380,380,364.25,1.068
73,380,380,369.95,1.078
74,380,380,369.75,1.091
75,380,380,375.5,1.103
76,380,380,372.2,1.123
77,380,380,371.25,1.138
78,380,380,374.75,1.15
79,380,380,372.3,1.16
80,380,380,369.15,1.174
81,380,380,371.05,1.184
82,380,380,373.65,1.198
83,380,380,371.1,1.212
84,380,380,370.55,1.222
85,380,380,376.3,1.236
86,380,380,372.25,1.245
87,380,380,364.6,1.255
88,380,380,374.15,1.266
89,380,380,372.25,1.273
90,380,380,364.8,1.282
91,380,380,366.6,1.295
92,380,380,367.35,1.302
93,380,380,366.65,1.312
94,380,380,369.9,1.318
95,380,380,373.65,1.33
96,380,380,365.9,1.356
97,380,380,373.75,1.364
98,380,380,375.4,1.38
99,380,380,366.55,1.387
100,380,380,374.0,1.396
101,380,380,375.7,1.411
102,380,380,374.2,1.421
103,380,380,376.8,1.438
104,380,380,371.65,1.445
105,380,380,367.85,1.455
106,380,380,373.85,1.469
107,380,380,369.65,1.483
108,380,380,368.9,1.495
109,380,380,371.15,1.512
110,380,380,363.15,1.522
111,380,380,366.65,1.537
112,380,380,368.95,1.55
113,380,380,367.2,1.558
114,380,380,361.65,1.565
115,380,380,367.8,1.576
116,380,380,373.0,1.593
117,380,380,371.05,1.603
118,380,380,370.3,1.611
119,380,380,370.3,1.628
120,380,380,370.9,1.641
121,380,380,370.75,1.651
122,380,380,367.45,1.665
123,380,380,369.2,1.685
124,380,380,369.2,1.696
125,380,380,371.15,1.707
126,380,380,369.35,1.721
127,380,380,375.5,1.73
128,380,380,369.0,1.741
129,380,380,367.85,1.747
130,380,380,362.9,1.764
131,380,380,362.05,1.777
132,380,380,358.15,1.791
133,380,380,372.2,1.807
134,380,380,373.65,1.818
135,380,380,377.1,1.84
136,380,380,368.65,1.854
137,380,380,370.7,1.866
138,380,380,373.05,1.876
139,380,380,371.65,1.885
140,380,380,369.3,1.901
141,380,380,367.95,1.911
142,380,380,363.55,1.928
143,380,380,369.6,1.938
144,380,380,370.35,1.955
145,380,380,371.8,1.964
146,380,380,371.95,1.978
147,380,380,372.9,1.996
148,380,380,364.7,2.007
149,380,380,369.7,2.026
150,380,380,370.55,2.039
