gen,best_so_far,gen_best,gen_avg,elapsed_s
0,2602,2602,2180.02,25.272
1,2635,2635,2027.96,25.452
2,2635,2635,2168.36,25.6
3,2683,2683,2207.2,25.807
4,2683,2683,2241.36,26.187
5,2737,2737,2348.16,26.584
6,2835,2835,2413.52,26.861
7,2835,2835,2458.06,26.953
8,2835,2835,2437.28,26.969
9,2835,2835,2446.62,27.116
10,2835,2835,2438.58,27.493
11,2835,2835,2437.22,28.021
12,3007,3007,2459.88,28.468
13,3007,3007,2484.34,28.678
14,3007,3007,2514.42,29.338
15,3007,3007,2485.48,29.515
16,3007,3007,2545.28,29.753
17,3007,3007,2507.88,29.838
18,3007,3007,2539.0,30.117
19,3007,3007,2630.22,30.382
20,3007,3007,2608.98,30.737
21,3007,3007,2579.88,31.011
22,3053,3053,2725.92,31.119
23,3053,3053,2725.78,31.793
24,3053,3053,2680.84,32.077
25,3053,3053,2636.8,32.436
26,3053,3053,2580.16,32.453
27,3053,3053,2619.08,32.703
28,3053,3053,2567.04,33.068
29,3053,3053,2623.36,33.196
30,3053,3053,2650.56,33.405
31,3053,3053,2609.7,33.51
32,3053,3053,2673.06,33.607
33,3053,3053,2667.54,33.882
34,3053,3053,2637.54,34.293
35,3053,3053,2637.9,34.309
36,3053,3053,2622.38,34.458
37,3053,3053,2650.72,34.74
38,3053,3053,2687.8,34.755
39,3053,3053,2655.7,34.772
40,3053,3053,2651.98,34.985
41,3053,3053,2598.32,35.267
42,3053,3053,2621.38,35.578
43,3053,3053,2604.38,36.015
44,3053,3053,2629.82,36.331
45,3053,3053,2621.92,36.584
46,3053,3053,2585.54,36.96
47,3053,3053,2596.38,37.478
48,3053,3053,2598.26,37.713
49,3053,3053,2630.44,38.093
50,3053,3053,2622.54,38.419
51,3053,3053,2527.46,38.498
52,3053,3053,2589.58,38.718
53,3053,3053,2604.96,38.887
54,3053,3053,2623.06,39.272
55,3053,3053,2647.34,39.369
56,3053,3053,2611.08,39.45
57,3053,3053,2576.48,39.594
58,3053,3053,2580.14,39.766
59,3053,3053,2556.54,39.847
60,3053,3053,2561.5,40.339
61,3053,3053,2568.78,40.621
62,3053,3053,2516.38,41.102
63,3053,3053,2598.42,41.713
64,3053,3053,2591.42,42.256
65,3053,3053,2646.02,42.607
66,3053,3053,2632.84,42.882
67,3053,3053,2628.96,43.367
68,3053,3053,2646.76,43.381
69,3053,3053,2610.2,43.604
70,3053,3053,2570.12,43.954
71,3053,3053,2587.04,44.571
72,3053,3053,2614.98,44.683
73,3053,3053,2657.26,44.86
74,3053,3053,2703.14,45.138
75,3053,3053,2655.84,45.235
76,3053,3053,2704.1,45.5
77,3053,3053,2675.02,45.515
78,3053,3053,2600.88,45.917
79,3053,3053,2662.74,46.34
80,3053,3053,2641.64,46.79
81,3053,3053,2599.66,47.209
82,3053,3053,2600.9,47.434
83,3053,3053,2611.1,47.506
84,3053,3053,2668.52,47.52
85,3053,3053,2659.66,47.712
86,3053,3053,2684.92,47.856
87,3053,3053,2667.44,48.175
88,3053,3053,2663.22,48.189
89,3053,3053,2658.08,48.233
90,3053,3053,2573.6,48.246
91,3053,3053,2527.46,48.316
92,3053,3053,2611.1,48.845
93,3053,3053,2530.66,49.108
94,3053,3053,2567.94,49.547
95,3053,3053,2537.6,49.786
96,3053,3053,2580.8,49.832
97,3053,3053,2538.32,50.248
98,3053,3053,2564.9,50.919
99,3053,3053,2570.4,50.933
100,3053,3053,2586.5,51.56
101,3053,3053,2608.88,51.889
102,3053,3053,2644.24,52.284
103,3053,3053,2602.44,52.375
104,3053,3053,2639.58,52.672
105,3053,3053,2594.66,52.751
106,3053,3053,2574.9,53.137
107,3053,3053,2572.86,53.499
108,3053,3053,2620.44,54.039
109,3053,3053,2629.44,54.153
110,3053,3053,2650.98,54.234
111,3053,3053,2659.38,54.592
112,3053,3053,2611.38,54.926
113,3053,3053,2623.52,55.195
114,3053,3053,2632.22,55.297
115,3053,3053,2680.3,55.392
116,3053,3053,2668.64,55.513
117,3053,3053,2647.78,55.691
118,3053,3053,2590.72,56.004
119,3053,3053,2586.3,56.228
120,3053,3053,2620.66,56.364
121,3053,3053,2532.36,56.615
122,3053,3053,2571.08,56.813
123,3053,3053,2625.36,57.2
124,3053,3053,2618.66,57.293
125,3053,3053,2609.48,57.536
126,3053,3053,2627.72,57.829
127,3053,3053,2610.94,58.008
128,3053,3053,2569.3,58.119
129,3053,3053,2584.08,58.149
130,3053,3053,2666.2,58.27
131,3053,3053,2632.68,58.352
132,3053,3053,2630.26,58.598
133,3053,3053,2629.78,58.753
134,3053,3053,2615.98,58.943
135,3053,3053,2615.54,59.203
