gen,best_so_far,gen_best,gen_avg,elapsed_s
0,2633,2633,2216.87,67.292
1,2633,2633,2042.38,71.668
2,2708,2708,2051.91,73.546
3,2708,2708,2080.8,77.054
4,2708,2708,2131.22,77.615
5,2708,2708,2150.8,78.436
6,2749,2749,2212.6,79.343
7,2749,2749,2223.96,79.779
8,2758,2758,2248.18,80.153
9,2762,2762,2286.81,80.894
10,2762,2762,2326.54,84.031
11,2775,2775,2375.37,86.479
12,2775,2775,2410.51,86.932
13,2775,2775,2465.6,87.353
14,2776,2776,2433.5,88.138
15,2776,2776,2450.48,88.88
16,2776,2776,2445.11,89.617
17,2776,2776,2440.75,90.265
18,2776,2776,2423.03,90.378
19,2776,2776,2377.69,91.306
20,2776,2776,2369.31,91.726
21,2839,2839,2367.62,92.083
22,2839,2839,2349.79,92.874
23,2839,2839,2352.42,93.278
24,2839,2839,2309.13,94.037
25,2839,2839,2320.14,94.601
26,2839,2839,2340.29,95.313
27,2839,2839,2377.52,95.732
28,2839,2839,2346.45,95.982
29,2839,2839,2348.44,96.78
30,2839,2839,2320.05,97.332
31,2839,2839,2356.33,97.997
32,2858,2858,2399.8,98.38
33,2858,2858,2348.31,99.171
34,2858,2858,2340.46,99.967
35,2858,2858,2366.59,100.284
36,2858,2858,2408.23,100.614
37,2858,2858,2378.72,101.16
38,2858,2858,2375.58,101.721
39,2858,2858,2324.84,102.329
40,2858,2858,2324.24,102.778
41,2858,2858,2337.92,103.341
42,2858,2858,2337.61,103.631
43,2858,2858,2369.96,103.649
44,2858,2858,2403.23,104.232
45,2858,2858,2446.21,105.043
46,2858,2858,2455.84,106.075
47,2858,2858,2458.51,107.042
48,2858,2858,2448.9,107.658
49,2858,2858,2392.68,108.173
50,2858,2858,2386.73,108.868
51,2858,2858,2312.16,109.809
52,2858,2858,2363.2,110.584
53,2858,2858,2370.73,111.347
54,2858,2858,2399.2,112.125
55,2858,2858,2415.53,112.738
56,2858,2858,2377.43,113.239
57,2858,2858,2405.73,115.036
58,2858,2858,2388.26,116.747
59,2858,2858,2386.29,119.969
60,2858,2858,2448.2,122.912
61,2858,2858,2441.63,125.132
62,2858,2858,2440.84,126.253
63,2858,2858,2400.09,126.815
64,2858,2858,2380.39,127.199
65,2858,2858,2397.42,127.634
66,2858,2858,2403.02,128.174
67,2858,2858,2424.75,128.537
68,2858,2858,2395.93,129.037
69,2858,2858,2413.61,129.449
70,2858,2858,2387.16,129.932
71,2858,2858,2430.93,130.161
72,2858,2858,2402.23,130.714
73,2858,2858,2390.41,131.176
74,2858,2858,2379.8,131.716
75,2858,2858,2400.83,132.251
76,2858,2858,2399.58,133.303
77,2858,2858,2439.87,134.548
78,2858,2858,2362.28,138.028
79,2858,2858,2377.48,141.398
80,2858,2858,2395.62,142.029
81,2858,2858,2412.58,142.378
82,2858,2858,2404.14,142.925
83,2858,2858,2387.86,143.647
84,2858,2858,2389.15,146.674
85,2858,2858,2406.16,148.832
86,2858,2858,2423.0,149.292
87,2858,2858,2450.43,150.511
88,2858,2858,2450.61,157.604
89,2858,2858,2443.66,160.121
90,2858,2858,2451.46,162.326
91,2858,2858,2451.81,164.963
92,2858,2858,2439.1,167.496
93,2858,2858,2437.99,169.292
94,2858,2858,2381.99,173.141
95,2858,2858,2371.77,177.535
96,2858,2858,2401.2,181.025
97,2858,2858,2409.75,182.583
98,2858,2858,2392.92,186.276
99,2858,2858,2393.74,191.364
100,2858,2858,2407.01,194.909
