gen,best_so_far,gen_best,gen_avg,elapsed_s
0,2633,2633,2216.87,25.398
1,2633,2633,1774.96,25.731
2,2633,2633,1771.28,26.778
3,2633,2633,1728.45,27.268
4,2633,2633,1779.64,27.816
5,2633,2633,1804.96,29.139
6,2633,2633,1992.67,29.736
7,2633,2633,2153.37,29.955
8,2641,2641,2335.41,32.107
9,2659,2659,2457.51,32.839
10,2697,2697,2539.56,33.317
11,2704,2704,2535.18,34.118
12,2705,2705,2551.09,34.45
13,2705,2705,2486.74,35.391
14,2742,2742,2534.62,36.489
15,2742,2742,2530.16,37.404
16,2742,2742,2571.52,37.864
17,2750,2750,2635.8,38.196
18,2750,2750,2597.39,39.209
19,2750,2750,2580.08,40.269
20,2750,2750,2641.74,40.949
21,2750,2750,2617.49,41.304
22,2750,2750,2598.11,41.999
23,2750,2750,2669.73,42.594
24,2750,2750,2648.18,43.201
25,2750,2750,2625.9,43.862
26,2750,2750,2612.69,44.423
27,2750,2750,2641.24,44.895
28,2750,2750,2636.54,45.391
29,2750,2750,2643.33,46.204
30,2750,2750,2636.61,46.615
31,2750,2750,2613.56,47.476
32,2750,2750,2659.85,48.084
33,2750,2750,2662.55,48.702
34,2750,2750,2654.39,49.166
35,2750,2750,2643.56,49.695
36,2750,2750,2648.14,50.132
37,2750,2750,2644.26,50.725
38,2750,2750,2638.07,51.126
39,2750,2750,2643.17,51.913
40,2750,2750,2685.67,52.455
41,2750,2750,2655.96,53.053
42,2750,2750,2656.83,54.001
43,2750,2750,2628.21,54.592
44,2750,2750,2686.37,55.038
45,2750,2750,2597.48,55.73
46,2750,2750,2667.2,56.132
47,2750,2750,2648.77,56.795
48,2750,2750,2630.27,57.53
49,2750,2750,2646.08,58.173
50,2750,2750,2671.42,58.91
51,2750,2750,2641.13,59.749
52,2750,2750,2658.51,60.445
53,2750,2750,2655.56,61.292
54,2750,2750,2654.98,61.983
55,2827,2827,2675.19,62.693
56,2827,2827,2681.51,63.047
57,2827,2827,2664.59,63.749
58,2827,2827,2586.87,64.544
59,2827,2827,2595.58,65.423
60,2827,2827,2649.89,66.288
61,2827,2827,2633.36,67.161
62,2827,2827,2634.69,68.108
63,2827,2827,2668.5,68.454
64,2827,2827,2675.16,69.452
65,2827,2827,2729.59,70.16
66,2827,2827,2748.54,71.023
67,2827,2827,2709.89,71.639
68,2827,2827,2763.27,72.467
69,2827,2827,2744.87,73.066
70,2827,2827,2748.98,74.028
71,2827,2827,2690.21,74.867
72,2827,2827,2775.71,75.413
73,2827,2827,2688.7,76.453
74,2827,2827,2712.32,77.266
75,2827,2827,2780.79,77.613
76,2827,2827,2702.66,78.312
77,2827,2827,2759.31,78.794
78,2827,2827,2719.45,79.35
79,2827,2827,2770.18,79.892
80,2827,2827,2739.36,80.373
81,2827,2827,2767.78,80.786
82,2827,2827,2710.5,81.925
83,2827,2827,2774.09,82.574
84,2827,2827,2773.47,83.141
85,2827,2827,2728.41,83.747
86,2827,2827,2701.92,84.469
87,2827,2827,2750.59,84.998
88,2827,2827,2701.83,85.518
89,2827,2827,2719.49,86.552
90,2827,2827,2716.07,87.28
91,2827,2827,2784.53,87.715
92,2827,2827,2708.38,88.663
93,2827,2827,2775.3,89.069
94,2827,2827,2754.98,89.742
95,2827,2827,2765.93,90.184
96,2827,2827,2730.63,90.7
97,2827,2827,2691.36,91.694
98,2827,2827,2722.35,92.359
99,2827,2827,2738.83,92.984
100,2827,2827,2763.58,93.537
101,2827,2827,2656.74,96.796
102,2827,2827,2784.25,97.764
103,2827,2827,2730.85,101.263
104,2827,2827,2752.47,103.18
105,2827,2827,2758.22,103.613
106,2827,2827,2695.37,104.543
107,2827,2827,2747.22,107.275
108,2827,2827,2747.36,111.56
109,2827,2827,2780.66,114.645
110,2827,2827,2743.03,117.395
111,2827,2827,2764.18,118.795
112,2827,2827,2720.0,122.684
113,2827,2827,2758.61,125.022
114,2827,2827,2701.98,129.506
115,2827,2827,2721.17,133.59
116,2827,2827,2686.07,138.507
117,2827,2827,2713.61,139.212
118,2827,2827,2715.74,139.993
119,2827,2827,2793.48,140.512
120,2827,2827,2732.36,141.154
121,2827,2827,2743.99,141.938
122,2827,2827,2689.37,144.518
123,2827,2827,2715.09,145.554
124,2827,2827,2754.92,146.338
125,2827,2827,2746.66,147.026
126,2827,2827,2780.75,147.374
127,2827,2827,2767.48,147.78
128,2827,2827,2728.91,148.493
129,2827,2827,2758.46,149.177
130,2827,2827,2770.18,149.496
131,2827,2827,2693.82,150.348
132,2827,2827,2748.55,150.986
133,2827,2827,2678.05,151.981
134,2827,2827,2803.28,152.154
135,2827,2827,2750.64,153.381
136,2827,2827,2762.49,153.979
137,2827,2827,2728.64,154.756
138,2827,2827,2731.59,155.653
139,2827,2827,2739.54,156.656
140,2827,2827,2739.9,157.446
141,2827,2827,2669.93,158.768
142,2827,2827,2763.6,159.085
143,2827,2827,2722.2,160.363
144,2827,2827,2694.02,161.401
145,2827,2827,2718.25,162.262
146,2827,2827,2717.09,163.425
147,2827,2827,2747.93,164.021
148,2827,2827,2767.49,164.775
149,2827,2827,2710.77,165.837
150,2827,2827,2693.41,166.739
