gen,best_so_far,gen_best,gen_avg,elapsed_s
0,1526,1526,1197.42,2.401
1,1526,1526,1254.34,2.413
2,1536,1536,1296.08,2.547
3,1626,1626,1336.74,2.555
4,1626,1626,1385.0,2.575
5,1677,1677,1430.0,2.716
6,1677,1677,1441.9,2.732
7,1677,1677,1453.58,2.876
8,1735,1735,1487.68,2.89
9,1735,1735,1505.4,3.019
10,1735,1735,1508.6,3.046
11,1735,1735,1536.0,3.202
12,1735,1735,1573.1,3.248
13,1735,1735,1577.36,3.394
14,1735,1735,1575.06,3.416
15,1735,1735,1549.76,3.632
16,1735,1735,1555.0,3.639
17,1735,1735,1560.82,3.652
18,1735,1735,1541.72,3.851
19,1735,1735,1545.82,4.004
20,1735,1735,1545.5,4.023
21,1735,1735,1573.54,4.036
22,1735,1735,1578.2,4.2
23,1735,1735,1617.78,4.341
24,1735,1735,1592.62,4.36
25,1735,1735,1577.72,4.503
26,1735,1735,1550.24,4.523
27,1735,1735,1565.66,4.537
28,1735,1735,1581.72,4.7
29,1735,1735,1572.48,4.735
30,1735,1735,1571.44,4.746
31,1735,1735,1583.16,4.889
32,1735,1735,1565.1,4.902
33,1735,1735,1561.72,5.074
34,1735,1735,1579.72,5.082
35,1735,1735,1583.04,5.099
36,1735,1735,1569.32,5.23
37,1735,1735,1598.2,5.243
38,1735,1735,1588.66,5.257
39,1735,1735,1581.72,5.391
40,1735,1735,1568.02,5.399
41,1735,1735,1551.48,5.555
42,1735,1735,1594.18,5.565
43,1735,1735,1596.5,5.582
44,1735,1735,1596.94,5.706
45,1735,1735,1596.76,5.723
46,1735,1735,1590.64,5.733
47,1735,1735,1586.38,5.863
48,1735,1735,1531.74,6.014
49,1735,1735,1525.74,6.03
50,1735,1735,1535.08,6.187
51,1735,1735,1555.64,6.202
52,1735,1735,1566.74,6.211
53,1735,1735,1537.34,6.384
54,1735,1735,1545.96,6.548
55,1735,1735,1551.14,6.564
56,1735,1735,1558.48,6.578
57,1735,1735,1553.26,6.756
58,1735,1735,1565.22,6.766
59,1735,1735,1555.36,6.906
60,1735,1735,1562.04,6.918
61,1735,1735,1568.82,7.06
62,1735,1735,1551.48,7.088
63,1735,1735,1564.52,7.258
64,1735,1735,1567.2,7.397
65,1735,1735,1583.2,7.404
66,1735,1735,1542.56,7.556
67,1735,1735,1570.78,7.567
68,1735,1735,1561.86,7.716
69,1735,1735,1571.94,7.73
70,1735,1735,1586.22,7.851
71,1735,1735,1593.04,7.865
72,1735,1735,1575.6,7.877
73,1735,1735,1574.62,8.018
74,1735,1735,1621.54,8.031
75,1735,1735,1630.48,8.162
76,1735,1735,1612.66,8.17
77,1735,1735,1593.96,8.318
78,1735,1735,1596.24,8.328
79,1735,1735,1579.82,8.498
80,1735,1735,1591.58,8.507
81,1735,1735,1626.18,8.515
82,1735,1735,1608.32,8.657
83,1735,1735,1594.4,8.67
84,1735,1735,1608.84,8.682
85,1735,1735,1613.46,8.812
86,1735,1735,1603.64,8.825
87,1735,1735,1590.26,8.833
88,1735,1735,1564.94,8.84
89,1735,1735,1552.18,8.97
90,1735,1735,1533.3,8.979
91,1735,1735,1529.3,8.986
92,1735,1735,1538.42,8.997
93,1735,1735,1543.24,9.14
94,1735,1735,1554.58,9.15
95,1735,1735,1525.64,9.316
96,1735,1735,1552.16,9.33
97,1735,1735,1568.58,9.474
98,1735,1735,1596.22,9.481
99,1735,1735,1591.04,9.49
100,1735,1735,1535.68,9.643
