gen,best_so_far,gen_best,gen_avg,elapsed_s
0,1526,1526,1196.57,5.337
1,1526,1526,1250.18,5.504
2,1609,1609,1280.89,5.716
3,1653,1653,1313.2,6.056
4,1653,1653,1343.14,6.289
5,1653,1653,1377.85,6.721
6,1653,1653,1413.27,7.137
7,1675,1675,1449.4,7.378
8,1762,1762,1479.74,7.877
9,1762,1762,1519.45,8.128
10,1762,1762,1573.05,8.369
11,1762,1762,1589.74,8.562
12,1762,1762,1605.07,8.583
13,1762,1762,1570.83,9.002
14,1762,1762,1573.42,9.146
15,1762,1762,1573.79,9.327
16,1762,1762,1579.74,9.567
17,1762,1762,1598.99,9.662
18,1762,1762,1579.69,9.895
19,1762,1762,1574.08,10.144
20,1762,1762,1574.38,10.38
21,1762,1762,1582.07,10.598
22,1762,1762,1571.19,10.971
23,1762,1762,1568.05,11.142
24,1762,1762,1573.44,11.308
25,1762,1762,1573.77,11.468
26,1762,1762,1587.22,11.614
27,1762,1762,1577.71,11.777
28,1762,1762,1582.56,12.135
29,1762,1762,1572.79,12.304
30,1762,1762,1568.06,12.486
31,1762,1762,1554.08,12.657
32,1762,1762,1567.13,12.964
33,1762,1762,1595.64,12.986
34,1762,1762,1591.62,13.303
35,1762,1762,1614.92,13.323
36,1762,1762,1588.55,13.506
37,1762,1762,1596.91,13.783
38,1762,1762,1605.59,13.945
39,1762,1762,1601.58,13.965
40,1762,1762,1597.87,14.13
41,1762,1762,1583.7,14.306
42,1762,1762,1576.57,14.322
43,1762,1762,1585.0,14.486
44,1762,1762,1569.85,14.671
45,1762,1762,1555.0,14.859
46,1762,1762,1579.63,15.006
47,1762,1762,1584.87,15.178
48,1762,1762,1550.56,15.51
49,1762,1762,1587.84,15.688
50,1762,1762,1575.9,15.85
51,1762,1762,1586.7,16.004
52,1762,1762,1592.42,16.174
53,1762,1762,1589.23,16.332
54,1762,1762,1616.88,16.628
55,1762,1762,1617.39,16.661
56,1762,1762,1599.83,16.954
57,1762,1762,1601.2,17.123
58,1762,1762,1582.32,17.28
59,1762,1762,1609.2,17.434
60,1762,1762,1603.12,17.604
61,1762,1762,1605.24,17.772
62,1762,1762,1607.77,17.934
63,1762,1762,1607.58,18.082
64,1762,1762,1579.53,18.273
65,1762,1762,1583.42,18.409
66,1762,1762,1603.15,18.557
67,1762,1762,1567.96,18.872
68,1762,1762,1591.07,18.894
69,1762,1762,1559.86,19.175
70,1762,1762,1574.53,19.202
71,1762,1762,1585.87,19.364
72,1762,1762,1579.48,19.653
73,1762,1762,1549.48,19.826
74,1762,1762,1569.14,20.0
75,1762,1762,1592.48,20.225
76,1762,1762,1598.64,20.374
77,1762,1762,1588.56,20.56
78,1762,1762,1589.0,20.714
79,1762,1762,1580.31,21.038
80,1762,1762,1586.97,21.236
81,1762,1762,1583.85,21.428
82,1762,1762,1589.79,21.457
83,1762,1762,1595.38,21.619
84,1762,1762,1568.52,21.902
85,1762,1762,1600.02,22.097
86,1762,1762,1609.35,22.135
87,1762,1762,1573.8,22.178
88,1762,1762,1595.63,22.216
89,1762,1762,1597.7,22.246
90,1762,1762,1609.52,22.276
91,1762,1762,1606.94,22.307
92,1762,1762,1587.97,22.324
93,1762,1762,1574.64,22.358
94,1762,1762,1580.86,22.391
95,1762,1762,1579.74,22.432
96,1762,1762,1599.68,22.446
97,1762,1762,1593.08,22.477
98,1762,1762,1586.8,22.511
99,1762,1762,1591.22,22.546
100,1762,1762,1591.94,22.573
