gen,best_so_far,gen_best,gen_avg,elapsed_s
0,1526,1526,1196.57,0.864
1,1526,1526,1250.18,0.9
2,1609,1609,1280.89,0.937
3,1653,1653,1313.2,0.975
4,1653,1653,1343.14,1.028
5,1653,1653,1377.85,1.066
6,1653,1653,1413.27,1.117
7,1675,1675,1449.4,1.154
8,1762,1762,1479.74,1.209
9,1762,1762,1519.45,1.251
10,1762,1762,1573.05,1.287
11,1762,1762,1589.74,1.31
12,1762,1762,1605.07,1.329
13,1762,1762,1570.83,1.369
14,1762,1762,1573.42,1.405
15,1762,1762,1573.79,1.438
16,1762,1762,1579.74,1.478
17,1762,1762,1598.99,1.506
18,1762,1762,1579.69,1.542
19,1762,1762,1574.08,1.587
20,1762,1762,1574.38,1.636
21,1762,1762,1582.07,1.681
22,1762,1762,1571.19,1.726
23,1762,1762,1568.05,1.765
24,1762,1762,1573.44,1.807
25,1762,1762,1573.77,1.834
26,1762,1762,1587.22,1.867
27,1762,1762,1577.71,1.91
28,1762,1762,1582.56,1.952
29,1762,1762,1572.79,1.995
30,1762,1762,1568.06,2.034
31,1762,1762,1554.08,2.078
32,1762,1762,1567.13,2.122
33,1762,1762,1595.64,2.145
34,1762,1762,1591.62,2.187
35,1762,1762,1614.92,2.205
36,1762,1762,1588.55,2.249
37,1762,1762,1596.91,2.296
38,1762,1762,1605.59,2.333
39,1762,1762,1601.58,2.356
40,1762,1762,1597.87,2.384
41,1762,1762,1583.7,2.403
42,1762,1762,1576.57,2.423
43,1762,1762,1585.0,2.45
44,1762,1762,1569.85,2.481
45,1762,1762,1555.0,2.523
46,1762,1762,1579.63,2.55
47,1762,1762,1584.87,2.59
48,1762,1762,1550.56,2.65
49,1762,1762,1587.84,2.682
50,1762,1762,1575.9,2.711
51,1762,1762,1586.7,2.746
52,1762,1762,1592.42,2.776
53,1762,1762,1589.23,2.82
54,1762,1762,1616.88,2.857
55,1762,1762,1617.39,2.887
56,1762,1762,1599.83,2.934
57,1762,1762,1601.2,2.962
58,1762,1762,1582.32,2.995
59,1762,1762,1609.2,3.028
60,1762,1762,1603.12,3.062
61,1762,1762,1605.24,3.093
62,1762,1762,1607.77,3.139
63,1762,1762,1607.58,3.167
64,1762,1762,1579.53,3.219
65,1762,1762,1583.42,3.25
66,1762,1762,1603.15,3.281
67,1762,1762,1567.96,3.334
68,1762,1762,1591.07,3.354
69,1762,1762,1559.86,3.398
70,1762,1762,1574.53,3.424
71,1762,1762,1585.87,3.455
72,1762,1762,1579.48,3.498
73,1762,1762,1549.48,3.542
74,1762,1762,1569.14,3.575
75,1762,1762,1592.48,3.604
76,1762,1762,1598.64,3.644
77,1762,1762,1588.56,3.684
78,1762,1762,1589.0,3.718
79,1762,1762,1580.31,3.762
80,1762,1762,1586.97,3.795
81,1762,1762,1583.85,3.827
82,1762,1762,1589.79,3.859
83,1762,1762,1595.38,3.883
84,1762,1762,1568.52,3.948
85,1762,1762,1600.02,3.979
86,1762,1762,1609.35,4.015
87,1762,1762,1573.8,4.061
88,1762,1762,1595.63,4.102
89,1762,1762,1597.7,4.136
90,1762,1762,1609.52,4.171
91,1762,1762,1606.94,4.205
92,1762,1762,1587.97,4.222
93,1762,1762,1574.64,4.256
94,1762,1762,1580.86,4.292
95,1762,1762,1579.74,4.332
96,1762,1762,1599.68,4.347
97,1762,1762,1593.08,4.381
98,1762,1762,1586.8,4.415
99,1762,1762,1591.22,4.454
100,1762,1762,1591.94,4.484
