gen,best_so_far,gen_best,gen_avg,elapsed_s
0,1526,1526,1196.57,2.092
1,1526,1526,1059.52,2.137
2,1526,1526,1062.6,2.161
3,1526,1526,1083.81,2.201
4,1526,1526,1101.92,2.241
5,1526,1526,1167.43,2.29
6,1584,1584,1215.14,2.338
7,1654,1654,1250.82,2.364
8,1654,1654,1310.65,2.405
9,1654,1654,1428.5,2.441
10,1759,1759,1450.55,2.488
11,1806,1806,1522.83,2.522
12,1812,1812,1597.14,2.554
13,1826,1826,1659.19,2.589
14,1829,1829,1649.15,2.645
15,1836,1836,1737.35,2.681
16,1836,1836,1733.97,2.726
17,1836,1836,1788.9,2.758
18,1836,1836,1762.07,2.806
19,1836,1836,1780.74,2.858
20,1836,1836,1754.91,2.9
21,1836,1836,1753.41,2.984
22,1836,1836,1789.13,3.043
23,1836,1836,1785.58,3.096
24,1836,1836,1810.34,3.139
25,1836,1836,1803.12,3.168
26,1836,1836,1760.22,3.232
27,1841,1841,1775.3,3.272
28,1841,1841,1807.71,3.305
29,1841,1841,1792.49,3.341
30,1841,1841,1784.44,3.389
31,1841,1841,1776.86,3.435
32,1841,1841,1777.87,3.501
33,1841,1841,1784.82,3.55
34,1841,1841,1744.54,3.608
35,1841,1841,1825.88,3.639
36,1841,1841,1774.64,3.676
37,1841,1841,1771.95,3.723
38,1841,1841,1813.29,3.763
39,1841,1841,1793.54,3.808
40,1841,1841,1811.22,3.842
41,1841,1841,1806.07,3.877
42,1841,1841,1777.81,3.928
43,1841,1841,1776.82,3.982
44,1841,1841,1814.51,4.021
45,1841,1841,1780.77,4.07
46,1841,1841,1773.6,4.127
47,1841,1841,1824.25,4.157
48,1844,1844,1796.08,4.206
49,1844,1844,1800.89,4.233
50,1844,1844,1769.39,4.285
51,1844,1844,1798.21,4.326
52,1844,1844,1774.73,4.366
53,1844,1844,1792.92,4.405
54,1844,1844,1806.3,4.435
55,1844,1844,1780.23,4.476
56,1844,1844,1786.48,4.514
57,1844,1844,1794.77,4.546
58,1844,1844,1775.09,4.58
59,1844,1844,1764.46,4.636
60,1844,1844,1776.0,4.675
61,1844,1844,1772.24,4.712
62,1844,1844,1771.34,4.755
63,1844,1844,1797.08,4.785
64,1844,1844,1785.32,4.828
65,1844,1844,1776.42,4.88
66,1844,1844,1794.81,4.911
67,1844,1844,1816.97,4.95
68,1844,1844,1796.11,4.988
69,1844,1844,1796.06,5.028
70,1844,1844,1804.9,5.072
71,1844,1844,1780.26,5.118
72,1844,1844,1798.12,5.159
73,1844,1844,1785.89,5.207
74,1844,1844,1778.42,5.249
75,1844,1844,1777.87,5.296
76,1844,1844,1816.98,5.33
77,1844,1844,1811.18,5.368
78,1844,1844,1766.12,5.43
79,1844,1844,1762.24,5.477
80,1844,1844,1775.3,5.513
81,1844,1844,1785.24,5.547
82,1844,1844,1828.22,5.578
83,1844,1844,1777.73,5.633
84,1844,1844,1742.04,5.676
85,1844,1844,1792.76,5.719
86,1844,1844,1816.93,5.751
87,1844,1844,1817.69,5.779
88,1844,1844,1799.24,5.825
89,1844,1844,1768.08,5.877
90,1844,1844,1816.42,5.908
91,1844,1844,1812.66,5.944
92,1844,1844,1795.36,5.988
93,1844,1844,1834.61,6.015
94,1844,1844,1817.26,6.049
95,1844,1844,1833.56,6.08
96,1844,1844,1821.67,6.111
97,1844,1844,1808.33,6.149
98,1844,1844,1776.63,6.197
99,1844,1844,1792.85,6.234
100,1844,1844,1787.22,6.278
101,1844,1844,1776.16,6.333
102,1844,1844,1791.58,6.381
103,1844,1844,1793.53,6.411
104,1844,1844,1754.15,6.461
105,1844,1844,1791.26,6.519
106,1844,1844,1792.53,6.563
107,1844,1844,1772.06,6.621
108,1844,1844,1765.94,6.669
109,1844,1844,1792.99,6.718
110,1844,1844,1776.72,6.767
111,1844,1844,1808.16,6.809
112,1844,1844,1817.67,6.846
113,1844,1844,1797.3,6.88
114,1844,1844,1802.58,6.923
115,1844,1844,1792.74,6.96
116,1844,1844,1789.41,6.992
117,1844,1844,1787.62,7.046
118,1844,1844,1783.56,7.097
119,1844,1844,1791.05,7.137
120,1875,1875,1820.0,7.18
121,1875,1875,1804.37,7.213
122,1875,1875,1789.71,7.251
123,1875,1875,1761.59,7.294
124,1875,1875,1824.86,7.325
125,1875,1875,1804.91,7.371
126,1875,1875,1820.99,7.405
127,1875,1875,1816.96,7.446
128,1875,1875,1805.11,7.48
129,1875,1875,1823.05,7.521
130,1875,1875,1814.9,7.565
131,1875,1875,1827.53,7.601
132,1875,1875,1802.12,7.648
133,1875,1875,1811.87,7.682
134,1875,1875,1793.46,7.721
135,1875,1875,1794.97,7.768
136,1875,1875,1835.84,7.806
137,1875,1875,1751.35,7.855
138,1875,1875,1830.3,7.896
139,1875,1875,1824.83,7.936
140,1875,1875,1834.17,7.964
141,1875,1875,1814.76,8.005
142,1875,1875,1802.3,8.045
143,1875,1875,1799.09,8.093
144,1875,1875,1812.25,8.126
145,1875,1875,1818.9,8.165
146,1875,1875,1820.11,8.216
147,1875,1875,1796.18,8.257
148,1875,1875,1794.14,8.306
149,1875,1875,1812.3,8.352
150,1875,1875,1849.23,8.38
