gen,best_so_far,gen_best,gen_avg,elapsed_s
0,2056,2056,1645.06,6.961
1,2093,2093,1679.32,7.186
2,2093,2093,1699.66,7.415
3,2094,2094,1790.9,7.645
4,2094,2094,1849.26,8.13
5,2094,2094,1870.54,8.15
6,2094,2094,1917.06,8.162
7,2094,2094,1901.14,8.215
8,2094,2094,1893.76,8.425
9,2094,2094,1929.58,8.735
10,2094,2094,1922.72,8.922
11,2094,2094,1895.72,9.057
12,2094,2094,1924.02,9.228
13,2094,2094,1889.72,9.488
14,2094,2094,1841.92,9.636
15,2094,2094,1864.3,9.865
16,2094,2094,1876.08,9.981
17,2094,2094,1877.78,10.167
18,2094,2094,1923.2,10.323
19,2094,2094,1923.0,10.519
20,2094,2094,1939.78,10.675
21,2094,2094,1922.3,11.035
22,2094,2094,1905.94,11.323
23,2094,2094,1895.0,11.545
24,2094,2094,1890.9,11.725
25,2094,2094,1853.32,11.85
26,2094,2094,1845.8,11.985
27,2094,2094,1861.86,12.01
28,2094,2094,1874.3,12.147
29,2094,2094,1889.2,12.272
30,2094,2094,1898.04,12.284
31,2094,2094,1900.46,12.436
32,2094,2094,1921.98,12.611
33,2094,2094,1898.52,12.735
34,2094,2094,1912.24,12.775
35,2094,2094,1902.42,12.886
36,2094,2094,1955.38,12.902
37,2094,2094,1936.42,13.045
38,2094,2094,1918.08,13.143
39,2094,2094,1919.14,13.286
40,2094,2094,1937.38,13.418
41,2094,2094,1943.78,13.575
42,2094,2094,1940.24,13.698
43,2094,2094,1922.16,13.815
44,2094,2094,1895.2,13.971
45,2094,2094,1887.62,14.089
46,2094,2094,1838.34,14.349
47,2094,2094,1842.96,14.427
48,2094,2094,1863.2,14.79
49,2094,2094,1856.56,14.972
50,2094,2094,1870.66,14.984
51,2094,2094,1871.56,15.117
52,2094,2094,1841.18,15.448
53,2094,2094,1858.62,15.495
54,2094,2094,1874.46,15.874
55,2094,2094,1912.24,16.101
56,2094,2094,1903.76,16.368
57,2094,2094,1896.14,16.479
58,2094,2094,1902.74,16.669
59,2094,2094,1900.7,16.842
60,2094,2094,1902.94,17.042
61,2094,2094,1926.18,17.341
62,2094,2094,1911.26,17.453
63,2094,2094,1884.76,17.635
64,2094,2094,1885.84,17.673
65,2094,2094,1890.84,17.687
66,2094,2094,1886.88,17.765
67,2094,2094,1859.72,17.971
68,2094,2094,1890.82,18.387
69,2094,2094,1883.88,18.43
70,2094,2094,1870.08,18.679
71,2094,2094,1868.34,18.755
72,2094,2094,1877.92,18.805
73,2094,2094,1894.28,19.329
74,2094,2094,1882.0,19.537
75,2094,2094,1888.68,19.605
76,2094,2094,1844.9,19.947
77,2094,2094,1907.5,20.083
78,2094,2094,1886.26,20.308
79,2094,2094,1898.46,20.321
80,2094,2094,1853.7,20.345
81,2094,2094,1877.44,20.581
82,2094,2094,1891.96,20.702
83,2094,2094,1868.56,21.006
84,2094,2094,1879.68,21.017
85,2094,2094,1888.7,21.032
86,2094,2094,1883.14,21.082
87,2094,2094,1837.88,21.266
88,2094,2094,1873.38,21.429
89,2097,2097,1881.18,21.698
90,2097,2097,1906.82,21.937
91,2097,2097,1908.12,22.117
92,2097,2097,1906.58,22.193
93,2097,2097,1904.02,22.302
94,2097,2097,1903.72,22.487
95,2097,2097,1900.76,22.775
96,2097,2097,1899.58,23.151
97,2097,2097,1890.04,23.4
98,2097,2097,1857.08,23.633
99,2097,2097,1899.36,23.843
100,2097,2097,1921.68,23.996
101,2097,2097,1918.86,24.054
102,2097,2097,1889.74,24.166
103,2097,2097,1911.82,24.486
104,2097,2097,1955.0,24.802
105,2097,2097,1917.02,24.883
106,2097,2097,1888.26,25.138
107,2097,2097,1887.72,25.32
108,2097,2097,1890.34,25.56
109,2097,2097,1898.3,25.915
110,2097,2097,1905.46,26.14
111,2097,2097,1915.72,26.266
112,2097,2097,1869.06,26.469
113,2097,2097,1840.02,26.78
114,2097,2097,1873.3,26.834
115,2097,2097,1908.5,26.883
116,2097,2097,1913.38,27.036
117,2097,2097,1889.04,27.294
118,2097,2097,1884.28,27.616
119,2097,2097,1884.72,27.769
120,2097,2097,1932.12,27.83
121,2097,2097,1902.84,28.05
122,2097,2097,1925.14,28.201
123,2097,2097,1913.66,28.572
124,2097,2097,1917.24,28.668
125,2097,2097,1945.4,28.785
126,2097,2097,1935.18,28.796
127,2097,2097,1869.24,28.877
128,2097,2097,1922.8,28.916
129,2097,2097,1931.72,29.12
130,2097,2097,1928.28,29.321
131,2097,2097,1923.92,29.5
132,2097,2097,1922.94,29.592
133,2097,2097,1895.26,29.705
134,2097,2097,1918.96,29.81
135,2097,2097,1898.72,29.9
136,2097,2097,1861.8,29.981
137,2097,2097,1873.86,30.049
138,2097,2097,1880.92,30.181
139,2097,2097,1898.84,30.221
140,2097,2097,1869.84,30.34
141,2097,2097,1902.58,30.438
142,2097,2097,1937.54,30.486
143,2097,2097,1911.94,30.56
144,2097,2097,1919.22,30.623
145,2097,2097,1868.64,30.866
146,2097,2097,1846.38,30.945
147,2097,2097,1832.86,31.105
148,2097,2097,1857.42,31.225
149,2097,2097,1875.44,31.691
150,2097,2097,1894.78,31.906
151,2097,2097,1904.08,31.949
152,2097,2097,1925.6,32.022
153,2097,2097,1907.7,32.132
154,2097,2097,1887.2,32.571
155,2097,2097,1910.22,32.759
156,2097,2097,1875.74,32.928
157,2097,2097,1853.44,33.061
158,2097,2097,1848.88,33.278
159,2097,2097,1871.64,33.495
160,2097,2097,1832.58,33.749
161,2097,2097,1856.48,33.869
