gen,best_so_far,gen_best,gen_avg,elapsed_s
0,1711,1711,543.05,0.233
1,1711,1711,702.42,0.252
2,1711,1711,954.19,0.275
3,1711,1711,1220.11,0.298
4,1711,1711,1471.82,0.322
5,1722,1722,1588.97,0.345
6,1722,1722,1658.77,0.367
7,1722,1722,1666.92,0.39
8,1722,1722,1649.73,0.409
9,1722,1722,1679.97,0.434
10,1722,1722,1660.83,0.461
11,1722,1722,1663.72,0.484
12,1722,1722,1689.37,0.505
13,1722,1722,1660.7,0.526
14,1722,1722,1690.45,0.545
15,1722,1722,1681.68,0.57
16,1722,1722,1659.69,0.596
17,1722,1722,1686.61,0.625
18,1722,1722,1674.56,0.648
19,1722,1722,1674.58,0.673
20,1722,1722,1676.05,0.7
21,1722,1722,1641.99,0.728
22,1722,1722,1647.94,0.756
23,1722,1722,1698.41,0.783
24,1722,1722,1654.09,0.81
25,1722,1722,1638.81,0.837
26,1722,1722,1685.71,0.859
27,1722,1722,1705.81,0.876
28,1722,1722,1705.73,0.904
29,1722,1722,1708.55,0.929
30,1722,1722,1652.31,0.952
31,1722,1722,1680.13,0.977
32,1722,1722,1697.56,0.998
33,1722,1722,1676.95,1.015
34,1722,1722,1655.61,1.03
35,1722,1722,1655.57,1.052
36,1722,1722,1677.53,1.073
37,1722,1722,1671.94,1.091
38,1722,1722,1671.65,1.114
39,1739,1739,1653.33,1.14
40,1739,1739,1673.88,1.161
41,1739,1739,1672.71,1.183
42,1739,1739,1659.24,1.206
43,1739,1739,1695.3,1.232
44,1739,1739,1701.97,1.256
45,1739,1739,1657.8,1.281
46,1739,1739,1694.86,1.293
47,1739,1739,1711.04,1.316
48,1739,1739,1692.57,1.337
49,1739,1739,1708.19,1.357
50,1739,1739,1690.92,1.382
51,1739,1739,1670.46,1.407
52,1739,1739,1697.18,1.431
53,1739,1739,1715.22,1.451
54,1739,1739,1691.59,1.477
55,1739,1739,1688.7,1.503
56,1739,1739,1674.58,1.53
57,1739,1739,1696.44,1.555
58,1739,1739,1713.64,1.58
59,1739,1739,1642.06,1.595
60,1739,1739,1699.57,1.616
61,1739,1739,1699.79,1.635
62,1739,1739,1690.61,1.658
63,1739,1739,1692.79,1.682
64,1739,1739,1708.07,1.705
65,1739,1739,1707.24,1.728
66,1739,1739,1696.16,1.748
67,1739,1739,1677.67,1.772
68,1739,1739,1696.66,1.797
69,1739,1739,1680.12,1.811
70,1739,1739,1701.75,1.832
71,1739,1739,1689.16,1.859
72,1739,1739,1689.37,1.885
73,1739,1739,1693.5,1.911
74,1739,1739,1686.69,1.937
75,1739,1739,1711.38,1.963
76,1739,1739,1663.38,1.989
77,1739,1739,1682.51,2.015
78,1739,1739,1669.95,2.041
79,1739,1739,1697.46,2.068
80,1739,1739,1698.65,2.094
81,1739,1739,1683.0,2.118
82,1739,1739,1674.74,2.135
83,1739,1739,1673.47,2.161
84,1739,1739,1717.8,2.189
85,1739,1739,1705.03,2.217
86,1739,1739,1693.24,2.245
87,1739,1739,1678.96,2.272
88,1740,1740,1736.31,2.3
89,1740,1740,1645.22,2.328
90,1740,1740,1675.89,2.353
91,1740,1740,1664.83,2.38
92,1740,1740,1715.62,2.403
93,1740,1740,1684.71,2.421
94,1740,1740,1689.92,2.436
95,1740,1740,1702.95,2.451
96,1740,1740,1687.09,2.477
97,1740,1740,1687.76,2.502
98,1740,1740,1674.3,2.529
99,1740,1740,1665.83,2.555
100,1740,1740,1725.46,2.582
101,1740,1740,1713.57,2.606
102,1740,1740,1705.81,2.632
103,1740,1740,1679.96,2.657
104,1740,1740,1712.17,2.684
105,1740,1740,1721.75,2.711
106,1740,1740,1710.82,2.739
107,1740,1740,1694.46,2.762
108,1740,1740,1694.75,2.787
109,1740,1740,1692.17,2.808
110,1740,1740,1678.0,2.832
111,1740,1740,1689.64,2.854
112,1740,1740,1692.26,2.877
113,1740,1740,1645.73,2.896
114,1740,1740,1670.34,2.923
115,1740,1740,1687.79,2.948
116,1740,1740,1690.94,2.97
117,1740,1740,1706.73,2.992
118,1740,1740,1688.03,3.018
119,1740,1740,1682.93,3.04
120,1740,1740,1677.21,3.068
121,1740,1740,1693.52,3.09
122,1740,1740,1703.07,3.116
123,1740,1740,1714.76,3.142
124,1740,1740,1664.1,3.165
125,1740,1740,1667.4,3.19
126,1740,1740,1698.09,3.21
127,1740,1740,1712.19,3.232
128,1740,1740,1662.84,3.259
129,1740,1740,1688.23,3.286
130,1740,1740,1707.2,3.313
131,1740,1740,1678.47,3.339
132,1740,1740,1686.44,3.365
133,1740,1740,1712.27,3.392
134,1740,1740,1688.3,3.418
135,1740,1740,1703.54,3.438
136,1740,1740,1670.88,3.465
137,1740,1740,1723.7,3.489
138,1740,1740,1682.56,3.514
139,1762,1762,1716.52,3.539
140,1762,1762,1660.95,3.558
141,1762,1762,1710.21,3.582
142,1763,1763,1701.98,3.611
143,1789,1789,1717.53,3.639
144,1789,1789,1661.96,3.659
145,1789,1789,1736.9,3.689
146,1789,1789,1735.53,3.711
147,1789,1789,1753.49,3.739
148,1789,1789,1715.97,3.762
149,1789,1789,1741.87,3.789
150,1838,1838,1749.19,3.814
151,1838,1838,1743.56,3.84
152,1838,1838,1759.73,3.87
153,1838,1838,1779.0,3.895
154,1838,1838,1785.74,3.922
155,1838,1838,1770.75,3.947
156,1838,1838,1777.1,3.974
157,1838,1838,1798.21,3.999
158,1838,1838,1767.31,4.028
159,1838,1838,1741.25,4.05
160,1838,1838,1761.93,4.076
161,1838,1838,1811.15,4.103
162,1838,1838,1790.4,4.129
163,1838,1838,1802.21,4.151
164,1838,1838,1803.56,4.175
165,1838,1838,1797.23,4.195
166,1838,1838,1755.7,4.218
167,1838,1838,1792.77,4.246
168,1838,1838,1793.4,4.278
169,1838,1838,1810.64,4.309
170,1838,1838,1803.58,4.34
171,1838,1838,1767.92,4.366
172,1838,1838,1783.06,4.389
173,1838,1838,1765.48,4.415
174,1838,1838,1790.37,4.44
175,1838,1838,1771.73,4.465
176,1838,1838,1816.89,4.491
177,1838,1838,1764.98,4.509
178,1838,1838,1764.95,4.538
179,1838,1838,1793.9,4.564
180,1838,1838,1796.65,4.585
181,1838,1838,1778.86,4.608
182,1838,1838,1771.08,4.632
183,1838,1838,1797.83,4.656
184,1838,1838,1778.09,4.684
185,1838,1838,1759.16,4.709
186,1838,1838,1800.3,4.734
187,1838,1838,1778.11,4.759
188,1838,1838,1774.92,4.787
189,1838,1838,1756.2,4.811
190,1838,1838,1781.65,4.835
191,1838,1838,1739.43,4.851
192,1838,1838,1804.24,4.881
193,1838,1838,1798.92,4.897
194,1838,1838,1785.33,4.912
195,1838,1838,1774.56,4.928
196,1838,1838,1786.68,4.954
197,1838,1838,1752.15,4.979
198,1838,1838,1820.55,4.996
199,1838,1838,1761.13,5.021
200,1838,1838,1762.53,5.044
