gen,best_so_far,gen_best,gen_avg,elapsed_s
0,2056,2056,1625.01,21.991
1,2056,2056,1690.27,24.185
2,2056,2056,1738.24,25.341
3,2059,2059,1780.13,27.001
4,2150,2150,1818.54,29.092
5,2150,2150,1878.84,31.625
6,2150,2150,1865.44,34.366
7,2150,2150,1886.32,35.9
8,2186,2186,1873.91,38.865
9,2186,2186,1911.43,41.224
10,2282,2282,1935.9,43.071
11,2282,2282,1932.24,44.468
12,2282,2282,1961.2,46.301
13,2282,2282,1967.2,47.946
14,2282,2282,2021.54,50.564
15,2282,2282,2020.74,51.218
16,2282,2282,2058.22,52.004
17,2282,2282,2099.73,52.926
18,2282,2282,2119.79,53.903
19,2282,2282,2112.2,55.638
20,2282,2282,2119.37,57.208
21,2282,2282,2104.93,59.485
22,2282,2282,2101.26,61.217
23,2282,2282,2104.04,63.039
24,2282,2282,2092.59,64.641
25,2283,2283,2093.52,66.396
26,2283,2283,2103.76,68.136
27,2283,2283,2076.73,70.714
28,2283,2283,2073.29,73.801
29,2283,2283,2053.91,77.345
30,2283,2283,2065.65,79.003
31,2283,2283,2077.08,80.333
32,2283,2283,2061.89,82.211
33,2283,2283,2046.78,84.314
34,2283,2283,2039.79,87.283
35,2283,2283,2050.06,90.229
36,2283,2283,2048.63,92.531
37,2283,2283,2044.83,94.183
38,2283,2283,2038.54,96.592
39,2283,2283,2050.89,98.401
40,2283,2283,2037.06,98.881
41,2283,2283,2076.89,99.999
42,2283,2283,2070.33,101.869
43,2283,2283,2070.73,104.455
44,2283,2283,2064.04,105.049
45,2283,2283,2090.38,105.378
46,2283,2283,2098.38,105.816
47,2283,2283,2096.92,106.296
48,2283,2283,2087.1,106.744
49,2283,2283,2092.79,107.237
50,2283,2283,2118.55,107.406
51,2283,2283,2094.72,107.763
52,2283,2283,2080.14,108.154
53,2283,2283,2072.82,108.616
54,2283,2283,2064.91,109.031
55,2283,2283,2064.71,109.251
56,2283,2283,2057.39,109.959
57,2283,2283,2076.54,110.301
58,2283,2283,2044.94,110.753
59,2283,2283,2056.24,111.119
60,2283,2283,2066.39,111.463
61,2283,2283,2081.41,111.604
62,2283,2283,2062.28,112.206
63,2283,2283,2071.02,112.605
64,2283,2283,2055.64,112.847
65,2283,2283,2055.06,112.953
66,2283,2283,2056.85,113.35
67,2283,2283,2044.79,113.761
68,2283,2283,2066.03,113.988
69,2283,2283,2082.73,114.348
70,2283,2283,2080.36,114.661
71,2283,2283,2085.34,115.283
72,2283,2283,2084.65,115.767
73,2283,2283,2083.75,116.135
74,2283,2283,2077.99,116.578
75,2283,2283,2049.48,116.816
76,2283,2283,2040.51,117.151
77,2283,2283,2055.66,117.43
78,2283,2283,2046.67,117.774
79,2283,2283,2076.73,118.04
80,2283,2283,2091.91,118.265
81,2283,2283,2087.21,118.93
82,2283,2283,2103.89,119.102
83,2283,2283,2078.63,119.634
84,2283,2283,2070.21,120.101
85,2283,2283,2093.78,120.76
86,2283,2283,2123.92,121.233
87,2283,2283,2103.2,121.551
88,2283,2283,2092.24,121.883
89,2283,2283,2078.63,121.899
90,2283,2283,2063.59,122.323
91,2283,2283,2063.05,122.598
92,2283,2283,2059.56,123.219
93,2283,2283,2078.53,123.509
94,2283,2283,2066.4,123.895
95,2283,2283,2068.03,124.513
96,2283,2283,2066.23,124.643
97,2283,2283,2051.57,125.017
98,2283,2283,2044.71,125.426
99,2283,2283,2025.6,126.026
100,2283,2283,2035.15,126.474
