gen,best_so_far,gen_best,gen_avg,elapsed_s
0,2056,2056,1625.01,9.988
1,2056,2056,1384.11,10.382
2,2056,2056,1359.92,12.127
3,2056,2056,1416.81,12.737
4,2056,2056,1483.96,16.301
5,2056,2056,1520.33,18.31
6,2056,2056,1574.84,21.553
7,2063,2063,1656.88,23.625
8,2158,2158,1648.46,25.751
9,2158,2158,1701.21,27.903
10,2260,2260,1817.07,28.374
11,2260,2260,1899.29,28.701
12,2269,2269,1983.73,29.179
13,2279,2279,2018.18,29.881
14,2279,2279,2089.54,30.21
15,2281,2281,2113.56,30.682
16,2281,2281,2142.31,31.225
17,2281,2281,2154.51,31.653
18,2282,2282,2118.4,32.15
19,2282,2282,2202.52,32.742
20,2282,2282,2153.79,33.307
21,2282,2282,2221.16,33.88
22,2282,2282,2211.87,34.141
23,2282,2282,2182.48,34.881
24,2282,2282,2204.94,35.408
25,2282,2282,2207.1,35.666
26,2282,2282,2240.72,35.882
27,2282,2282,2228.67,36.035
28,2282,2282,2208.56,36.566
29,2282,2282,2237.07,37.054
30,2282,2282,2259.07,37.222
31,2282,2282,2203.35,37.665
32,2282,2282,2220.4,38.291
33,2282,2282,2187.73,38.867
34,2376,2376,2224.7,39.23
35,2376,2376,2235.92,39.619
36,2379,2379,2239.72,39.942
37,2379,2379,2239.24,40.245
38,2379,2379,2248.54,40.494
39,2379,2379,2237.91,40.974
40,2379,2379,2286.73,41.247
41,2379,2379,2289.74,41.867
42,2379,2379,2307.24,42.288
43,2379,2379,2337.85,42.566
44,2379,2379,2320.9,42.905
45,2379,2379,2350.87,43.115
46,2379,2379,2353.26,43.377
47,2379,2379,2313.4,43.826
48,2379,2379,2318.75,44.159
49,2379,2379,2305.4,44.293
50,2379,2379,2344.98,44.628
51,2379,2379,2312.75,44.998
52,2379,2379,2337.7,45.215
53,2379,2379,2309.97,45.505
54,2379,2379,2342.43,45.752
55,2379,2379,2288.27,46.108
56,2379,2379,2310.07,46.646
57,2379,2379,2341.11,47.051
58,2379,2379,2293.43,47.389
59,2379,2379,2340.93,47.742
60,2379,2379,2325.59,48.103
61,2379,2379,2323.1,48.549
62,2379,2379,2327.88,48.757
63,2379,2379,2324.97,49.184
64,2379,2379,2328.75,49.56
65,2379,2379,2336.12,49.945
66,2379,2379,2303.0,50.361
67,2379,2379,2376.94,50.391
68,2379,2379,2301.34,50.923
69,2379,2379,2342.51,51.307
70,2379,2379,2325.04,51.573
71,2379,2379,2305.39,51.83
72,2379,2379,2342.83,52.249
73,2379,2379,2348.48,52.547
74,2379,2379,2326.67,52.832
75,2379,2379,2334.07,53.176
76,2379,2379,2350.54,53.474
77,2379,2379,2342.72,53.648
78,2379,2379,2371.12,53.748
79,2379,2379,2338.76,53.875
80,2379,2379,2347.46,54.086
81,2379,2379,2337.66,54.274
82,2379,2379,2279.26,54.702
83,2379,2379,2325.85,55.11
84,2379,2379,2350.36,55.281
85,2379,2379,2334.6,55.585
86,2379,2379,2324.29,55.765
87,2379,2379,2324.73,56.059
88,2379,2379,2317.86,56.402
89,2379,2379,2321.67,56.776
90,2379,2379,2319.37,56.943
91,2379,2379,2306.45,57.437
92,2379,2379,2316.27,57.769
93,2379,2379,2330.68,57.999
94,2379,2379,2307.22,58.528
95,2379,2379,2314.82,59.174
96,2379,2379,2347.81,59.544
97,2379,2379,2310.39,60.007
98,2379,2379,2325.32,60.384
99,2379,2379,2341.95,60.73
100,2379,2379,2314.36,61.204
101,2379,2379,2338.51,61.532
102,2379,2379,2321.21,62.02
103,2379,2379,2320.26,62.375
104,2379,2379,2325.03,62.753
105,2379,2379,2288.67,63.424
106,2379,2379,2331.14,63.809
107,2379,2379,2330.1,64.26
108,2379,2379,2256.46,64.631
109,2379,2379,2285.09,65.106
110,2379,2379,2346.6,65.231
111,2379,2379,2314.58,65.678
112,2379,2379,2258.43,66.212
113,2379,2379,2306.3,66.872
114,2379,2379,2279.6,67.611
115,2379,2379,2326.68,68.001
116,2379,2379,2270.26,68.621
117,2379,2379,2280.46,68.876
118,2379,2379,2342.3,69.03
119,2379,2379,2316.07,69.301
120,2379,2379,2323.83,69.597
121,2379,2379,2331.72,70.902
122,2379,2379,2338.6,71.992
123,2379,2379,2371.33,72.201
124,2379,2379,2291.59,75.664
125,2379,2379,2353.79,77.181
126,2379,2379,2331.79,79.144
127,2379,2379,2309.86,81.28
128,2379,2379,2297.69,84.118
129,2379,2379,2315.27,86.18
130,2379,2379,2297.65,88.694
131,2379,2379,2348.98,90.221
132,2379,2379,2313.72,93.765
133,2379,2379,2368.95,95.291
134,2379,2379,2346.76,96.939
135,2379,2379,2315.21,100.091
136,2379,2379,2304.07,105.076
137,2379,2379,2335.02,107.554
138,2379,2379,2321.14,111.46
139,2379,2379,2346.33,114.278
140,2379,2379,2328.11,117.486
141,2379,2379,2264.57,122.952
142,2379,2379,2319.1,127.29
143,2379,2379,2342.01,127.476
144,2379,2379,2319.53,128.253
145,2379,2379,2304.61,130.303
146,2379,2379,2313.67,132.888
147,2379,2379,2312.91,135.436
148,2379,2379,2306.92,139.55
149,2379,2379,2286.38,141.596
150,2379,2379,2315.75,142.035
