gen,best_so_far,gen_best,gen_avg,elapsed_s
0,13058,13058,11071.2,167.328
1,13058,13058,11605.56,170.776
2,13111,13111,12110.22,173.09
3,13456,13456,12550.34,173.287
4,13581,13581,12899.76,178.344
5,13775,13775,13159.36,181.016
6,13775,13775,13301.86,184.359
7,13949,13949,13488.06,184.674
8,14063,14063,13576.62,189.091
9,14197,14197,13580.38,199.11
10,14197,14197,13827.46,201.326
11,14376,14376,13860.16,207.573
12,14376,14376,13843.54,218.102
13,14472,14472,14106.04,220.048
14,14472,14472,14090.1,224.765
15,14472,14472,14120.66,232.197
16,14472,14472,14227.66,236.475
17,14472,14472,14182.46,243.895
18,14472,14472,14308.78,246.013
19,14472,14472,14307.52,248.494
20,14472,14472,14319.34,250.11
21,14472,14472,14218.3,258.111
22,14472,14472,14156.68,269.535
23,14472,14472,14338.2,271.078
24,14472,14472,14281.0,275.01
25,14472,14472,14344.7,277.358
26,14472,14472,14296.6,281.26
27,14472,14472,14062.0,294.377
28,14472,14472,14242.34,299.442
29,14472,14472,14255.06,304.12
