gen,best_so_far,gen_best,gen_avg,elapsed_s
0,10467,10467,8768.3,11.759
1,10467,10467,8747.54,12.228
2,10467,10467,8927.92,12.681
3,10467,10467,8945.99,13.192
4,10467,10467,9479.78,13.679
5,10522,10522,9870.95,14.145
6,10788,10788,10264.86,14.622
7,10964,10964,9955.26,15.006
8,10967,10967,10345.89,15.498
9,11141,11141,10330.52,15.956
10,11259,11259,10527.31,16.45
11,11369,11369,10781.34,16.911
12,11455,11455,11151.27,17.413
13,11592,11592,10955.01,17.867
14,11689,11689,11054.36,18.349
15,11728,11728,11148.37,18.849
16,11853,11853,11406.57,19.335
17,11932,11932,11515.44,19.813
18,12013,12013,11501.8,20.308
19,12082,12082,11596.66,20.818
20,12089,12089,11608.36,21.337
21,12106,12106,11430.79,21.781
22,12106,12106,11467.33,22.226
23,12161,12161,11473.1,22.693
24,12161,12161,11676.85,23.204
25,12163,12163,11866.48,23.692
26,12163,12163,11565.16,24.121
27,12165,12165,11806.17,24.634
28,12165,12165,11591.45,25.161
29,12165,12165,11870.1,25.626
30,12195,12195,11859.69,26.132
31,12195,12195,11895.9,26.608
32,12195,12195,11935.31,27.105
33,12195,12195,11962.53,27.652
34,12199,12199,11950.43,28.144
35,12199,12199,11749.55,28.652
36,12199,12199,11837.85,29.147
37,12387,12387,11905.6,29.636
38,12388,12388,11971.75,30.137
39,12395,12395,11882.54,30.634
40,12395,12395,11759.22,31.137
41,12395,12395,11997.89,31.656
42,12395,12395,12153.29,32.163
43,12395,12395,11917.09,32.716
44,12395,12395,11932.96,33.219
45,12437,12437,12044.12,33.756
46,12437,12437,12126.16,34.216
47,12437,12437,12016.47,34.733
48,12437,12437,12270.12,35.223
49,12449,12449,12177.92,35.753
50,12449,12449,12158.23,36.27
51,12449,12449,12074.19,36.826
52,12449,12449,12181.76,37.364
53,12449,12449,11938.75,37.879
54,12449,12449,12258.38,38.351
55,12461,12461,11971.6,38.826
56,12461,12461,12033.29,39.351
57,12461,12461,12101.27,39.856
58,12501,12501,12210.45,40.354
59,12526,12526,11962.97,40.807
60,12555,12555,11985.42,41.331
61,12555,12555,12049.36,41.842
62,12558,12558,11986.41,42.339
63,12562,12562,12178.96,42.868
64,12562,12562,12160.8,43.381
65,12562,12562,11907.12,43.818
66,12562,12562,12051.33,44.307
67,12562,12562,12347.32,44.819
68,12562,12562,12022.22,45.289
69,12562,12562,12173.68,45.809
70,12562,12562,12246.13,46.331
71,12562,12562,12094.57,46.855
72,12562,12562,12070.62,47.371
73,12562,12562,12201.95,47.837
74,12566,12566,11868.56,48.358
75,12566,12566,12157.31,48.79
76,12566,12566,11984.18,49.261
77,12566,12566,12198.96,49.717
78,12566,12566,12145.05,50.136
79,12578,12578,12183.82,50.644
80,12578,12578,12160.53,51.102
81,12639,12639,12306.54,51.545
82,12640,12640,12413.85,52.051
83,12657,12657,12375.04,52.519
84,12657,12657,12204.44,53.036
85,12657,12657,12226.92,53.533
86,12665,12665,12247.43,54.038
87,12665,12665,12357.06,54.523
88,12665,12665,11942.63,54.946
89,12665,12665,12273.64,55.439
90,12665,12665,12403.91,55.919
91,12665,12665,12519.17,56.425
92,12665,12665,12172.55,56.962
93,12675,12675,12413.16,57.498
94,12726,12726,12113.02,58.006
95,12728,12728,12275.93,58.535
96,12786,12786,12579.3,59.008
97,12796,12796,12100.15,59.499
98,12796,12796,12456.67,59.978
99,12802,12802,12329.05,60.461
100,12828,12828,12571.34,60.904
101,12828,12828,12507.54,61.41
102,12838,12838,12309.37,61.902
