gen,best_so_far,gen_best,gen_avg,elapsed_s
0,13841,13841,12407.63,12.31
1,13989,13989,12147.18,12.649
2,14004,14004,12464.37,12.971
3,14638,14638,12740.88,13.314
4,14748,14748,13210.83,13.633
5,15129,15129,13366.55,13.975
6,15326,15326,13804.07,14.344
7,15326,15326,13842.96,14.72
8,15651,15651,14215.58,15.076
9,15938,15938,14139.21,15.479
10,16228,16228,13986.61,15.848
11,16316,16316,14686.24,16.175
12,16316,16316,14426.99,16.512
13,16615,16615,14933.01,16.83
14,16615,16615,15527.35,17.144
15,16849,16849,14774.8,17.465
16,16849,16849,15421.29,17.784
17,16849,16849,15301.01,18.107
18,16924,16924,15728.7,18.422
19,16924,16924,15631.04,18.72
20,16950,16950,16413.61,19.041
21,16989,16989,16303.31,19.356
22,17065,17065,16422.22,19.627
23,17069,17069,16693.88,19.924
24,17154,17154,16750.66,20.213
25,17177,17177,16360.87,20.51
26,17261,17261,16431.91,20.855
27,17272,17272,16480.01,21.142
28,17272,17272,16736.61,21.481
29,17377,17377,16642.12,21.774
30,17395,17395,16817.5,22.064
31,17444,17444,16987.72,22.35
32,17474,17474,16663.99,22.703
33,17557,17557,16663.07,23.01
34,17669,17669,16728.56,23.349
35,17699,17699,16882.81,23.655
36,17699,17699,16632.73,23.951
37,17699,17699,17303.02,24.266
38,17867,17867,17000.46,24.576
39,17867,17867,17160.39,24.883
40,17869,17869,17289.25,25.194
41,17869,17869,17578.49,25.543
42,17869,17869,17167.77,25.829
43,17869,17869,16858.47,26.099
44,17869,17869,17393.03,26.407
45,17869,17869,17431.95,26.702
46,17869,17869,16894.85,27.021
47,17869,17869,17429.62,27.329
48,17869,17869,17545.98,27.674
49,17869,17869,17234.34,27.986
50,17869,17869,17037.25,28.334
51,17869,17869,17243.71,28.681
52,17869,17869,17113.49,29.048
53,17869,17869,16914.62,29.43
54,17903,17903,17174.65,29.766
55,17903,17903,17053.47,30.101
56,17903,17903,17361.06,30.455
57,17903,17903,17456.26,30.774
58,17957,17957,17371.74,31.096
59,17957,17957,17415.42,31.433
60,17957,17957,17336.82,31.772
61,18029,18029,17239.41,32.15
62,18029,18029,17492.17,32.466
63,18029,18029,17470.73,32.796
64,18029,18029,17601.7,33.121
65,18029,18029,17206.54,33.449
66,18029,18029,17276.51,33.82
67,18029,18029,17594.85,34.187
68,18029,18029,17569.95,34.518
69,18041,18041,17465.28,34.866
70,18099,18099,17380.68,35.236
71,18099,18099,17548.74,35.584
72,18111,18111,17539.36,35.939
73,18117,18117,17601.58,36.323
74,18117,18117,17182.15,36.697
75,18117,18117,16951.13,37.07
76,18117,18117,17520.01,37.412
77,18169,18169,17071.8,37.764
78,18169,18169,17482.04,38.116
79,18169,18169,17668.12,38.399
80,18245,18245,17376.9,38.725
81,18245,18245,17855.46,39.033
82,18245,18245,17663.73,39.414
83,18245,18245,17591.95,39.789
84,18248,18248,17911.65,40.185
85,18248,18248,17854.09,40.567
86,18248,18248,17574.75,40.928
87,18302,18302,17758.69,41.277
88,18302,18302,17634.59,41.628
89,18302,18302,17889.36,42.001
90,18302,18302,17802.0,42.354
91,18302,18302,17476.11,42.753
92,18382,18382,17820.06,43.088
93,18382,18382,17779.74,43.463
94,18382,18382,17315.14,43.822
95,18414,18414,17796.42,44.188
96,18414,18414,17742.15,44.575
97,18414,18414,17869.88,44.951
98,18414,18414,17778.44,45.321
99,18414,18414,18020.47,45.736
100,18414,18414,17859.35,46.13
