generation,best_score,avg_score
1,2594,1580.78
2,2594,1504.44
3,2594,1439.14
4,2594,1458.72
5,2594,1404.12
6,2594,1471.56
7,2594,1506.32
8,2594,1546.5
9,2594,1505.94
10,2594,1684.02
11,2594,1693.94
12,2594,1653.2
13,2594,1544.5
14,2594,1547.78
15,2594,1587.14
16,2594,1633.94
17,2594,1532.12
18,2594,1562.32
19,2594,1496.14
20,2594,1554.56
21,2594,1416.08
22,2594,1519.02
23,2594,1579.56
24,2594,1560.86
25,2594,1570.56
26,2594,1541.98
27,2594,1578.18
28,2594,1495.7
29,2594,1530.76
30,2594,1655.4
31,2594,1527.1
32,2594,1607.94
33,2594,1564.58
34,2594,1493.22
35,2594,1406.3
36,2594,1433.66
37,2594,1573.04
38,2594,1513.02
39,2594,1526.84
40,2594,1516.3
41,2594,1474.84
42,2594,1606.22
43,2594,1680.24
44,2594,1512.12
45,2594,1422.46
46,2594,1498.12
47,2594,1460.66
48,2594,1619.56
49,2594,1517.32
50,2594,1514.06
51,2594,1511.8
52,2594,1558.68
53,2594,1615.9
54,2594,1625.54
55,2594,1641.18
56,2594,1644.08
57,2594,1631.7
58,2594,1530.48
59,2594,1635.9
60,2594,1614.32
61,2594,1598.36
62,2594,1512.68
63,2594,1578.7
64,2594,1513.6
65,2594,1566.64
66,2594,1549.4
67,2594,1580.54
68,2594,1569.84
69,2594,1595.76
70,2594,1506.06
71,2594,1584.04
72,2594,1482.22
73,2594,1524.34
74,2594,1543.68
75,2594,1477.68
76,2594,1517.16
77,2594,1571.02
78,2594,1541.22
79,2594,1578.56
80,2594,1551.22
81,2594,1491.6
82,2594,1533.78
83,2594,1492.04
84,2594,1587.24
85,2594,1637.2
86,2594,1634.86
87,2594,1588.8
88,2594,1669.58
89,2594,1784.18
90,2594,1547.02
91,2594,1522.34
92,2594,1567.24
93,2594,1517.26
94,2594,1560.66
95,2594,1526.32
96,2594,1415.4
97,2594,1573.02
98,2594,1575.06
99,2594,1611.5
100,2594,1649.32
101,2594,1583.54
102,2594,1530.28
103,2594,1528.52
104,2594,1682.62
105,2594,1577.98
106,2594,1668.88
107,2594,1610.74
108,2594,1448.88
109,2594,1509.94
110,2594,1477.26
111,2594,1433.54
112,2594,1512.78
113,2594,1450.24
114,2594,1535.28
115,2594,1507.26
116,2594,1649.12
117,2594,1415.82
118,2594,1465.8
119,2594,1373.92
120,2594,1426.62
121,2594,1415.54
122,2594,1541.62
123,2594,1403.74
124,2594,1379.06
125,2594,1448.56
126,2594,1533.5
127,2594,1542.28
128,2594,1463.24
129,2594,1503.62
130,2594,1582.72
131,2594,1572.7
132,2594,1563.46
133,2594,1510.56
134,2594,1615.9
135,2594,1637.82
136,2594,1564.74
137,2594,1626.76
138,2594,1633.74
139,2594,1583.66
140,2594,1774.98
141,2594,1856.82
142,2594,1698.24
143,2594,1606.94
144,2594,1637.52
145,2594,1512.66
146,2594,1619.0
147,2594,1519.82
148,2594,1504.8
149,2594,1604.3
150,2594,1606.14
151,2594,1478.68
152,2594,1624.94
153,2594,1422.8
154,2594,1568.9
155,2594,1501.48
156,2594,1578.86
157,2594,1606.66
158,2594,1409.8
159,2594,1471.58
160,2594,1559.64
161,2594,1508.9
162,2594,1579.04
163,2594,1534.56
164,2594,1695.26
165,2594,1581.86
166,2594,1514.72
167,2594,1610.18
168,2594,1567.14
169,2594,1538.24
170,2594,1532.96
171,2594,1557.0
172,2594,1574.04
173,2594,1550.88
174,2594,1471.72
175,2594,1551.42
176,2594,1503.38
177,2594,1613.2
178,2594,1551.8
179,2594,1669.36
180,2594,1614.54
181,2594,1579.68
182,2594,1575.96
183,2594,1529.2
184,2594,1566.76
185,2594,1567.52
186,2594,1605.2
187,2594,1636.78
188,2594,1577.78
189,2594,1449.86
190,2594,1515.9
191,2594,1463.58
192,2594,1407.9
193,2594,1474.76
194,2594,1422.86
195,2594,1365.38
196,2594,1477.34
197,2594,1358.8
198,2594,1452.98
199,2594,1461.84
200,2594,1539.52
