generation,best_score,avg_score
1,2728,1096.3
2,2728,1032.68
3,2728,1034.96
4,2728,965.68
5,2728,931.64
6,2728,903.11
7,2728,886.86
8,2728,936.22
9,2728,915.45
10,2728,902.52
11,2728,955.7
12,2728,964.11
13,2728,872.82
14,2728,885.24
15,2728,971.08
16,2728,939.98
17,2728,1029.53
18,2728,968.48
19,2728,1027.71
20,2728,1041.71
21,2728,1015.17
22,2728,946.86
23,2728,960.59
24,2728,1035.87
25,2728,1082.12
26,2728,1131.32
27,2728,1133.99
28,2728,1015.8
29,2728,1039.16
30,2728,1095.24
31,2728,1127.7
32,2728,1148.9
33,2728,1248.27
34,2728,1243.76
35,2728,1125.02
36,2728,1101.9
37,2728,1056.52
38,2728,1045.77
39,2728,1063.0
40,2728,1108.24
41,2728,1151.66
42,2728,1159.07
43,2728,1165.34
44,2728,1156.7
45,2728,1105.95
46,2728,1129.1
47,2728,1185.04
48,2728,1152.71
49,2728,1180.76
50,2728,1117.16
51,2728,1180.86
52,2728,1103.06
53,2728,1014.64
54,2728,1026.89
55,2728,1154.97
56,2728,1151.92
57,2728,1164.51
58,2728,1105.77
59,2728,1049.01
60,2728,1185.38
61,2728,1146.3
62,2728,1241.42
63,2728,1276.12
64,2728,1223.04
65,2728,1113.26
66,2728,1102.35
67,2728,1050.38
68,2728,1089.71
69,2728,1111.35
70,2728,1066.26
71,2728,1030.35
72,2728,1026.33
73,2728,1021.5
74,2728,1077.77
75,2728,1014.88
76,2728,1001.09
77,2728,1061.52
78,2728,1038.21
79,2728,966.58
80,2728,1033.17
81,2728,1147.87
82,2728,1081.44
83,2728,1035.01
84,2728,1088.86
85,2728,1158.88
86,2728,1167.05
87,2728,1155.49
88,2728,1097.23
89,2728,1150.98
90,2728,1083.55
91,2728,1093.94
92,2728,1154.57
93,2728,1038.71
94,2728,994.88
95,2728,1096.34
96,2728,1107.63
97,2728,1097.76
98,2728,1077.52
99,2728,1106.38
100,2728,1164.49
101,2728,1161.63
102,2728,1157.58
103,2728,1159.77
104,2728,1067.17
105,2728,1020.19
106,2728,1051.9
107,2728,1034.79
108,2728,1099.27
109,2728,1024.36
110,2728,1063.26
111,2728,1054.47
112,2728,1131.27
113,2728,1133.58
114,2728,1124.84
115,2728,1099.02
116,2728,1019.63
117,2728,1121.66
118,2728,1106.75
119,2728,1134.18
120,2728,1092.27
121,2728,1062.14
122,2728,1141.21
123,2728,1146.37
124,2728,964.13
125,2728,996.16
126,2728,1000.67
127,2728,1070.21
128,2728,1083.58
129,2728,1094.66
130,2728,1174.99
131,2728,1183.42
132,2728,1080.79
133,2728,1064.51
134,2728,1030.49
135,2728,1060.58
136,2728,1168.95
137,2728,1075.45
138,2728,994.46
139,2728,1066.72
140,2728,1107.89
141,2728,1133.77
142,2728,1073.32
143,2728,1107.75
144,2728,1127.52
145,2728,1154.45
146,2728,1039.13
147,2728,1121.59
148,2728,1069.02
149,2728,1118.18
150,2728,1089.72
151,2728,1025.63
152,2728,981.41
153,2728,1041.9
154,2728,949.44
155,2728,1104.32
156,2728,1050.0
157,2728,1063.94
158,2728,1011.06
159,2728,1098.87
160,2728,1144.14
161,2728,1114.53
162,2728,1037.54
163,2728,1053.01
164,2728,926.23
165,2728,881.53
166,2728,972.52
167,2728,1018.56
168,2728,1024.44
169,2728,1003.87
170,2728,1018.05
171,2728,1110.72
172,2728,1074.15
173,2728,1129.54
174,2728,1074.16
175,2728,1138.72
176,2728,1020.3
177,2728,1107.08
178,2728,1125.18
179,2728,1074.1
180,2728,1104.88
181,2728,1163.88
182,2728,1194.31
183,2728,1084.36
184,2728,1096.03
185,2728,981.36
186,2728,1006.9
187,2728,1006.42
188,2728,1061.91
189,2728,1063.07
190,2728,1020.38
191,2728,1085.05
192,2728,968.64
193,2728,1043.98
194,2728,1125.29
195,2728,959.63
196,2728,985.7
197,2728,984.0
198,2728,1032.84
199,2728,1118.45
200,2728,1128.0
