generation,best_score,avg_score
1,2188,1939.78
2,2188,1888.06
3,2188,1823.0
4,2188,1773.22
5,2188,1759.46
6,2188,1822.74
7,2188,1791.96
8,2188,1811.68
9,2188,1910.42
10,2188,1795.44
11,2188,1763.3
12,2188,1782.38
13,2188,1777.28
14,2188,1829.16
15,2188,1796.72
16,2188,1887.62
17,2188,1864.56
18,2188,1830.4
19,2188,1875.82
20,2188,1849.7
21,2188,1853.46
22,2188,1877.9
23,2188,1890.94
24,2188,1918.78
25,2188,1806.32
26,2188,1852.02
27,2188,1789.94
28,2188,1823.54
29,2188,1836.48
30,2188,1776.76
31,2188,1804.64
32,2188,1764.2
33,2188,1789.1
34,2188,1757.92
35,2188,1767.74
36,2188,1760.16
37,2188,1821.18
38,2188,1812.06
39,2188,1896.94
40,2188,1849.72
41,2188,1811.2
42,2188,1844.0
43,2188,1822.82
44,2188,1817.04
45,2188,1762.26
46,2188,1721.1
47,2188,1790.46
48,2188,1796.58
49,2188,1861.3
50,2188,1861.2
51,2188,1903.4
52,2188,1924.22
53,2188,1883.42
54,2188,1935.56
55,2188,1807.56
56,2189,1779.32
57,2189,1747.48
58,2189,1703.74
59,2189,1767.38
60,2189,1748.6
61,2189,1716.0
62,2189,1708.08
63,2189,1693.66
64,2189,1751.92
65,2189,1834.74
66,2189,1810.44
67,2189,1755.78
68,2189,1808.76
69,2189,1805.08
70,2189,1864.5
71,2189,1853.22
72,2189,1857.18
73,2189,1775.02
74,2189,1809.6
75,2189,1830.16
76,2189,1811.2
77,2189,1832.78
78,2189,1847.68
79,2189,1831.92
80,2189,1823.48
81,2189,1846.94
82,2189,1813.58
83,2189,1867.18
84,2189,1872.32
85,2189,1821.76
86,2189,1871.9
87,2189,1774.86
88,2189,1725.02
89,2189,1722.3
90,2196,1746.64
91,2196,1768.04
92,2196,1783.16
93,2196,1705.56
94,2196,1750.26
95,2196,1761.34
96,2196,1801.26
97,2196,1848.2
98,2196,1822.46
99,2196,1783.24
100,2196,1882.7
101,2196,1987.42
102,2196,1932.42
103,2196,1868.98
104,2196,1911.06
105,2196,1874.3
106,2196,1891.38
107,2196,1922.08
108,2196,1908.54
109,2196,1800.48
110,2196,1727.46
111,2196,1695.4
112,2196,1704.5
113,2196,1742.26
114,2196,1820.68
115,2196,1859.2
116,2196,1914.48
117,2196,1888.74
118,2196,1882.38
119,2196,1935.62
120,2196,1942.18
121,2196,1848.52
122,2196,1883.34
123,2196,1870.04
124,2196,1854.7
125,2196,1841.84
126,2196,1839.62
127,2196,1789.96
128,2196,1834.96
129,2196,1851.12
130,2196,1822.88
131,2196,1878.5
132,2196,1845.54
133,2196,1904.66
134,2196,1936.04
135,2196,1874.92
136,2196,1861.2
137,2196,1873.64
138,2196,1878.7
139,2196,1854.42
140,2196,1802.66
141,2196,1803.74
142,2196,1828.84
143,2196,1772.6
144,2196,1795.44
145,2196,1811.2
146,2196,1806.38
147,2196,1825.66
148,2196,1816.88
149,2196,1833.66
150,2196,1884.52
151,2196,1865.06
152,2196,1823.52
153,2196,1871.12
154,2196,1809.3
155,2196,1801.2
156,2196,1842.22
157,2196,1808.4
158,2196,1789.76
159,2196,1754.8
160,2196,1739.28
161,2196,1836.86
162,2196,1875.14
163,2196,1901.3
164,2196,1912.04
165,2196,1907.74
166,2196,1938.38
167,2196,1964.5
168,2196,1905.04
169,2196,1908.52
170,2196,1885.72
171,2196,1928.66
172,2196,1858.14
173,2196,1809.36
174,2196,1870.06
175,2196,1905.68
176,2196,1880.48
177,2196,1827.68
178,2196,1840.56
179,2196,1802.38
180,2196,1791.56
181,2196,1865.1
182,2196,1835.68
183,2196,1824.92
184,2196,1825.02
185,2196,1825.34
186,2196,1884.18
187,2196,1863.72
188,2196,1850.66
189,2196,1841.8
190,2196,1833.32
191,2196,1895.16
192,2196,1826.72
193,2196,1841.64
194,2196,1842.98
195,2196,1838.3
196,2196,1867.94
197,2196,1846.82
198,2196,1824.82
199,2196,1747.32
200,2196,1802.0
201,2196,1805.62
202,2196,1761.02
203,2196,1793.28
204,2196,1827.28
205,2196,1752.9
206,2196,1733.5
207,2196,1754.54
208,2196,1745.76
209,2196,1845.28
210,2196,1845.18
211,2196,1874.7
212,2196,1830.28
213,2196,1800.34
214,2196,1897.2
215,2196,1907.56
216,2196,1844.9
217,2196,1774.18
218,2196,1806.78
219,2196,1755.08
220,2196,1713.48
221,2196,1707.9
222,2196,1816.46
223,2196,1848.54
224,2196,1918.62
225,2196,1929.66
226,2196,1966.16
227,2196,1856.24
228,2196,1860.0
229,2196,1808.58
230,2196,1780.46
231,2196,1805.32
232,2196,1857.18
233,2196,1826.48
234,2196,1869.8
235,2196,1865.5
236,2196,1792.68
237,2196,1821.72
238,2196,1867.0
239,2196,1830.56
240,2196,1927.36
241,2196,1947.42
242,2196,1886.54
243,2196,1873.32
244,2196,1832.22
245,2196,1822.66
246,2196,1808.06
247,2196,1835.66
248,2196,1815.48
249,2196,1796.06
250,2196,1843.86
251,2196,1854.64
252,2196,1889.42
253,2196,1847.3
254,2196,1832.16
255,2196,1853.64
256,2196,1834.84
257,2196,1817.14
258,2196,1813.04
259,2196,1820.24
260,2196,1813.14
261,2196,1826.12
262,2196,1847.9
263,2196,1859.62
264,2196,1819.0
265,2196,1805.0
266,2196,1795.9
267,2196,1801.04
268,2196,1857.16
269,2196,1883.62
270,2196,1835.72
271,2196,1875.06
272,2196,1832.22
273,2196,1835.86
274,2196,1792.88
275,2196,1761.88
276,2196,1804.38
277,2196,1829.88
278,2196,1732.12
279,2196,1731.88
280,2196,1759.04
281,2196,1788.14
282,2196,1810.5
283,2196,1828.02
284,2196,1875.54
285,2196,1856.94
286,2196,1824.0
287,2196,1797.12
288,2196,1843.06
289,2196,1826.74
290,2196,1809.34
291,2196,1842.1
292,2196,1839.12
293,2196,1857.5
294,2196,1784.64
295,2196,1760.54
296,2196,1739.96
297,2196,1758.52
298,2196,1763.58
299,2196,1843.12
300,2196,1885.62
301,2196,1867.56
302,2196,1879.38
303,2196,1879.8
304,2196,1883.8
305,2196,1891.14
306,2196,1728.04
307,2196,1735.06
308,2196,1791.6
309,2196,1738.94
310,2196,1774.94
311,2196,1748.24
312,2196,1824.26
313,2196,1756.76
314,2196,1836.72
315,2196,1870.82
316,2196,1855.08
317,2196,1807.2
318,2196,1779.96
319,2196,1797.5
320,2196,1829.44
321,2196,1742.34
322,2196,1742.24
323,2196,1849.88
324,2196,1797.88
325,2196,1846.8
326,2196,1858.66
327,2196,1812.5
328,2196,1796.68
329,2196,1693.2
330,2196,1751.72
331,2198,1874.66
332,2198,1923.14
333,2198,1849.48
334,2198,1885.42
335,2198,1915.56
336,2198,1869.98
337,2198,1862.38
338,2198,1871.76
339,2198,1889.3
340,2198,1917.36
341,2198,1850.26
342,2198,1859.98
343,2198,1844.28
344,2198,1819.1
345,2198,1735.36
346,2198,1726.42
347,2198,1787.14
348,2198,1822.6
349,2198,1803.62
350,2198,1828.48
351,2198,1832.56
352,2198,1834.86
353,2198,1852.06
354,2198,1846.78
355,2198,1790.36
356,2198,1795.26
357,2198,1823.68
358,2198,1865.28
359,2198,1823.52
360,2198,1795.74
361,2198,1813.74
362,2198,1794.82
363,2198,1753.92
364,2198,1769.5
365,2198,1782.4
366,2198,1821.16
367,2198,1861.38
368,2198,1843.76
369,2198,1839.18
370,2198,1796.5
371,2198,1800.94
372,2198,1768.66
373,2198,1764.82
374,2198,1710.82
375,2198,1693.76
376,2198,1717.28
377,2198,1752.24
378,2198,1789.72
379,2198,1866.74
380,2198,1877.78
381,2198,1825.48
382,2198,1797.32
383,2198,1790.32
384,2198,1763.54
385,2198,1772.02
386,2198,1750.12
387,2198,1761.02
388,2198,1743.84
389,2198,1708.0
390,2198,1748.42
391,2198,1827.62
392,2198,1818.1
393,2198,1848.4
394,2198,1805.4
395,2198,1786.68
396,2198,1816.74
397,2198,1804.0
398,2205,1830.62
399,2205,1871.58
400,2205,1880.62
401,2205,1885.66
402,2205,1803.6
403,2205,1837.82
404,2205,1803.12
405,2205,1856.5
406,2205,1784.62
407,2205,1770.04
408,2205,1817.04
409,2205,1777.18
410,2205,1799.74
411,2205,1798.24
412,2205,1785.98
413,2205,1784.9
414,2205,1823.34
415,2205,1796.58
416,2205,1768.94
417,2205,1753.64
418,2205,1791.16
419,2205,1810.7
420,2205,1790.8
421,2205,1765.58
422,2205,1774.12
423,2205,1836.92
424,2205,1870.4
425,2205,1808.32
426,2205,1805.5
427,2205,1848.4
428,2205,1829.56
429,2205,1910.86
430,2205,1877.6
431,2205,1807.84
432,2205,1864.0
433,2205,1848.04
434,2205,1833.68
435,2205,1811.94
436,2205,1808.84
437,2205,1721.14
438,2205,1739.5
439,2205,1720.32
440,2205,1763.7
441,2205,1861.88
442,2205,1824.78
443,2205,1809.46
444,2205,1722.62
445,2205,1758.24
446,2205,1747.92
447,2205,1739.2
448,2205,1748.68
449,2205,1703.36
450,2205,1757.12
451,2205,1764.4
452,2205,1778.06
453,2205,1891.08
454,2205,1891.12
455,2205,1857.12
456,2205,1828.82
457,2205,1849.14
458,2205,1873.44
459,2205,1847.46
460,2205,1874.48
461,2205,1860.94
462,2205,1841.72
463,2205,1851.06
464,2205,1878.74
465,2205,1897.44
466,2205,1923.06
467,2205,1892.9
468,2205,1816.66
469,2205,1825.68
470,2205,1850.7
471,2205,1900.34
472,2205,1859.76
473,2205,1806.46
474,2205,1821.7
475,2205,1794.94
476,2205,1784.64
477,2205,1828.26
478,2205,1818.46
479,2205,1804.84
480,2205,1816.88
481,2205,1898.0
482,2205,1916.06
483,2205,1857.1
484,2205,1834.2
485,2205,1872.2
486,2205,1859.1
487,2205,1900.88
488,2205,1874.96
489,2205,1840.0
490,2205,1846.88
491,2205,1849.46
492,2205,1842.82
493,2205,1802.56
494,2205,1754.84
495,2205,1796.56
496,2205,1803.16
497,2205,1825.1
498,2205,1817.52
499,2205,1783.78
500,2205,1776.96
501,2205,1696.28
502,2205,1751.68
503,2205,1743.86
504,2205,1745.08
505,2205,1768.28
506,2205,1693.62
507,2205,1744.1
508,2205,1768.68
509,2205,1846.02
510,2205,1886.02
511,2205,1886.04
512,2205,1875.5
513,2205,1817.88
514,2205,1816.94
515,2205,1773.96
516,2205,1772.52
517,2205,1753.72
518,2205,1801.78
519,2205,1866.84
520,2205,1810.46
521,2205,1778.74
522,2205,1827.18
523,2205,1842.78
524,2205,1851.24
525,2205,1849.36
526,2205,1867.08
527,2205,1889.96
528,2205,1872.48
529,2205,1783.5
530,2205,1781.3
531,2205,1821.32
532,2205,1834.12
533,2205,1782.04
534,2205,1727.38
535,2205,1761.82
536,2205,1839.24
537,2205,1837.0
538,2205,1843.72
539,2205,1856.92
540,2205,1867.14
541,2205,1778.24
542,2205,1788.86
543,2205,1778.68
544,2205,1795.08
545,2205,1828.32
546,2205,1881.86
547,2205,1880.56
548,2205,1838.92
549,2205,1784.76
550,2205,1843.34
551,2205,1828.48
552,2205,1777.34
