generation,best_score,avg_score
1,2623,845.48
2,2623,704.27
3,2623,712.31
4,2623,669.99
5,2623,642.43
6,2623,644.12
7,2623,672.51
8,2623,652.73
9,2623,632.91
10,2623,645.91
11,2623,658.17
12,2623,755.35
13,2623,706.55
14,2623,679.67
15,2623,694.31
16,2623,713.24
17,2623,659.52
18,2623,767.15
19,2623,818.73
20,2623,826.53
21,2623,806.87
22,2623,794.58
23,2623,720.39
24,2623,785.9
25,2623,714.92
26,2623,708.18
27,2623,704.45
28,2623,668.19
29,2623,714.67
30,2623,621.84
31,2623,621.39
32,2623,650.68
33,2623,617.25
34,2623,647.04
35,2623,630.52
36,2623,659.63
37,2623,639.31
38,2623,743.07
39,2623,669.56
40,2623,746.91
41,2623,741.08
42,2623,758.0
43,2623,705.52
44,2623,769.51
45,2623,726.21
46,2623,696.86
47,2623,734.06
48,2623,694.31
49,2623,676.18
50,2623,678.22
51,2623,803.13
52,2623,760.18
53,2623,817.91
54,2623,745.6
55,2623,813.03
56,2623,811.73
57,2623,821.76
58,2623,768.65
59,2623,781.13
60,2623,668.54
61,2623,687.08
62,2623,737.63
63,2623,688.75
64,2623,795.62
65,2623,769.43
66,2623,757.43
67,2623,788.67
68,2623,926.58
69,2623,840.72
70,2623,835.51
71,2623,800.92
72,2623,788.64
73,2623,780.91
74,2623,739.55
75,2623,818.1
76,2623,813.92
77,2623,727.64
78,2623,689.47
79,2623,684.2
80,2623,659.77
81,2623,717.89
82,2623,732.81
83,2623,729.1
84,2623,718.65
85,2623,729.21
86,2623,762.7
87,2623,681.26
88,2623,693.63
89,2623,652.27
90,2623,713.09
91,2623,626.55
92,2623,676.58
93,2623,619.52
94,2623,614.9
95,2623,588.78
96,2623,621.08
97,2623,620.16
98,2623,739.73
99,2623,726.99
100,2623,672.68
101,2623,697.85
102,2623,683.32
103,2623,671.25
104,2623,660.26
105,2623,665.53
106,2623,778.67
107,2623,711.46
108,2623,659.54
109,2623,697.47
110,2623,780.15
111,2623,716.23
112,2623,684.83
113,2623,738.1
114,2623,737.19
115,2623,684.58
116,2623,705.12
117,2623,706.99
118,2623,702.03
119,2623,750.4
120,2623,656.28
121,2623,667.96
122,2623,773.73
123,2623,719.31
124,2623,753.68
125,2623,768.8
126,2623,786.55
127,2623,828.82
128,2623,721.83
129,2623,699.53
130,2623,725.4
131,2623,704.62
132,2623,631.87
133,2623,698.12
134,2623,709.29
135,2623,745.15
136,2623,757.98
137,2623,735.9
138,2623,770.06
139,2623,742.22
140,2623,702.04
141,2623,698.6
142,2623,685.94
143,2623,746.79
144,2623,735.46
145,2623,700.73
146,2623,660.18
147,2623,664.38
148,2623,628.99
149,2623,692.76
150,2623,685.2
151,2623,657.09
152,2623,677.64
153,2623,707.98
154,2623,684.46
155,2623,700.0
156,2623,674.69
157,2623,662.8
158,2623,714.75
159,2623,717.92
160,2623,758.45
161,2623,774.62
162,2623,744.24
163,2623,773.84
164,2623,808.37
165,2623,845.42
166,2623,801.31
167,2623,771.86
168,2623,751.16
169,2623,775.06
170,2623,777.19
171,2623,740.74
172,2623,684.69
173,2623,642.69
174,2623,678.74
175,2623,712.49
176,2623,690.08
177,2623,742.43
178,2623,702.6
179,2623,658.42
180,2623,821.81
181,2623,773.22
182,2623,714.54
183,2623,791.45
184,2623,798.53
185,2623,723.15
186,2623,678.42
187,2623,721.81
188,2623,669.25
189,2623,727.23
190,2623,717.16
191,2623,715.66
192,2623,749.17
193,2623,786.06
194,2623,768.96
195,2623,816.73
196,2623,793.89
197,2623,761.07
198,2623,776.62
199,2623,734.49
200,2623,791.45
