generation,best_score,avg_score
1,1981,1583.58
2,2033,1682.52
3,2068,1737.64
4,2068,1787.66
5,2148,1829.74
6,2148,1875.34
7,2148,1897.88
8,2148,1923.3
9,2148,1981.46
10,2148,2026.72
11,2148,1997.38
12,2148,2000.12
13,2148,2007.34
14,2148,2018.98
15,2150,1985.44
16,2150,2000.96
17,2150,2006.0
18,2150,1999.26
19,2150,2013.46
20,2150,2028.62
21,2150,2040.64
22,2150,2009.94
23,2150,1992.66
24,2150,2045.32
25,2150,2048.32
26,2150,2060.76
27,2150,2048.78
28,2150,2028.72
29,2150,2030.78
30,2150,2023.5
31,2150,2008.5
32,2150,2000.08
33,2150,1959.64
34,2150,1973.14
35,2150,1995.6
36,2150,1989.56
37,2150,1996.96
38,2150,1984.42
39,2150,1977.92
40,2150,1960.54
41,2150,1947.66
42,2150,2006.92
43,2150,2012.78
44,2150,1992.54
45,2150,2006.74
46,2150,1980.92
47,2150,1993.28
48,2150,1968.32
49,2150,1993.66
50,2150,2034.9
51,2150,2034.44
52,2150,2034.38
53,2150,1999.86
54,2150,1991.4
55,2150,2012.94
56,2150,1976.78
57,2150,1966.22
58,2150,1978.12
59,2150,1991.84
60,2150,1980.34
61,2150,1983.26
62,2150,1968.64
63,2150,1966.26
64,2150,1955.4
65,2150,1972.06
66,2150,1969.24
67,2150,1964.86
68,2150,1986.6
69,2150,2017.72
70,2150,1996.0
71,2150,2032.66
72,2150,2019.38
73,2150,2033.56
74,2150,1983.06
75,2150,1983.46
76,2150,2004.82
77,2150,2016.34
78,2150,2033.32
79,2150,2037.24
80,2150,2014.42
81,2150,1992.8
82,2150,1977.7
83,2150,1985.18
84,2150,2006.88
85,2150,1953.4
86,2150,1960.1
87,2150,1953.5
88,2150,1998.66
89,2150,1941.76
90,2150,1972.18
91,2150,1931.92
92,2150,1951.46
93,2150,1994.64
94,2150,2025.58
95,2150,1984.62
96,2150,1988.22
97,2150,1978.9
98,2150,2018.28
99,2150,2030.24
100,2150,2014.42
101,2150,1983.62
102,2150,2013.0
103,2150,2002.78
104,2150,2012.0
105,2150,2025.52
106,2150,1975.98
107,2150,2001.96
108,2150,1993.72
109,2150,2000.68
110,2150,1965.84
111,2150,1966.64
112,2150,2025.64
113,2150,1998.86
114,2150,1980.84
115,2150,1947.38
116,2150,1928.06
117,2150,1952.42
118,2150,1984.84
119,2150,1975.02
120,2150,1974.2
121,2150,2004.54
122,2150,1987.94
123,2150,1978.72
124,2150,1967.96
125,2150,1976.3
126,2150,2001.8
127,2150,2008.28
128,2150,2005.24
129,2150,1983.82
130,2150,2013.62
131,2150,2016.88
132,2150,2012.5
133,2150,2001.44
134,2150,2008.22
135,2150,1978.68
136,2150,1964.08
137,2150,1993.0
138,2150,1983.84
139,2150,1977.78
140,2150,1970.04
141,2150,2022.18
142,2150,1979.42
143,2150,1968.66
144,2150,1941.92
145,2150,1966.8
146,2150,1977.22
147,2150,2013.6
148,2150,1936.6
149,2150,1993.78
150,2150,1988.02
151,2150,1988.08
152,2150,1963.08
153,2150,1961.9
154,2150,1987.56
