generation,best_score,avg_score
1,1851,772.27
2,1851,606.05
3,1851,585.96
4,1851,618.8
5,1851,580.69
6,1851,558.9
7,1851,528.25
8,1851,575.34
9,1851,561.41
10,1851,634.12
11,1851,572.33
12,1851,597.04
13,1851,573.75
14,1851,582.81
15,1851,559.61
16,1851,610.08
17,1851,564.91
18,1851,570.77
19,1851,546.37
20,1851,599.65
21,1851,539.8
22,1851,528.74
23,1851,595.89
24,1851,563.96
25,1851,560.49
26,1851,617.37
27,1851,558.86
28,1851,539.81
29,1851,612.19
30,1851,634.86
31,1851,577.56
32,1851,584.92
33,1851,649.19
34,1851,604.29
35,1851,562.42
36,1851,592.96
37,1851,574.34
38,1851,588.12
39,1851,604.49
40,1851,597.22
41,1851,596.97
42,1851,596.21
43,1851,591.06
44,1851,544.92
45,1851,567.53
46,1851,591.15
47,1851,557.01
48,1851,617.36
49,1851,656.77
50,1851,589.66
51,1851,590.09
52,1851,574.53
53,1851,642.28
54,1851,641.36
55,1851,592.25
56,1851,573.19
57,1851,544.26
58,1851,581.61
59,1851,607.83
60,1851,627.51
61,1851,634.96
62,1851,577.46
63,1851,602.52
64,1851,560.96
65,1851,527.69
66,1851,531.02
67,1851,576.54
68,1851,621.69
69,1851,604.45
70,1851,694.16
71,1851,670.17
72,1851,657.26
73,1851,656.3
74,1851,625.66
75,1851,678.38
76,1851,634.85
77,1851,651.99
78,1851,635.15
79,1851,607.2
80,1851,601.96
81,1851,560.16
82,1851,604.3
83,1851,616.86
84,1851,593.62
85,1851,708.79
86,1851,692.41
87,1851,715.3
88,1851,710.45
89,1851,659.67
90,1851,618.85
91,1851,631.14
92,1851,601.35
93,1851,591.85
94,1851,580.5
95,1851,578.48
96,1851,608.46
97,1851,563.27
98,1851,593.17
99,1851,590.64
100,1851,589.38
101,1851,602.68
102,1851,597.32
103,1851,623.61
104,1851,616.84
105,1851,625.94
106,1851,589.37
107,1851,602.13
108,1851,602.82
109,1851,612.44
110,1851,654.57
111,1851,644.52
112,1851,689.36
113,1851,675.18
114,1851,662.55
115,1851,620.73
116,1851,652.11
117,1851,616.29
118,1851,609.61
119,1851,643.82
120,1851,651.2
121,1851,609.69
122,1851,678.85
123,1851,612.49
124,1851,704.5
125,1851,681.37
126,1851,671.75
127,1851,649.69
128,1851,643.61
129,1851,642.73
130,1851,626.24
131,1851,644.04
132,1851,607.02
133,1851,626.76
134,1851,587.93
135,1851,701.2
136,1851,643.24
137,1851,628.39
138,1851,644.49
139,1851,620.9
140,1851,586.13
141,1851,521.32
142,1851,604.42
143,1851,618.21
144,1851,596.34
145,1851,609.84
146,1851,596.17
147,1851,580.9
148,1851,631.5
149,1851,687.49
150,1851,677.27
151,1851,685.22
152,1851,625.06
153,1851,607.28
154,1851,605.93
155,1851,653.07
156,1851,680.64
157,1851,663.79
158,1851,632.97
159,1851,618.51
160,1851,643.43
161,1851,651.16
162,1851,658.3
163,1851,666.27
164,1851,654.95
165,1851,624.45
166,1851,666.33
167,1851,652.68
168,1851,641.39
169,1851,625.59
170,1851,634.76
171,1851,595.5
172,1851,617.57
173,1851,609.43
174,1851,626.09
175,1851,679.76
176,1851,681.95
177,1851,655.01
178,1851,672.46
179,1851,649.44
180,1851,684.53
181,1851,610.22
182,1851,642.49
183,1851,626.13
184,1851,611.01
185,1851,583.92
186,1851,565.14
187,1851,588.32
188,1851,631.71
189,1851,602.99
190,1851,628.01
191,1851,640.22
192,1851,602.46
193,1851,650.04
194,1851,669.18
195,1851,655.23
196,1851,715.95
197,1851,658.49
198,1851,667.98
199,1851,667.53
200,1851,628.06
