generation,best_score,avg_score
1,1447,788.04
2,1447,684.0
3,1447,718.14
4,1447,675.8
5,1447,682.68
6,1447,693.48
7,1447,651.92
8,1447,662.16
9,1447,601.96
10,1447,625.94
11,1447,702.26
12,1447,671.78
13,1447,730.72
14,1447,748.52
15,1447,774.84
16,1447,846.8
17,1447,876.7
18,1447,795.36
19,1447,793.28
20,1447,661.5
21,1447,664.54
22,1447,671.46
23,1447,610.42
24,1447,628.22
25,1447,702.96
26,1447,738.18
27,1447,729.32
28,1447,744.8
29,1447,770.32
30,1447,686.5
31,1447,609.48
32,1447,675.5
33,1447,717.96
34,1447,678.76
35,1447,716.5
36,1447,749.68
37,1447,724.42
38,1447,735.62
39,1447,758.3
40,1447,751.64
41,1447,882.88
42,1447,812.3
43,1447,721.32
44,1447,752.44
45,1447,708.54
46,1447,713.18
47,1447,694.92
48,1447,700.04
49,1447,704.18
50,1447,760.18
51,1447,804.24
52,1447,837.48
53,1447,871.56
54,1447,875.58
55,1447,850.92
56,1447,772.98
57,1447,718.98
58,1447,583.86
59,1447,647.9
60,1447,752.64
61,1447,771.64
62,1447,864.5
63,1447,790.38
64,1447,847.38
65,1447,804.06
66,1447,703.4
67,1447,716.74
68,1447,749.38
69,1447,711.46
70,1447,696.42
71,1447,684.44
72,1447,722.52
73,1447,714.12
74,1447,729.42
75,1447,728.0
76,1447,713.84
77,1447,749.18
78,1447,679.24
79,1447,708.1
80,1447,695.48
81,1447,687.9
82,1447,652.32
83,1447,697.62
84,1447,726.28
85,1447,689.56
86,1447,684.54
87,1447,710.64
88,1447,675.14
89,1447,661.56
90,1447,709.16
91,1447,768.64
92,1447,698.92
93,1447,802.38
94,1447,783.54
95,1447,765.82
96,1447,688.36
97,1447,696.14
98,1447,664.8
99,1447,681.62
100,1447,677.4
101,1447,699.0
102,1447,730.84
103,1447,815.02
104,1447,717.12
105,1447,713.4
106,1447,716.08
107,1447,786.02
108,1447,717.32
109,1447,748.88
110,1447,821.6
111,1447,825.46
112,1447,774.04
113,1447,836.58
114,1447,814.74
115,1447,765.14
116,1447,728.28
117,1447,686.6
118,1447,736.86
119,1447,719.5
120,1447,737.56
121,1447,772.04
122,1447,775.88
123,1447,752.46
124,1447,830.46
125,1447,760.8
126,1447,804.14
127,1447,833.8
128,1447,820.8
129,1447,846.76
130,1447,755.6
131,1447,775.62
132,1447,702.06
133,1447,814.98
134,1447,825.72
135,1465,751.22
136,1465,761.5
137,1465,744.7
138,1465,795.2
139,1513,773.42
140,1513,883.8
141,1513,971.52
142,1513,873.8
143,1513,987.38
144,1513,827.1
145,1513,934.62
146,1513,851.18
147,1513,820.58
148,1513,833.64
149,1513,851.74
150,1513,746.02
151,1513,737.76
152,1513,758.36
153,1513,827.14
154,1513,813.94
155,1513,861.48
156,1513,800.72
157,1513,809.2
158,1513,772.96
159,1560,789.16
160,1560,788.36
161,1560,748.82
162,1560,789.16
163,1560,799.38
164,1560,728.94
165,1560,786.56
166,1560,842.44
167,1560,905.52
168,1560,734.7
169,1560,832.18
170,1560,720.0
171,1560,786.18
172,1560,708.04
173,1560,710.96
174,1560,728.54
175,1560,688.44
176,1560,750.36
177,1560,879.04
178,1560,967.66
179,1560,842.74
180,1560,850.14
181,1560,811.86
182,1560,891.28
183,1560,848.8
184,1560,941.5
185,1560,984.96
186,1560,917.86
187,1560,842.56
188,1560,863.38
189,1560,906.94
190,1560,860.64
191,1560,840.06
192,1560,937.88
193,1560,832.08
194,1560,814.14
195,1560,909.82
196,1560,848.96
197,1560,846.24
198,1560,887.58
199,1560,873.9
200,1560,843.18
