generation,best_score,avg_score
1,1597,1247.0
2,1597,1306.63
3,1689,1376.41
4,1690,1445.12
5,1690,1471.03
6,1766,1481.56
7,1766,1517.53
8,1766,1546.18
9,1766,1566.5
10,1766,1561.69
11,1766,1571.44
12,1766,1580.47
13,1766,1559.65
14,1766,1610.47
15,1766,1602.24
16,1766,1595.73
17,1766,1608.7
18,1766,1604.97
19,1766,1622.94
20,1766,1606.73
21,1766,1609.71
22,1766,1605.58
23,1766,1620.35
24,1766,1581.27
25,1766,1603.65
26,1766,1607.46
27,1766,1624.12
28,1766,1637.08
29,1766,1643.24
30,1766,1617.51
31,1766,1597.64
32,1766,1609.72
33,1766,1604.4
34,1766,1626.36
35,1766,1623.36
36,1766,1610.52
37,1766,1613.74
38,1766,1600.49
39,1766,1594.88
40,1766,1621.1
41,1766,1593.64
42,1766,1598.29
43,1766,1604.8
44,1766,1622.26
45,1766,1631.78
46,1766,1652.11
47,1766,1612.38
48,1766,1642.46
49,1766,1620.14
50,1766,1626.09
51,1766,1626.97
52,1766,1617.03
53,1766,1621.66
54,1766,1636.08
55,1766,1614.86
56,1766,1638.77
57,1766,1636.9
58,1766,1611.7
59,1766,1614.33
60,1766,1594.7
61,1766,1599.46
62,1766,1604.79
63,1766,1621.96
64,1766,1613.33
65,1766,1629.56
66,1766,1642.08
67,1766,1632.96
68,1766,1638.31
69,1766,1624.51
70,1766,1640.13
71,1766,1625.19
72,1766,1633.46
73,1766,1628.93
74,1766,1629.95
75,1766,1630.56
76,1766,1627.27
77,1766,1612.83
78,1766,1616.12
79,1766,1630.75
80,1766,1648.92
81,1766,1629.08
82,1766,1622.52
83,1766,1625.21
84,1766,1608.35
85,1766,1609.51
86,1766,1620.12
87,1766,1614.31
88,1766,1621.56
89,1766,1629.63
90,1766,1628.84
91,1766,1630.32
92,1766,1647.09
93,1766,1628.44
94,1766,1617.9
95,1766,1595.58
96,1766,1577.29
97,1766,1611.24
98,1766,1610.53
99,1766,1607.44
100,1766,1634.87
101,1766,1652.31
102,1766,1639.23
103,1766,1626.91
104,1766,1624.66
105,1766,1621.76
106,1766,1630.34
107,1766,1596.26
108,1766,1618.27
109,1766,1607.64
110,1766,1634.4
111,1766,1631.23
112,1766,1619.5
113,1766,1610.48
114,1766,1642.1
115,1766,1638.31
116,1766,1614.04
117,1766,1596.71
118,1766,1584.3
119,1766,1615.21
120,1766,1604.58
121,1766,1620.31
122,1766,1624.52
123,1766,1605.87
124,1766,1621.76
125,1766,1618.44
126,1766,1618.07
127,1766,1611.28
128,1766,1605.21
129,1766,1609.62
130,1766,1633.12
131,1766,1642.59
132,1766,1637.61
133,1766,1645.56
134,1766,1618.31
135,1766,1608.05
136,1766,1607.27
137,1766,1596.52
138,1766,1600.96
139,1766,1597.04
140,1766,1620.33
141,1766,1614.29
142,1766,1624.6
143,1766,1619.43
144,1766,1616.64
145,1766,1619.64
146,1766,1625.61
147,1766,1631.12
148,1766,1626.2
149,1766,1615.62
150,1766,1588.44
151,1766,1590.87
152,1766,1588.79
153,1766,1593.0
154,1766,1616.17
155,1766,1611.75
156,1766,1632.74
157,1766,1627.4
158,1766,1629.65
159,1766,1604.38
160,1766,1632.51
161,1766,1610.79
162,1766,1619.64
163,1766,1617.78
164,1766,1621.33
165,1766,1614.09
166,1766,1600.25
167,1766,1608.1
168,1766,1594.29
169,1766,1603.27
170,1766,1606.28
171,1766,1617.4
172,1766,1646.46
173,1766,1645.25
174,1766,1661.3
175,1766,1649.14
176,1766,1632.98
177,1766,1621.48
178,1766,1609.9
179,1766,1615.82
180,1766,1605.82
181,1766,1581.82
182,1766,1605.39
183,1766,1604.23
184,1766,1606.29
185,1766,1618.44
186,1766,1629.24
187,1766,1607.23
188,1766,1626.34
189,1766,1632.05
190,1766,1630.92
191,1766,1600.07
192,1766,1581.79
193,1766,1594.1
194,1766,1600.59
195,1766,1589.95
196,1766,1609.61
197,1766,1627.36
198,1766,1630.47
199,1766,1632.7
200,1766,1631.82
201,1766,1638.09
202,1766,1637.49
203,1766,1629.12
204,1766,1646.31
205,1766,1623.84
206,1766,1621.6
207,1766,1625.18
208,1766,1637.6
209,1766,1615.29
210,1766,1589.17
211,1766,1580.86
212,1766,1604.51
213,1766,1602.48
214,1766,1589.68
215,1766,1607.05
216,1766,1604.03
217,1766,1621.37
218,1766,1639.99
219,1766,1646.29
220,1766,1639.55
221,1766,1620.2
222,1766,1637.9
223,1766,1611.0
224,1766,1592.31
225,1766,1601.55
226,1766,1613.51
227,1766,1640.86
228,1766,1634.82
229,1766,1611.53
230,1766,1620.47
231,1766,1620.98
232,1766,1605.96
233,1766,1621.5
234,1766,1614.97
235,1766,1607.88
236,1766,1610.73
237,1766,1600.29
238,1766,1621.86
239,1766,1628.32
240,1766,1612.81
241,1766,1586.35
242,1766,1584.72
243,1766,1615.35
244,1766,1615.4
